state	year	county	precinct	g2012_USP_rv	g2012_USP_dv	g2012_USP_tv	cd	g2012_USH_rv	g2012_USH_tv	g2012_USH_dv	cd2	g2012_USH_rv2	g2012_USH_tv2	g2012_USH_dv2	ld	ld2	ld3	ld4	ld5	ld6	ld7	ld8	ld9	ld10	g2012_STH_dv	g2012_STH_dv10	g2012_STH_dv2	g2012_STH_dv3	g2012_STH_dv4	g2012_STH_dv5	g2012_STH_dv6	g2012_STH_dv7	g2012_STH_dv8	g2012_STH_dv9	g2012_STH_rv	g2012_STH_rv10	g2012_STH_rv2	g2012_STH_rv3	g2012_STH_rv4	g2012_STH_rv5	g2012_STH_rv6	g2012_STH_rv7	g2012_STH_rv8	g2012_STH_rv9	g2012_STH_tv	g2012_STH_tv10	g2012_STH_tv2	g2012_STH_tv3	g2012_STH_tv4	g2012_STH_tv5	g2012_STH_tv6	g2012_STH_tv7	g2012_STH_tv8	g2012_STH_tv9	sd	g2012_STS_rv	g2012_STS_dv	g2012_STS_tv	sd2	g2012_STS_rv2	g2012_STS_dv2	g2012_STS_tv2	g2012_USS_rv	g2012_USS_dv	g2012_USS_tv
"TN"	2012	"ANDERSON County"	"North Clinton"	747	338	1104	3	679	1014	296					33										506										565										1071																		743	228	1027
"TN"	2012	"ANDERSON County"	"Norwood"	839	391	1246	3	758	1156	363					33										562										642										1204																		815	313	1174
"TN"	2012	"ANDERSON County"	"Oak Ridge"	333	611	955	3	342	874	512					33										606										296										902																		396	418	860
"TN"	2012	"ANDERSON County"	"Pine Valley"	761	622	1436	3	738	1379	599					33										741										648										1389																		825	427	1376
"TN"	2012	"ANDERSON County"	"Robertsville"	552	495	1077	3	513	993	438					33										538										489										1027																		579	325	988
"TN"	2012	"ANDERSON County"	"Rosedale"	47	27	78	3	41	73	28					33										55										19										74																		45	22	74
"TN"	2012	"ANDERSON County"	"South Clinton"	705	205	924	3	640	864	189					33										387										512										899																		703	130	869
"TN"	2012	"ANDERSON County"	"West Hills"	811	600	1438	3	792	1355	530					33										666										713										1379																		915	367	1365
"TN"	2012	"ANDERSON County"	"Woodland"	357	320	691	3	338	645	280					33										368										289										657																		372	212	638
"TN"	2012	"BEDFORD County"	"1-1 Wartrace"	888	267	1174	4	637	992	355					62																				861										861										14	913		913					858	187	1089
"TN"	2012	"BEDFORD County"	"1-2 Bell Buckle"	701	179	894	4	527	794	267					62																				694										694										14	724		724					672	114	826
"TN"	2012	"BEDFORD County"	"2-3 Fair Haven"	1382	387	1785	4	974	1470	496					62																				1294										1294										14	1365		1365					1295	289	1631
"TN"	2012	"BEDFORD County"	"3-3 Unionville"	1177	414	1617	4	819	1365	546					62																				1150										1150										14	1215		1215					1118	323	1493
"TN"	2012	"BEDFORD County"	"4-3 Bedford"	1249	431	1700	4	935	1451	516					62																				1222										1222										14	1283		1283					1143	357	1566
"TN"	2012	"BEDFORD County"	"5-2 Flat Creek"	1159	310	1484	4	845	1259	414					62																				1175										1175										14	1197		1197					1120	211	1369
"TN"	2012	"BEDFORD County"	"5-5 Normandy"	573	186	777	4	422	677	255					62																				573										573										14	598		598					571	126	724
"TN"	2012	"BEDFORD County"	"6-1 East Side"	408	462	891	4	281	709	428					62																				514										514										14	550		550					419	341	801
"TN"	2012	"BEDFORD County"	"7-1 Deery Eakin"	766	526	1312	4	566	1077	511					62																				851										851										14	886		886					756	365	1171
"TN"	2012	"BEDFORD County"	"8-1 Thomas"	598	499	1106	4	396	838	442					62																				676										676										14	711		711					591	342	962
"TN"	2012	"BEDFORD County"	"9-2 Southside School"	915	422	1347	4	660	1139	479					62																				1008										1008										14	1045		1045					896	310	1244
"TN"	2012	"BEDFORD County"	"Absentee"	218	128	358	4	188	318	130					62																				280										280										14	276		276					232	85	331
"TN"	2012	"BENTON County"	"1 Holladay School"	646	346	1001	7	612	929	256					75										377										585										990										24	533	411	944					623	287	965
"TN"	2012	"BENTON County"	"2 Camden Jr High"	621	377	1021	7	593	946	305					75										477										524										1020										24	496	481	977					623	315	988
"TN"	2012	"BENTON County"	"3 County Courthouse"	624	363	1005	7	588	918	281					75										453										518										1000										24	495	469	964					605	303	954
"TN"	2012	"BENTON County"	"4 Camden Elementary"	654	394	1071	7	618	994	333					75										468										550										1053										24	515	513	1028					645	359	1039
"TN"	2012	"BENTON County"	"5 County Courthouse"	596	391	1010	7	549	895	307					75										479										482										982										24	487	467	954					575	335	965
"TN"	2012	"BENTON County"	"6 Big Sandy School"	709	387	1118	7	632	990	296	8	18	32	12	75										504										568										1099										24	579	477	1056					675	345	1066
"TN"	2012	"BLEDSOE County"	"1-1 Dill"	99	78	185	4	79	173	94					31																				127										127																		103	66	177
"TN"	2012	"BLEDSOE County"	"1-2 Griffith"	52	54	106	4	42	99	57					31																				64										64																		59	42	103
"TN"	2012	"BLEDSOE County"	"1-3 Mt. Crest"	235	83	322	4	182	293	111					31																				251										251																		229	73	308
"TN"	2012	"BLEDSOE County"	"2-1 Cold Springs"	313	120	438	4	238	417	179					31																				341										341																		318	90	418
"TN"	2012	"BLEDSOE County"	"2-2 Luminary"	198	72	279	4	161	263	102					31																				248										248																		199	58	272
"TN"	2012	"BLEDSOE County"	"3-1 Brayton"	303	56	367	4	246	343	97					31																				326										326																		305	38	361
"TN"	2012	"BLEDSOE County"	"3-2 Rigsby"	356	78	441	4	280	401	121					31																				370										370																		347	57	417
"TN"	2012	"BLEDSOE County"	"4-1 Pikeville"	361	280	646	4	254	612	358					31																				472										472																		383	190	591
"TN"	2012	"BLEDSOE County"	"5-1 Bellview"	427	88	525	4	356	507	151					31																				457										457																		421	70	511
"TN"	2012	"BLEDSOE County"	"5-2 Nine Mile"	180	56	236	4	150	222	72					31																				187										187																		176	45	226
"TN"	2012	"BLEDSOE County"	"6-1 Lee Station"	110	81	191	4	79	193	114					31																				153										153																		118	66	186
"TN"	2012	"BLEDSOE County"	"6-2 Lusk"	388	221	623	4	315	611	296					31																				474										474																		411	166	600
"TN"	2012	"BLOUNT County"	"Alcoa"	1417	565	2032	2	1553	1940	313					8																				1655										1655										2	1694		1694					1468	360	1926
"TN"	2012	"BLOUNT County"	"Beech Grove"	931	526	1487	2	1050	1444	316					8																				1151										1151										2	1189		1189					968	362	1437
"TN"	2012	"BLOUNT County"	"Big Springs"	608	160	785	2	628	754	95					20																				650										650										2	664		664					612	104	744
"TN"	2012	"BLOUNT County"	"Board of Education"	1469	540	2036	2	1581	1947	296					8																				1651										1651										2	1675		1675					1506	309	1922
"TN"	2012	"BLOUNT County"	"Carpenters"	1151	323	1491	2	1198	1454	207					8																				1245										1245										2	1287		1287					1145	233	1441
"TN"	2012	"BLOUNT County"	"Chilhowee View"	914	331	1268	2	962	1197	184					8																				995										995										2	1013		1013					888	217	1182
"TN"	2012	"BLOUNT County"	"Eagleton MS Caf"	806	361	1188	2	886	1134	193					20																				951										951										2	968		968					800	238	1109
"TN"	2012	"BLOUNT County"	"Eagleton MS Gym"	1137	340	1503	2	1198	1457	189					20																				1228										1228										2	1263		1263					1157	214	1436
"TN"	2012	"BLOUNT County"	"Everett"	632	351	1011	2	721	962	198					20																				822										822										2	832		832					670	218	957
"TN"	2012	"BLOUNT County"	"Fairview"	1188	354	1571	2	1267	1510	187					20	8																			1275		39								1275		39								2	1325		1325					1207	236	1501
"TN"	2012	"BLOUNT County"	"Friendsville"	832	209	1060	2	827	1007	138					20																				854										854										2	895		895					806	143	1009
"TN"	2012	"BLOUNT County"	"Happy Valley"	53	34	90	2	57	78	18					8																				65										65										2	67		67					54	22	80
"TN"	2012	"BLOUNT County"	"Heritage"	1055	274	1346	2	1058	1289	186					8																				1102										1102										2	1120		1120					1032	195	1279
"TN"	2012	"BLOUNT County"	"John Sevier"	1322	507	1852	2	1419	1772	279					20																				1506										1506										2	1547		1547					1353	299	1755
"TN"	2012	"BLOUNT County"	"Lanier"	977	301	1301	2	1014	1254	192					8																				1053										1053										2	1081		1081					958	225	1242
"TN"	2012	"BLOUNT County"	"Louisville"	1071	383	1477	2	1106	1411	241					20	8																			926		274								926		274								2	1230		1230					1079	249	1401
"TN"	2012	"BLOUNT County"	"Martin Luther King"	279	580	871	2	376	782	372					20																				532										532										2	541		541					311	392	762
"TN"	2012	"BLOUNT County"	"Maryville College"	599	319	936	2	671	898	164					8																				780										780										2	772		772					660	166	888
"TN"	2012	"BLOUNT County"	"Maryville HS"	1767	669	2474	2	1904	2363	359					20	8																			2007		44								2007		44								2	2074		2074					1861	346	2331
"TN"	2012	"BLOUNT County"	"Maryville Middle"	1451	587	2080	2	1592	1986	300					20																				1698										1698										2	1732		1732					1534	306	1961
"TN"	2012	"BLOUNT County"	"Maryville Municipal"	929	483	1438	2	1015	1350	260					20																				1135										1135										2	1160		1160					958	279	1327
"TN"	2012	"BLOUNT County"	"Mentor"	308	174	497	2	357	488	101					8	20																			382		9								382		9								2	397		397					316	116	478
"TN"	2012	"BLOUNT County"	"Middlesettlements"	319	91	414	2	325	395	50					20	8																			341		0								341		0								2	351		351					310	58	390
"TN"	2012	"BLOUNT County"	"Miser Station"	834	284	1146	2	881	1104	168					20																				927										927										2	943		943					849	192	1094
"TN"	2012	"BLOUNT County"	"Montvale"	2400	740	3202	2	2515	3096	446					8																				2667										2667										2	2715		2715					2405	497	3066
"TN"	2012	"BLOUNT County"	"Oak Street"	1065	314	1403	2	1097	1352	196					20																				1166										1166										2	1178		1178					1040	231	1328
"TN"	2012	"BLOUNT County"	"Oak View"	1318	357	1697	2	1327	1625	212					8																				1427										1427										2	1446		1446					1302	241	1636
"TN"	2012	"BLOUNT County"	"Pellissippi Campus"	525	143	683	2	527	658	98					20																				571										571										2	580		580					520	110	658
"TN"	2012	"BLOUNT County"	"Porter"	1067	295	1393	2	1135	1347	159					8																				1157										1157										2	1180		1180					1084	172	1330
"TN"	2012	"BLOUNT County"	"Rockford"	861	472	1364	2	943	1280	272					8																				1007										1007										2	1060		1060					873	298	1260
"TN"	2012	"BLOUNT County"	"Shooks Gap"	1178	305	1501	2	1200	1446	193					8																				1268										1268										2	1280		1280					1178	213	1446
"TN"	2012	"BLOUNT County"	"Townsend"	937	339	1298	2	953	1228	203					8																				1018										1018										2	1042		1042					947	218	1223
"TN"	2012	"BLOUNT County"	"Walland"	511	173	693	2	536	661	100					8																				563										563										2	572		572					505	123	659
"TN"	2012	"BLOUNT County"	"William Blount HS"	891	298	1207	2	930	1162	179					20																				995										995										2	1012		1012					889	198	1148
"TN"	2012	"BLOUNT County"	"Wm Blount Academy"	2639	752	3439	2	2748	3313	442					20	8																			2492		371								2492		371								2	2905		2905					2601	515	3271
"TN"	2012	"BRADLEY County"	"1-1 McDonald"	1018	240	1278	4	720	1059	339					24																				1062										1062										10	902	209	1111					1023	167	1225
"TN"	2012	"BRADLEY County"	"1-2 Prospect"	2594	525	3148	4	1946	2703	757					24																				2616										2616																		2661	312	3054
"TN"	2012	"BRADLEY County"	"1-3 Hopewell"	1694	314	2030	4	1275	1757	482					22										277										1603										1880																		1704	213	1971
"TN"	2012	"BRADLEY County"	"2-1 E.L. Ross"	2993	794	3835	4	2248	3358	1110					24																				3091										3091																		3081	544	3723
"TN"	2012	"BRADLEY County"	"2-2 Walker Valley"	1982	574	2583	4	1317	1937	620	3	152	207	46	22										435										1923										2358										10	1862	479	2341					2044	384	2493
"TN"	2012	"BRADLEY County"	"3-1 Lee University"	1175	583	1784	4	881	1496	615					24																				1272										1272																		1221	379	1660
"TN"	2012	"BRADLEY County"	"3-2 Senior Center"	2141	596	2776	4	1213	1764	551	3	486	606	102	24																				2380										2380																		2231	395	2705
"TN"	2012	"BRADLEY County"	"4-1 Oak Grove"	1818	407	2250	3	1560	1943	327	4	47	74	27	22										314										1772										2086										10	1648	371	2019					1815	290	2163
"TN"	2012	"BRADLEY County"	"4-2 Michigan Ave"	2219	610	2882	3	1968	2577	521	4	42	75	33	22										489										2215										2704										10	2070	569	2639					2276	409	2783
"TN"	2012	"BRADLEY County"	"5-1 Blythe/Bower"	1470	607	2116	4	932	1571	639	3	145	178	26	24																				1671										1671																		1552	392	2019
"TN"	2012	"BRADLEY County"	"5-2 Community SC"	504	433	953	4	352	735	383					24																				535										535																		527	280	846
"TN"	2012	"BRADLEY County"	"6-1 Valley View"	1195	230	1446	3	1070	1349	223					22										218										1189										1407										10	1051	217	1268					1183	160	1397
"TN"	2012	"BRADLEY County"	"6-2 Blue Springs"	1375	375	1776	3	831	1073	221	4	334	500	166	22										308										1312										1620										10	1309	308	1617					1410	252	1711
"TN"	2012	"BRADLEY County"	"6-3 Waterville"	778	210	1013	4	266	431	165	3	321	424	86	24																				732										732										10	689	209	898					778	148	959
"TN"	2012	"BRADLEY County"	"6-4 Black Fox"	761	142	926	3	543	672	95	4	109	163	54	22										124										726										850										10	716	147	863					778	96	907
"TN"	2012	"BRADLEY County"	"7-1 Stuart"	2266	875	3177	4	1692	2741	1049					24																				2431										2431																		2402	543	3051
"TN"	2012	"BRADLEY County"	"7-2 Cleveland High"	1439	522	1990	4	1047	1679	632					24																				1509										1509																		1500	335	1890
"TN"	2012	"CAMPBELL County"	"1-1 Alder Springs"	295	106	403	3	256	357	92					36																				287										351										12	314		314					286	69	370
"TN"	2012	"CAMPBELL County"	"1-2 Demory"	501	136	641	3	425	580	133					36																				464										588										12	516		516					465	115	605
"TN"	2012	"CAMPBELL County"	"1-3 Pinecrest"	183	111	298	3	165	267	94					36																				188										266										12	208		208					191	78	279
"TN"	2012	"CAMPBELL County"	"1-4 Valley View"	905	281	1206	3	758	1062	266					36																				884										1071										12	929		929					861	211	1108
"TN"	2012	"CAMPBELL County"	"1-5 Well Springs"	191	62	255	2	188	243	50					36																				187										231										12	201		201					188	52	250
"TN"	2012	"CAMPBELL County"	"2-1 College Hill"	179	92	276	3	137	247	97					36																				172										246										12	203		203					172	67	249
"TN"	2012	"CAMPBELL County"	"2-2 Davis Chapel"	256	81	342	3	214	306	83					36																				265										308										12	267		267					246	56	314
"TN"	2012	"CAMPBELL County"	"2-3 East LaFollette"	479	301	796	3	408	716	269					36																				543										714										12	603		603					496	191	731
"TN"	2012	"CAMPBELL County"	"2-4 LaFollette ES"	550	166	722	3	469	646	154					36																				549										655										12	551		551					542	118	683
"TN"	2012	"CAMPBELL County"	"3-1 CCHS"	469	159	639	3	417	587	154					36																				479										584										12	500		500					466	101	594
"TN"	2012	"CAMPBELL County"	"3-2 Jacksboro Sta"	884	296	1193	3	778	1114	308					36																				893										1112										12	957		957					879	210	1141
"TN"	2012	"CAMPBELL County"	"3-3 West LaFollette"	301	216	530	3	238	466	207					36																				345										476										12	371		371					302	140	487
"TN"	2012	"CAMPBELL County"	"4-1 Caryville"	841	297	1153	3	693	1031	304					36																				855										1040										12	874		874					820	211	1079
"TN"	2012	"CAMPBELL County"	"4-2 Clinchmore"	30	11	42	3	12	35	20					36																				23										34										12	25		25					17	18	38
"TN"	2012	"CAMPBELL County"	"4-3 Jacksboro"	674	266	953	3	581	860	258					36																				704										862										12	739		739					666	190	902
"TN"	2012	"CAMPBELL County"	"4-4 Ridgewood"	445	192	652	3	403	602	176					36																				436										585										12	501		501					451	137	615
"TN"	2012	"CAMPBELL County"	"5-1 Elk Valley"	213	49	264	3	182	241	50					36																				212										246										12	220		220					196	36	248
"TN"	2012	"CAMPBELL County"	"5-2 Habersham"	336	75	414	3	244	339	74					36																				274										362										12	307		307					301	54	367
"TN"	2012	"CAMPBELL County"	"5-3 Jellico"	529	232	768	2	490	706	188					36																				520										663										12	538		538					487	195	703
"TN"	2012	"CAMPBELL County"	"5-4 Newcomb"	205	118	331	2	197	297	85					36																				212										278										12	221		221					191	89	293
"TN"	2012	"CAMPBELL County"	"5-5 White Oak"	138	81	223	2	98	186	68					36																				118										179										12	125		125					113	73	199
"TN"	2012	"CANNON County"	"1-1 Westside"	862	329	1214	6	827	1036						46																				845										845																		833	235	1143
"TN"	2012	"CANNON County"	"2-1 Auburntown"	268	108	381	6	249	309						46																				258										258																		254	72	347
"TN"	2012	"CANNON County"	"2-2 Gassaway"	105	70	180	6	94	146						46																				103										103																		99	45	163
"TN"	2012	"CANNON County"	"2-3 Pleasant Ridge"	175	87	268	6	163	228						46																				171										171																		175	54	246
"TN"	2012	"CANNON County"	"2-4 Short Mountain"	122	84	210	6	116	177						46																				118										118																		124	53	195
"TN"	2012	"CANNON County"	"3-2 Woodland"	651	241	908	6	580	741						46																				589										589																		610	178	823
"TN"	2012	"CANNON County"	"4-1 Eastside"	539	255	806	6	512	638						46																				508										508																		530	173	730
"TN"	2012	"CANNON County"	"4-2 Short Mountain"	150	80	236	6	132	175						46																				132										132																		137	63	213
"TN"	2012	"CANNON County"	"5-1 Woodbury"	437	310	770	6	422	580						46																				451										451																		437	218	693
"TN"	2012	"CANNON County"	"Absentee"	0	0	0	6	0	0						46																				0										0																		0	0	0
"TN"	2012	"CARROLL County"	"Atwood"	422	270	703	8	397	648	230					79																				499										499										24	368	294	662					397	230	655
"TN"	2012	"CARROLL County"	"Bethel College"	784	318	1117	8	750	1051	265					76										487										609										1096										24	676	399	1075					795	237	1069
"TN"	2012	"CARROLL County"	"Bruceton"	397	231	637	8	381	605	198					76										332										288										620										24	328	280	608					398	186	606
"TN"	2012	"CARROLL County"	"Buena Vista"	106	43	154	8	110	146	33					79																				122										122										24	97	50	147					106	29	142
"TN"	2012	"CARROLL County"	"Cannon"	186	85	277	8	184	262	65					76										119										146										265										24	166	103	269					178	70	263
"TN"	2012	"CARROLL County"	"Cedar Grove"	421	172	608	8	396	574	156					79																				484										484										24	368	216	584					402	150	583
"TN"	2012	"CARROLL County"	"Civic Center"	1113	552	1685	8	1082	1563	434					79	76											9								1135		14								1135		23								24	990	594	1584					1072	429	1563
"TN"	2012	"CARROLL County"	"Clarksburg"	544	139	691	8	502	651	123					79																				565										565										24	444	211	655					497	119	646
"TN"	2012	"CARROLL County"	"Concord"	184	125	311	8	178	284	91					79																				198										198										24	166	128	294					173	98	281
"TN"	2012	"CARROLL County"	"Hollow Rock"	249	176	430	8	212	389	154					76										235										185										420										24	204	204	408					217	149	389
"TN"	2012	"CARROLL County"	"Huntingdon"	815	326	1155	8	779	1073	269					79	76											34								823		28								823		62								24	713	375	1088					756	269	1069
"TN"	2012	"CARROLL County"	"Lavinia"	240	51	294	8	242	287	44					79																				266										266										24	212	79	291					234	48	286
"TN"	2012	"CARROLL County"	"Macedonia"	132	21	155	8	118	147	21					76										52										99										151										24	108	44	152					123	22	150
"TN"	2012	"CARROLL County"	"McKenzie"	292	178	475	8	276	442	143					76										235										229										464										24	243	203	446					291	139	447
"TN"	2012	"CARROLL County"	"McLemoresville"	261	130	398	8	259	372	101					79	76											0								292		0								292		0								24	226	153	379					250	100	363
"TN"	2012	"CARROLL County"	"Senior Citizens"	466	352	830	8	449	761	280					76										431										365										796										24	395	388	783					447	271	757
"TN"	2012	"CARROLL County"	"Trezevant"	432	226	664	8	414	621	187					76										281										360										641										24	371	258	629					414	176	614
"TN"	2012	"CARROLL County"	"Vale"	73	49	126	8	60	113	44					76										63										58										121										24	53	66	119					66	40	114
"TN"	2012	"CARROLL County"	"Westport"	108	31	141	8	99	130	28					79																				116										116										24	96	36	132					94	34	133
"TN"	2012	"CARTER County"	"Central"	952	298	1271	1	906	1174	205					4																				474										1151																		908	203	1163
"TN"	2012	"CARTER County"	"Courthouse"	852	225	1092	1	801	976	129					4																				342										982																		817	120	980
"TN"	2012	"CARTER County"	"Eastside"	658	212	887	1	660	820	127					4																				344										822																		668	134	828
"TN"	2012	"CARTER County"	"Elk Mills"	116	42	158	1	108	140	25					3										27										112										145																		116	27	148
"TN"	2012	"CARTER County"	"Gap Creek"	1074	297	1392	1	1019	1279	211					4	3											29								545		176								1079		215																1023	208	1279
"TN"	2012	"CARTER County"	"Hampton"	565	157	733	1	526	654	86					3										115										508										654																		535	98	667
"TN"	2012	"CARTER County"	"Happy Valley"	1832	624	2493	1	1764	2327	462					4																				1059										2162																		1765	463	2315
"TN"	2012	"CARTER County"	"Harold McCormick"	462	327	804	1	451	679	190					4																				221										637																		456	195	691
"TN"	2012	"CARTER County"	"High School"	1029	411	1478	1	1018	1355	266					4																				549										1339																		1024	249	1351
"TN"	2012	"CARTER County"	"Hunter"	1249	302	1562	1	1142	1371	179					4																				526										1492										4	1033		1033					1156	192	1396
"TN"	2012	"CARTER County"	"Keenburg"	591	188	787	1	556	702	104					4																				311										749										4	517		517					545	123	697
"TN"	2012	"CARTER County"	"Little Milligan"	180	71	254	1	179	237	45					4																				84										239																		188	49	244
"TN"	2012	"CARTER County"	"Midway"	424	77	513	1	393	456	45					4																				196										495										4	350		350					395	46	459
"TN"	2012	"CARTER County"	"National Guard"	117	43	164	1	110	146	29					4																				60										158										4	109		109					113	31	151
"TN"	2012	"CARTER County"	"Range"	291	81	375	1	265	335	51					4																				161										343										4	253		253					277	52	343
"TN"	2012	"CARTER County"	"Roan Mountain"	1116	235	1375	1	1037	1256	157					3										163										1062										1280																		1047	162	1265
"TN"	2012	"CARTER County"	"Siam"	385	110	505	1	378	460	65					4																				182										466																		361	71	452
"TN"	2012	"CARTER County"	"Tiger Valley"	869	212	1097	1	773	962	145					3										159										804										1002																		814	138	999
"TN"	2012	"CARTER County"	"Unaka"	610	198	824	1	580	732	111					4																				242										790										4	514		514					580	128	748
"TN"	2012	"CARTER County"	"Valley Forge"	906	284	1207	1	853	1067	165					4	3											28								407		85								1015		120																875	167	1088
"TN"	2012	"CARTER County"	"Watauga"	166	63	234	1	150	211	51					4																				97										217										4	138		138					146	47	205
"TN"	2012	"CARTER County"	"Westside"	1059	332	1412	1	1035	1316	212					4																				534										1310																		1065	204	1319
"TN"	2012	"CHEATHAM County"	"1-1 County Library"	1234	740	2019	5	892	1919	965					78										717										1040										1930																		1285	474	1888
"TN"	2012	"CHEATHAM County"	"2-2 East Cheatham"	1749	654	2443	6	1443	1886		5	193	353	155	78										623										1411										2337																		1773	442	2327
"TN"	2012	"CHEATHAM County"	"3-1 Pleasant View"	1919	675	2636	6	1421	1843		5	345	641	286	78										659										1544										2543																		1960	474	2539
"TN"	2012	"CHEATHAM County"	"4-1 West Cheatham"	1050	419	1489	5	776	1436	639					78										469										896										1453																		1036	312	1427
"TN"	2012	"CHEATHAM County"	"4-2 New Hope"	30	7	37	5	20	33	11					78										6										27										35																		26	5	35
"TN"	2012	"CHEATHAM County"	"4-3 Sycamore"	753	294	1061	5	538	1018	465					78										317										622										1029																		780	187	1009
"TN"	2012	"CHEATHAM County"	"5-1 Two Rivers"	451	225	680	5	326	645	307					78										247										373										652																		455	165	647
"TN"	2012	"CHEATHAM County"	"5-2 Pegram"	1184	615	1840	5	922	1779	812					78										624										1015										1776																		1237	404	1771
"TN"	2012	"CHEATHAM County"	"6-1 Harpeth"	1898	1030	2977	5	1487	2848	1309					78										1075										1635										2872																		1992	669	2838
"TN"	2012	"CHESTER County"	"1-2 Enville"	332	114	451	7	335	430	76					72																				387										387										26	286	149	435					324	91	434
"TN"	2012	"CHESTER County"	"1-5 Sweet Lips"	300	89	392	7	288	359	51					72																				318										318										26	261	114	375					292	63	370
"TN"	2012	"CHESTER County"	"1-6 Harmony"	209	74	291	7	205	273	44					72																				222										222										26	161	115	276					208	53	271
"TN"	2012	"CHESTER County"	"2-1 Jacks Creek"	302	71	381	7	295	361	49					72																				325										325										26	230	132	362					285	55	359
"TN"	2012	"CHESTER County"	"2-2 Friendship"	526	172	708	7	508	667	125					72																				571										571										26	394	286	680					496	152	667
"TN"	2012	"CHESTER County"	"3-2 Montezuma"	523	118	649	7	502	619	80					72																				542										542										26	393	215	608					491	97	609
"TN"	2012	"CHESTER County"	"3-4 Masseyville"	169	78	249	7	168	233	48					72																				193										193										26	136	100	236					169	55	234
"TN"	2012	"CHESTER County"	"3-6 Deanburg"	204	42	249	7	204	230	15					72																				211										211										26	176	56	232					198	28	231
"TN"	2012	"CHESTER County"	"4-1 West Chester"	1092	280	1397	7	1067	1318	186					72																				1176										1176										26	818	514	1332					1073	219	1344
"TN"	2012	"CHESTER County"	"5-1 East Chester"	690	381	1089	7	725	1016	242					72																				840										840										26	574	455	1029					701	290	1024
"TN"	2012	"CHESTER County"	"6-1 City Hall"	337	205	554	7	345	503	130					72																				410										410										26	272	236	508					335	163	518
"TN"	2012	"CLAIBORNE County"	"1-1 Tazewell"	969	416	1410	2	966	1299	272					35																				1023										1023										8	994		994					961	276	1295
"TN"	2012	"CLAIBORNE County"	"2-1 Clouds"	539	145	696	2	506	639	104					35																				549										549										8	539		539					503	110	640
