state	year	county	precinct	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_USS_rv	g2012_USS_dv	g2012_USS_tv	g2012_USP_tv	g2012_USP_dv	g2012_USP_rv
"NE"	2012	"Cass"	"West Rock Bluff"	1	88	273	361	233	141	374	372	140	229
"NE"	2012	"Cedar"	"EV/AB"	3	174	466	640	465	229	694	690	179	500
"NE"	2012	"Cedar"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cedar"	"Precicnt 11 (17-18)"	3	32	100	132	99	38	137	142	30	107
"NE"	2012	"Cedar"	"Precicnt 4 (5-6-7)"	3	44	130	174	124	60	184	182	45	134
"NE"	2012	"Cedar"	"Precinct 1 (1)"	3	42	119	161	107	61	168	169	43	118
"NE"	2012	"Cedar"	"Precinct 10 (15-16)"	3	44	233	277	220	82	302	302	71	228
"NE"	2012	"Cedar"	"Precinct 12 (19)"	3	84	298	382	300	102	402	399	94	296
"NE"	2012	"Cedar"	"Precinct 13 (20)"	3	23	84	107	82	41	123	122	41	81
"NE"	2012	"Cedar"	"Precinct 14 (21E)"	3	37	190	227	158	75	233	234	45	186
"NE"	2012	"Cedar"	"Precinct 15 (21 W)"	3	45	171	216	161	66	227	223	47	172
"NE"	2012	"Cedar"	"Precinct 16 (1502)"	3	6	38	44	39	9	48	47	2	45
"NE"	2012	"Cedar"	"Precinct 2 (2-3)"	3	88	253	341	248	119	367	370	74	286
"NE"	2012	"Cedar"	"Precinct 3 (4)"	3	33	153	186	136	56	192	195	43	147
"NE"	2012	"Cedar"	"Precinct 5 (13-14)"	3	18	83	101	77	30	107	107	25	81
"NE"	2012	"Cedar"	"Precinct 6 (9-1)"	3	73	307	380	291	108	399	392	88	300
"NE"	2012	"Cedar"	"Precinct 7 (8-9-2)"	3	66	293	359	275	109	384	381	66	313
"NE"	2012	"Cedar"	"Precinct 8 (9A)"	3	34	52	86	54	39	93	88	26	56
"NE"	2012	"Cedar"	"Precinct 9 (10-11-12)"	3	38	217	255	205	60	265	270	39	228
"NE"	2012	"Cedar"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Chase"	"Champion/Lamar"	3	39	229	268	227	44	271	273	29	238
"NE"	2012	"Chase"	"EV/AB"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Chase"	"Imperial East"	3	52	256	308	251	62	313	315	63	249
"NE"	2012	"Chase"	"Imperial Rural"	3	33	284	317	277	42	319	324	32	288
"NE"	2012	"Chase"	"Imperial West"	3	73	495	568	483	95	578	581	85	487
"NE"	2012	"Chase"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Chase"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Chase"	"Wauneta"	3	38	321	359	308	61	369	369	45	322
"NE"	2012	"Cherry"	"Barley"	3	1	51	52	52	1	53	53	2	48
"NE"	2012	"Cherry"	"Cleveland"	3	5	60	65	57	15	72	71	3	67
"NE"	2012	"Cherry"	"Cody"	3	18	163	181	163	26	189	192	16	175
"NE"	2012	"Cherry"	"Crookston"	3	13	90	103	75	25	100	107	13	88
"NE"	2012	"Cherry"	"EV/AB"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cherry"	"Gillaspie"	3	4	14	18	15	3	18	19	0	19
"NE"	2012	"Cherry"	"Goose Creek"	3	0	74	74	66	3	69	75	0	75
"NE"	2012	"Cherry"	"Kennedy"	3	0	25	25	24	1	25	26	1	25
"NE"	2012	"Cherry"	"Kilgore"	3	17	71	88	65	25	90	93	16	77
"NE"	2012	"Cherry"	"King"	3	0	19	19	18	1	19	19	1	18
"NE"	2012	"Cherry"	"Lackey"	3	3	51	54	50	4	54	55	3	50
"NE"	2012	"Cherry"	"Loup"	3	12	115	127	114	13	127	127	10	116
"NE"	2012	"Cherry"	"Merriman"	3	26	111	137	118	25	143	144	13	123
"NE"	2012	"Cherry"	"Mother Lake"	3	4	32	36	32	5	37	37	3	33
"NE"	2012	"Cherry"	"Nenzel"	3	1	33	34	26	8	34	32	3	29
"NE"	2012	"Cherry"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cherry"	"Provisional"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cherry"	"Russell"	3	1	26	27	25	4	29	28	1	27
"NE"	2012	"Cherry"	"Valentine East"	3	91	488	579	428	160	588	598	104	483
"NE"	2012	"Cherry"	"Valentine North"	3	100	549	649	466	181	647	662	128	529
"NE"	2012	"Cherry"	"Valentine South"	3	91	388	479	359	129	488	498	92	390
"NE"	2012	"Cherry"	"Wells"	3	10	81	91	81	13	94	94	14	78
"NE"	2012	"Cherry"	"Wood Lake"	3	15	102	117	94	18	112	122	13	107
"NE"	2012	"Cheyenne"	"EV/AB"	3	248	886	1134	800	355	1155	1154	320	809
"NE"	2012	"Cheyenne"	"Gurley"	3	20	206	226	183	44	227	223	31	188
"NE"	2012	"Cheyenne"	"Lodgepole"	3	51	238	289	209	82	291	294	67	222
"NE"	2012	"Cheyenne"	"New/Former Resident"	3	0	0	0	0	0	0	5	2	3
"NE"	2012	"Cheyenne"	"Potter"	3	39	232	271	222	56	278	273	51	221
"NE"	2012	"Cheyenne"	"Provisional"	3	12	56	68	45	23	68	66	15	48
"NE"	2012	"Cheyenne"	"Sidney 1"	3	83	357	440	317	127	444	441	102	329
"NE"	2012	"Cheyenne"	"Sidney 2"	3	95	444	539	378	162	540	543	124	403
"NE"	2012	"Cheyenne"	"Sidney 3"	3	94	251	345	226	119	345	356	108	244
"NE"	2012	"Cheyenne"	"Sidney 4"	3	75	322	397	304	106	410	407	96	302
"NE"	2012	"Cheyenne"	"Sidney 5"	3	96	538	634	486	147	633	644	138	496
"NE"	2012	"Cheyenne"	"Union Valley"	3	28	189	217	174	45	219	218	30	184
"NE"	2012	"Clay"	"Clay Center City"	3	78	212	290	201	92	293	293	91	199
"NE"	2012	"Clay"	"EV/AB"	3	111	276	387	262	132	394	396	122	270
"NE"	2012	"Clay"	"Edgar Cons."	3	54	209	263	188	81	269	268	67	196
"NE"	2012	"Clay"	"Fairfield 1st"	3	41	103	144	96	49	145	147	43	101
"NE"	2012	"Clay"	"Glenvil"	3	50	115	165	127	41	168	169	40	128
"NE"	2012	"Clay"	"Harvard Cons."	3	92	237	329	240	89	329	331	83	238
"NE"	2012	"Clay"	"LLLM Cons."	3	34	131	165	130	37	167	166	31	134
"NE"	2012	"Clay"	"Leicester Inland"	3	52	131	183	150	32	182	183	31	150
"NE"	2012	"Clay"	"New/Former Resident"	3	0	0	0	0	0	0	0	0	0
"NE"	2012	"Clay"	"Provisional"	3	5	21	26	23	3	26	25	5	19
"NE"	2012	"Clay"	"Spring Ranch FF 2nd"	3	25	135	160	137	29	166	164	24	140
"NE"	2012	"Clay"	"Sutton 1st"	3	52	247	299	239	64	303	299	49	245
"NE"	2012	"Clay"	"Sutton 2nd"	3	55	243	298	231	71	302	300	53	241
"NE"	2012	"Clay"	"Sutton Twps"	3	33	168	201	170	30	200	200	28	171
"NE"	2012	"Colfax"	"Clarkson 4"	1	98	549	647	475	192	667	661	162	492
"NE"	2012	"Colfax"	"Cuming County PPD"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Colfax"	"EV/AB"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Colfax"	"Howells 5"	1	66	379	445	335	136	471	474	108	359
"NE"	2012	"Colfax"	"New/Former Resident"	1	0	0	0	0	0	0	1	1	0
"NE"	2012	"Colfax"	"Provisional"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Colfax"	"Schuyler 1"	1	136	356	492	307	197	504	508	199	297
"NE"	2012	"Colfax"	"Schuyler 2"	1	183	576	759	498	287	785	790	271	504
"NE"	2012	"Colfax"	"Schuyler 3"	1	159	448	607	377	250	627	629	228	399
"NE"	2012	"Colfax"	"Stanton County PPD"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cuming"	"BCN01"	1	60	323	383	282	111	393	395	104	284
"NE"	2012	"Cuming"	"BEE01"	1	57	320	377	292	90	382	384	93	283
"NE"	2012	"Cuming"	"BGW01"	1	108	519	627	459	185	644	636	184	442
"NE"	2012	"Cuming"	"EV/AB"	1	143	537	680	459	223	682	696	229	458
"NE"	2012	"Cuming"	"New/Former Resident"	1	0	0	0	0	0	0	1	0	1
"NE"	2012	"Cuming"	"Provisional"	1	0	0	0	0	0	0	0	0	0
"NE"	2012	"Cuming"	"SSGC01"	1	45	379	424	354	86	440	437	85	350
"NE"	2012	"Cuming"	"SW401"	1	33	279	312	261	58	319	313	48	263
"NE"	2012	"Cuming"	"WP1&301"	1	88	536	624	470	187	657	651	179	461
"NE"	2012	"Cuming"	"WP201"	1	71	364	435	316	130	446	449	109	334
"NE"	2012	"Custer"	"Algernon"	3	19	101	120	109	16	125	124	18	104
"NE"	2012	"Custer"	"Ansley"	3	53	200	253	195	59	254	253	55	192
"NE"	2012	"Custer"	"Arnold Rural"	3	15	76	91	84	10	94	93	12	80
"NE"	2012	"Custer"	"Arnold Village"	3	42	245	287	245	46	291	288	42	242
"NE"	2012	"Custer"	"Berwyn"	3	14	85	99	89	10	99	99	15	80
"NE"	2012	"Custer"	"Broken Bow North"	3	30	101	131	96	37	133	133	38	93
"NE"	2012	"Custer"	"Broken Bow North Rural"	3	24	160	184	165	23	188	185	21	164
"NE"	2012	"Custer"	"Broken Bow Northwest"	3	70	311	381	304	73	377	382	87	288
"NE"	2012	"Custer"	"Broken Bow South"	3	99	364	463	357	112	469	463	111	342
"NE"	2012	"Custer"	"Broken Bow South Rural"	3	27	150	177	143	31	174	180	30	147
"NE"	2012	"Custer"	"Broken Bow Southwest"	3	48	179	227	158	67	225	222	56	162
"NE"	2012	"Custer"	"Cliff"	3	3	57	60	59	1	60	60	3	57
"NE"	2012	"Custer"	"Comstock"	3	19	36	55	39	17	56	56	19	36
"NE"	2012	"Custer"	"Corner"	3	2	8	10	9	2	11	11	2	9
"NE"	2012	"Custer"	"Custer"	3	6	35	41	37	6	43	43	6	37
"NE"	2012	"Custer"	"Delight"	3	62	261	323	270	55	325	321	60	253
"NE"	2012	"Custer"	"Douglas Grove"	3	9	30	39	28	11	39	40	13	27
"NE"	2012	"Custer"	"EV/AB"	3	231	795	1026	783	265	1048	1052	276	756
