state	year	county	precinct	g2012_USP_rv	g2012_USP_dv	g2012_USS_rv	g2012_USS_dv	g2012_USH_rv	g2012_USH_dv	g2012_USP_tv	g2012_USS_tv	g2012_USH_tv
"WY"	2012	"Campbell"	"Wright Town Hall 14-1"	604	59	596	53	544	56	677	664	645
"WY"	2012	"Campbell"	"Wright Town Hall 14-2"	322	14	311	11	288	14	338	332	325
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 18-1"	416	35	408	32	377	32	458	452	440
"WY"	2012	"Campbell"	"Antelope Valley Church 19-1"	296	28	292	22	276	20	337	327	313
"WY"	2012	"Campbell"	"Antelope Valley Church 22-1"	207	35	207	31	197	29	245	245	242
"WY"	2012	"Campbell"	"1st United Methodist Church 23-1"	571	38	561	26	515	42	618	604	589
"WY"	2012	"Campbell"	"Antelope Valley Church 24-1"	300	41	301	30	287	29	351	345	338
"WY"	2012	"Campbell"	"Cam-Plex Wyoming Center 26-1"	45	9	45	5	38	7	54	53	52
"WY"	2012	"Carbon"	"Jeffrey Center 1-1"	203	322	301	217	254	227	538	530	525
"WY"	2012	"Carbon"	"Jeffrey Center 1-2"	145	87	174	59	149	69	239	235	234
"WY"	2012	"Carbon"	"Jeffrey Center 2-1"	371	230	456	142	382	175	624	603	598
"WY"	2012	"Carbon"	"Jeffrey Center 2-2"	398	264	504	154	440	175	683	672	662
"WY"	2012	"Carbon"	"Jeffrey Center 3-1"	307	208	381	146	325	166	537	536	525
"WY"	2012	"Carbon"	"Jeffrey Center 3-2"	355	235	433	158	369	187	614	607	602
"WY"	2012	"Carbon"	"Muddy Gap Fire Station 4-1"	13	4	16	1	16	0	17	17	17
"WY"	2012	"Carbon"	"Sinclair Town Hall 5-1"	165	68	184	48	160	53	239	236	233
"WY"	2012	"Carbon"	"Hanna Town Hall 6-1"	25	0	23	2	26	0	26	26	26
"WY"	2012	"Carbon"	"Medicine Bow Senior Center 7-1"	109	32	119	18	108	23	146	144	143
"WY"	2012	"Carbon"	"Hanna Town Hall 8-1"	215	107	243	81	212	82	338	333	329
"WY"	2012	"Carbon"	"Elk Mountain Senior Center 9-1"	119	21	126	17	114	14	152	150	149
"WY"	2012	"Carbon"	"McFadden Fire Station 10-1"	42	3	46	1	43	1	46	47	47
"WY"	2012	"Carbon"	"Platte Valley Community Center 11-1"	569	281	664	198	594	222	897	879	872
"WY"	2012	"Carbon"	"Platte Valley Community Center 11-2"	315	80	339	52	317	60	407	397	392
"WY"	2012	"Carbon"	"Encampment Town Hall 12-1"	200	76	234	44	218	51	290	286	288
"WY"	2012	"Carbon"	"Riverside Town Hall 13-1"	189	60	207	44	197	46	258	255	252
"WY"	2012	"Carbon"	"Dixon Senior Center 14-1"	108	9	114	8	105	8	124	123	120
"WY"	2012	"Carbon"	"Valley Community Center 15-1"	300	23	300	15	276	13	334	324	316
"WY"	2012	"Converse"	"Wyoming State Fairgrounds 1-1"	147	17	151	11	144	11	168	165	163
"WY"	2012	"Converse"	"Douglas Recreation Center 2-2"	324	58	331	45	301	56	395	387	380
"WY"	2012	"Converse"	"White School 3-1"	153	14	149	13	137	14	170	170	167
"WY"	2012	"Converse"	"Douglas Recreation Center 4-4"	375	55	392	40	366	50	446	443	440
"WY"	2012	"Converse"	"Glenrock Recreation Center 6-6"	243	32	263	16	241	22	286	285	282
"WY"	2012	"Converse"	"Douglas Recreation Center 7-7"	173	24	173	19	160	21	202	199	197
"WY"	2012	"Converse"	"Wyoming State Fairgrounds 8-8"	231	29	238	24	220	23	272	269	261
"WY"	2012	"Converse"	"Glenrock Recreation Center 9-1"	486	131	530	102	462	127	644	641	624
"WY"	2012	"Converse"	"Glenrock Recreation Center 9-2"	349	109	393	72	325	106	474	476	471
"WY"	2012	"Converse"	"Glenrock Recreation Center 10-10"	244	56	254	44	231	51	309	304	300
"WY"	2012	"Converse"	"Glenrock Recreation Center 11-11"	180	29	184	25	158	24	220	216	208
"WY"	2012	"Converse"	"Dry Creek School 13-13"	97	7	98	5	96	6	105	104	105
"WY"	2012	"Converse"	"Douglas Recreation Center 20-20"	96	11	97	9	91	10	109	107	105
"WY"	2012	"Converse"	"Douglas Recreation Center 23-1"	252	74	262	57	231	64	340	334	326
"WY"	2012	"Converse"	"Douglas Recreation Center 23-2"	327	84	357	56	314	70	423	419	410
"WY"	2012	"Converse"	"Douglas Recreation Center 23-3"	394	75	422	44	376	64	485	481	473
"WY"	2012	"Converse"	"Douglas Recreation Center 23-4"	492	173	557	99	485	136	680	671	664
"WY"	2012	"Converse"	"Douglas Recreation Center 23-5"	257	43	270	35	253	41	311	312	309
"WY"	2012	"Converse"	"Douglas Recreation Center 23-6"	223	68	244	56	214	66	304	305	299
"WY"	2012	"Crook"	"Sundance Inside North - Courthouse 1-1"	272	65	296	48	270	54	363	361	356
"WY"	2012	"Crook"	"Sundance Inside South - Courthouse 1-2"	229	44	245	33	223	41	284	285	284
"WY"	2012	"Crook"	"Sundance Outside - Courthouse 2-2"	408	73	424	65	398	62	505	503	493
"WY"	2012	"Crook"	"Beulah Community Building 3-3"	130	25	135	26	121	29	169	167	164
"WY"	2012	"Crook"	"Aladdin Community Building  7-7"	150	23	156	18	155	15	178	177	177
"WY"	2012	"Crook"	"Alva Church 9-9"	71	4	74	1	68	3	77	75	74
"WY"	2012	"Crook"	"Tower Junction - Ram Center 11-11"	194	25	195	21	182	23	223	222	218
"WY"	2012	"Crook"	"Elmore - Barton Ranch Voting Booth 12-12"	270	24	263	20	256	19	303	295	296
"WY"	2012	"Crook"	"Hulett Outside - Civic Center 13-13"	221	13	233	7	221	8	248	243	241
"WY"	2012	"Crook"	"Hulett Inside - Civic Center 14-14"	146	30	146	25	139	23	181	179	177
"WY"	2012	"Crook"	"Pine Haven Town Hall 15-15"	223	31	222	24	211	28	263	255	257
"WY"	2012	"Crook"	"Moorcroft Outside - Public Safety Bldg. 16-16"	304	18	297	19	287	20	330	326	324
"WY"	2012	"Crook"	"Moorcroft West Side - Public Safety Bldg. 18-1"	156	25	160	18	152	19	188	184	183
"WY"	2012	"Crook"	"Moorcroft East Side - Pubilc Safety Bldg. 18-2"	197	20	191	19	187	16	224	221	219
"WY"	2012	"Crook"	"New Haven Community Building 23-23"	45	4	49	1	46	1	50	51	50
"WY"	2012	"Crook"	"Colony Community Building 24-24"	39	2	38	2	37	1	42	41	41
"WY"	2012	"Crook"	"Oshoto Community Building 26-26"	54	0	53	1	52	0	57	56	56
"WY"	2012	"Fremont"	"Lander Community Center 1-1"	440	248	508	175	449	203	715	706	696
"WY"	2012	"Fremont"	"Lander Community Center 1-2"	185	131	205	99	186	101	332	322	317
"WY"	2012	"Fremont"	"Lander Community Center 1-3"	345	296	397	230	353	245	661	640	639
"WY"	2012	"Fremont"	"Lander Community Center 1-4"	248	198	290	150	259	172	465	456	454
"WY"	2012	"Fremont"	"Lander Community Center 1-5"	445	265	496	204	439	231	735	726	714
"WY"	2012	"Fremont"	"Lander Community Center 1-6"	312	262	358	206	307	226	595	586	575
"WY"	2012	"Fremont"	"Hudson Town Hall 2-1"	195	68	206	49	191	54	266	266	258
"WY"	2012	"Fremont"	"Fremont Center -  Fair Office 3-1"	403	126	431	96	387	100	554	547	532
"WY"	2012	"Fremont"	"Fremont Center -  Fair Office 3-2"	385	116	413	93	372	97	524	526	518
"WY"	2012	"Fremont"	"Fremont Center -  Fair Office 3-3"	637	235	726	144	639	178	910	897	882
"WY"	2012	"Fremont"	"Fremont Center -  Fair Office 3-4"	404	168	464	110	405	127	603	596	591
"WY"	2012	"Fremont"	"Fremont Center -  Fair Office 3-5"	555	205	600	140	566	146	776	760	751
"WY"	2012	"Fremont"	"Fremont Center -  Fair Office 3-6"	615	198	677	126	609	157	833	822	816
"WY"	2012	"Fremont"	"Ft. Washakie School Administration 4-1"	108	437	224	295	174	295	559	537	515
"WY"	2012	"Fremont"	"Lander Community Center 5-1"	961	406	996	338	910	384	1419	1406	1390
"WY"	2012	"Fremont"	"Lander Community Center 6-1"	298	104	318	72	286	84	417	407	403
"WY"	2012	"Fremont"	"Dubios Headwaters Center  7-1"	837	211	871	167	810	183	1073	1062	1052
"WY"	2012	"Fremont"	"Arapahoe School 8-1"	143	346	254	190	185	210	493	461	432
"WY"	2012	"Fremont"	"Missouri Valley Fire Hall 9-1"	338	23	341	17	327	17	365	362	359
"WY"	2012	"Fremont"	"Heritage Hall - Fairgrounds 10-1"	523	110	560	68	522	74	647	642	631
"WY"	2012	"Fremont"	"Jeffrey City Fire Hall 12-1"	77	5	82	3	75	2	88	88	87
"WY"	2012	"Fremont"	"WY Indian High Tech Center 13-1"	109	535	245	354	174	385	649	616	594
"WY"	2012	"Fremont"	"Wind River Recreation Center 14-1"	583	109	606	88	558	92	718	722	717
"WY"	2012	"Fremont"	"Kinnear Fire Hall 16-1"	138	46	150	34	139	26	191	193	189
"WY"	2012	"Fremont"	"Heritage Hall - Fairgrounds 17-1"	197	143	238	88	211	94	347	335	325
"WY"	2012	"Fremont"	"Fremont Center -  Fair Office 18-1"	707	105	761	65	698	83	845	842	837
"WY"	2012	"Fremont"	"Fremont Center -  Fair Office 18-2"	274	66	291	51	265	57	350	347	340
"WY"	2012	"Fremont"	"Crowheart School Gym 19-1"	81	28	92	17	83	22	112	110	110
"WY"	2012	"Fremont"	"Shoshoni Senior Citizens Center 20-1"	251	55	256	42	234	34	315	313	305
"WY"	2012	"Fremont"	"Heritage Hall - Fairgrounds 21-1"	201	68	227	41	203	44	279	278	274
"WY"	2012	"Fremont"	"Lysite Fire Hall 22-1"	50	1	51	0	48	1	51	51	51
"WY"	2012	"Fremont"	"Atlantic City Fire Hall 24-1"	30	19	35	15	28	19	52	52	52
"WY"	2012	"Goshen"	"Prairie Center 1-1"	46	1	47	1	45	2	47	48	48
"WY"	2012	"Goshen"	"Jay Em 2-1"	66	11	70	4	64	6	78	75	76
"WY"	2012	"Goshen"	"Lingle Town Hall 8-1"	430	86	451	59	431	64	532	525	523
"WY"	2012	"Goshen"	"Fort Laramie Town Hall 9-1"	181	72	199	50	180	60	261	260	258
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-1"	116	81	135	55	120	63	207	197	199
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-2"	157	96	190	66	168	67	263	264	257
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-3"	59	23	63	18	61	17	85	83	83
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-4"	367	163	432	93	379	116	539	534	526
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-5"	313	137	354	92	321	103	458	456	450
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-6"	250	134	285	84	254	94	393	381	377
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-7"	225	131	280	75	234	99	369	369	367
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-8"	478	149	533	96	485	117	645	643	632
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-9"	428	147	473	94	433	115	588	581	575
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-10"	100	66	115	50	97	59	175	175	172
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-11"	58	32	71	18	60	27	93	92	92
"WY"	2012	"Goshen"	"Torrington Rendezvous Center 10-12"	28	4	28	2	26	4	32	32	31
"WY"	2012	"Goshen"	"Veteran Legion Post #56 13-1"	87	22	94	18	86	17	116	113	109
"WY"	2012	"Goshen"	"Yoder Community Center 15-1"	168	46	189	23	180	27	222	219	216
"WY"	2012	"Goshen"	"Huntley School 16-1"	110	15	115	12	105	13	128	128	126
"WY"	2012	"Goshen"	"Huntley School 16-2"	114	9	116	5	115	6	126	125	122
"WY"	2012	"Goshen"	"Hawk Springs Community Center 17-1"	77	10	78	9	73	9	92	92	91
"WY"	2012	"Goshen"	"Hawk Springs Community Center 17-2"	25	1	23	2	24	1	26	26	26
"WY"	2012	"Goshen"	"La Grange Memorial Building 18-1"	228	19	225	16	216	15	259	249	250
"WY"	2012	"Goshen"	"La Grange Memorial Building 18-3"	39	1	40	1	38	2	42	42	42
"WY"	2012	"Goshen"	"Iowa Center Jackson Home 20-1"	28	2	27	1	26	2	30	30	29
"WY"	2012	"Hot Springs"	"1 Hot Springs County Fair Building 1-1"	579	189	645	135	584	145	803	801	783
"WY"	2012	"Hot Springs"	"2 Hot Springs County Fair Building 1-2"	503	172	569	101	511	118	702	694	687
"WY"	2012	"Hot Springs"	"Hot Springs County Museum 2-4"	676	141	720	102	650	113	847	842	828
"WY"	2012	"Hot Springs"	"National Guard Armory 3-3"	137	21	144	16	133	20	163	162	160
"WY"	2012	"Johnson"	"Johnson County Fairgrounds 2-14"	116	10	118	8	113	10	130	130	129
"WY"	2012	"Johnson"	"Buffalo - Catholic Rec Hall 3-1"	306	93	334	62	298	79	410	405	400
"WY"	2012	"Johnson"	"Buffalo - Catholic Rec Hall 3-2"	189	60	214	35	184	47	257	255	248
"WY"	2012	"Johnson"	"Buffalo - Catholic Rec Hall 3-3"	177	63	204	43	177	41	254	254	249
"WY"	2012	"Johnson"	"Johnson County Fairgrounds 3-4"	216	66	242	47	223	48	300	296	295
"WY"	2012	"Johnson"	"Johnson County Fairgrounds 3-5"	115	26	124	18	111	19	146	145	141
"WY"	2012	"Johnson"	"Johnson County Fairgrounds 3-6"	137	42	157	27	138	32	187	186	183
"WY"	2012	"Johnson"	"Johnson County Fairgrounds 3-7"	195	49	220	27	206	35	253	252	250
"WY"	2012	"Johnson"	"Buffalo - Catholic Rec Hall 3-8"	205	61	233	33	209	37	281	278	271
"WY"	2012	"Johnson"	"Buffalo - Catholic Rec Hall 4-7"	603	90	620	60	587	62	710	691	693
"WY"	2012	"Johnson"	"Johnson County Fairgrounds 4-8"	571	132	613	91	571	102	728	723	709
"WY"	2012	"Johnson"	"Johnson County Fairgrounds 5-9"	83	9	86	8	84	7	94	94	92
"WY"	2012	"Johnson"	"Kaycee - Harold Jarrard Park 6-10"	111	19	118	17	107	18	135	136	134
"WY"	2012	"Johnson"	"Kaycee - Harold Jarrard Park 8-11"	210	18	215	11	207	14	231	229	229
"WY"	2012	"Johnson"	"Kaycee - Harold Jarrard Park 9-12"	78	8	82	4	75	4	87	87	87
"WY"	2012	"Johnson"	"Johnson County Fairgrounds 10-15"	51	3	54	1	50	1	56	56	54
"WY"	2012	"Laramie"	"David R. Romero Park 1-1"	636	607	759	453	695	462	1292	1249	1250
"WY"	2012	"Laramie"	"David R. Romero Park 1-2"	305	437	375	350	340	343	771	746	743
"WY"	2012	"Laramie"	"Storey Gym 1-3"	324	387	399	308	341	307	752	728	726
"WY"	2012	"Laramie"	"Storey Gym 1-4"	226	221	270	169	242	164	459	445	435
"WY"	2012	"Laramie"	"Storey Gym 1-5"	364	309	417	248	378	254	696	678	675
"WY"	2012	"Laramie"	"Storey Gym 1-6"	363	444	449	347	412	342	831	810	807
"WY"	2012	"Laramie"	"Storey Gym 1-7"	158	152	204	103	176	117	325	313	315
"WY"	2012	"Laramie"	"Storey Gym 1-8"	411	374	481	301	430	307	827	802	802
"WY"	2012	"Laramie"	"American Legion Post #6 1-9"	247	250	298	186	269	183	516	503	502
"WY"	2012	"Laramie"	"David R. Romero Park 1-10"	290	298	352	231	320	234	622	601	600
"WY"	2012	"Laramie"	"Kiwanis Community House/Cheyenne 2-1"	289	190	327	152	303	151	505	492	491
"WY"	2012	"Laramie"	"Kiwanis Community House/Cheyenne 2-2"	483	308	572	215	523	218	813	797	790
"WY"	2012	"Laramie"	"Kiwanis Community House/Cheyenne 2-3"	561	316	655	228	601	243	896	888	880
"WY"	2012	"Laramie"	"Kiwanis Community House/Cheyenne 2-4"	389	197	432	150	387	175	603	596	592
"WY"	2012	"Laramie"	"Cheyenne Berean Church 2-5"	621	331	696	252	634	274	979	964	957
"WY"	2012	"Laramie"	"North Christian Church 2-6"	891	442	980	316	888	367	1363	1319	1319
"WY"	2012	"Laramie"	"Cheyenne Berean Church 2-7"	760	508	860	389	780	417	1313	1277	1282
"WY"	2012	"Laramie"	"Cheyenne Berean Church 2-8"	100	81	119	56	113	56	184	180	183
"WY"	2012	"Laramie"	"Good Shepherd Lutheran Church 2-9"	390	255	453	175	400	202	670	647	644
"WY"	2012	"Laramie"	"North Christian Church 2-10"	137	62	154	41	141	51	201	196	199
"WY"	2012	"Laramie"	"Good Shepherd Lutheran Church 2-11"	369	258	402	216	367	214	644	635	635
"WY"	2012	"Laramie"	"Northwoods Presbyterian Church 2-12"	542	333	600	251	540	260	899	873	875
"WY"	2012	"Laramie"	"Anderson Elementary School 2-13"	552	328	615	244	565	256	901	883	872
"WY"	2012	"Laramie"	"First Baptist Church 3-1"	489	295	559	213	519	218	806	793	790
"WY"	2012	"Laramie"	"American Legion Post #6 3-2"	217	239	281	181	234	196	491	478	485
"WY"	2012	"Laramie"	"First Congregational Church/Cheyenne 3-3"	313	290	388	204	342	211	629	608	599
"WY"	2012	"Laramie"	"First Congregational Church/Cheyenne 3-4"	314	246	355	196	316	206	578	567	564
"WY"	2012	"Laramie"	"IBEW #415 3-5"	546	370	626	294	555	313	949	941	937
"WY"	2012	"Laramie"	"AMVETS Post #10 3-6"	452	310	507	251	471	237	798	786	782
"WY"	2012	"Laramie"	"AMVETS Post #10 3-7"	279	222	317	183	295	171	526	516	509
"WY"	2012	"Laramie"	"Dildine Elementary School 3-8"	466	321	532	239	463	249	806	792	775
"WY"	2012	"Laramie"	"VFW Post #1881 3-9"	786	497	892	379	799	403	1331	1300	1282
"WY"	2012	"Laramie"	"VFW Post #1881 3-10"	383	280	445	221	399	225	690	681	676
"WY"	2012	"Laramie"	"Cheyenne Hills Church 3-11"	105	47	116	38	110	35	157	156	154
"WY"	2012	"Laramie"	"VFW Post #1881 3-12"	405	250	477	173	421	193	681	667	663
"WY"	2012	"Laramie"	"Cheyenne Hills Church 3-13"	196	108	227	73	206	80	310	303	300
"WY"	2012	"Laramie"	"Willadsen Elementary School 4-1"	79	25	79	23	80	19	107	105	107
"WY"	2012	"Laramie"	"Gilchrist Elementary School 4-2"	471	165	489	135	450	135	665	652	652
"WY"	2012	"Laramie"	"Iron Mountain Country Church 4-3"	26	3	27	2	24	2	29	29	29
"WY"	2012	"Laramie"	"Shrine Club 4-4"	412	109	428	79	390	88	536	524	522
"WY"	2012	"Laramie"	"Shrine Club 4-5"	56	9	58	7	55	5	66	66	64
"WY"	2012	"Laramie"	"Shrine Club 4-6"	1124	359	1178	286	1113	291	1512	1492	1489
"WY"	2012	"Laramie"	"David R. Romero Park 4-7"	638	262	672	219	637	205	925	913	913
"WY"	2012	"Laramie"	"Laramie County Community College 4-8"	454	346	524	278	472	282	842	830	824
"WY"	2012	"Laramie"	"Laramie County Community College 4-9"	630	363	712	266	644	272	1035	1013	1008
"WY"	2012	"Laramie"	"Iron Mountain Country Church 4-10"	142	42	147	38	142	37	190	189	189
"WY"	2012	"Laramie"	"Shrine Club 4-11"	71	43	71	34	66	36	115	109	110
"WY"	2012	"Laramie"	"Laramie County Community College 5-1"	267	195	306	141	279	146	480	470	468
"WY"	2012	"Laramie"	"Shrine Club 5-2"	787	326	836	257	767	286	1136	1122	1109
"WY"	2012	"Laramie"	"Laramie County Fire District #2 5-3"	827	317	888	248	785	278	1175	1165	1160
"WY"	2012	"Laramie"	"Laramie County Emergency Mgmt. 5-4"	1046	378	1077	300	994	327	1454	1427	1418
"WY"	2012	"Laramie"	"Cheyenne Hills Church 5-5"	112	67	119	60	119	54	188	185	186
"WY"	2012	"Laramie"	"Carpenter Fire Station 6-1"	595	122	591	106	573	112	752	746	745
"WY"	2012	"Laramie"	"Burns Plex 6-2"	604	158	633	119	584	135	784	773	770
"WY"	2012	"Laramie"	"Pine Bluffs Community Center 6-3"	598	151	630	103	597	112	774	762	756
"WY"	2012	"Laramie"	"Petsch Feedlot Office 6-4"	79	17	88	9	81	14	100	99	98
"WY"	2012	"Laramie"	"Albin Community Center 6-5"	158	20	160	17	153	14	180	178	177
"WY"	2012	"Laramie"	"Laramie County Community College 7-1"	52	47	55	38	50	41	99	95	97
"WY"	2012	"Laramie"	"Shrine Club 7-2"	15	3	15	2	15	2	18	18	18
"WY"	2012	"Laramie"	"First Congregational Church 7-3"	69	57	83	42	70	43	134	128	126
"WY"	2012	"Laramie"	"Laramie County Community College 7-4"	233	148	255	115	240	110	395	388	388
"WY"	2012	"Lincoln"	"South Lincoln Training & Events Ctr. 1-1"	232	95	244	78	223	85	339	332	329
"WY"	2012	"Lincoln"	"South Lincoln Training & Events Ctr. 1-2"	293	86	312	69	269	87	395	391	386
"WY"	2012	"Lincoln"	"South Lincoln Training & Events Ctr. 1-3"	372	97	399	75	356	90	487	482	467
"WY"	2012	"Lincoln"	"Diamondville School Admin Bldg 1-4"	218	102	256	73	209	96	335	337	327
"WY"	2012	"Lincoln"	"South Lincoln Training & Events Ctr. 1-6"	105	29	111	22	103	24	137	136	133
"WY"	2012	"Lincoln"	"Opal Town Hall 1-7"	53	7	56	4	50	8	60	60	60
"WY"	2012	"Lincoln"	"LaBarge Town Hall 1-8"	318	21	309	19	280	23	344	337	329
"WY"	2012	"Lincoln"	"Afton Civic Center 2-1"	829	65	810	55	757	62	907	882	868
"WY"	2012	"Lincoln"	"Afton Civic Center 2-2"	277	17	278	12	266	15	295	295	290
"WY"	2012	"Lincoln"	"Alpine Civic Center 2-3"	504	217	537	174	489	167	754	736	729
"WY"	2012	"Lincoln"	"Bedford Water & Sewer Buliding 2-4"	410	36	394	36	376	38	452	443	443
"WY"	2012	"Lincoln"	"Star Valley Community Complex 2-5"	579	113	593	95	542	94	710	703	690
"WY"	2012	"Lincoln"	"Afton Civic Center 2-6"	470	42	470	33	440	44	517	513	507
"WY"	2012	"Lincoln"	"Afton Civic Center 2-7"	959	51	939	54	906	58	1023	1016	998
