state	year	parish	ward	precinct	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_d2v	g2012_USH_dv	g2012_USH_r2v	g2012_USH_r3v	g2012_USH_rv	g2012_USH_tv
"LA"	2012	"Ascension"	"00"	"31"	247	257	512.0	6					327	450
"LA"	2012	"Ascension"	"00"	"32"	279	461	757.0	6					532	683
"LA"	2012	"Ascension"	"00"	"33"	118	817	960.0	6					760	880
"LA"	2012	"Ascension"	"00"	"34"	222	369	604.0	6					392	526
"LA"	2012	"Ascension"	"00"	"35"	105	581	697.0	6					553	654
"LA"	2012	"Ascension"	"00"	"36"	491	204	704.0	2	194	228	38		125	600
"LA"	2012	"Ascension"	"00"	"37 A"	522	96	625.0	2	177	289	18		78	571
"LA"	2012	"Ascension"	"00"	"37 B"	364	65	430.0	2	114	208	8		52	389
"LA"	2012	"Ascension"	"00"	"39"	162	94	258.0	2	74	90	8		54	234
"LA"	2012	"Ascension"	"00"	"40 A"	218	521	747.0	6					547	664
"LA"	2012	"Ascension"	"00"	"40 B"	161	374	540.0	6					406	490
"LA"	2012	"Ascension"	"00"	"41"	88	495	592.0	6					482	556
"LA"	2012	"Ascension"	"00"	"42"	184	116	303.0	2	103	72	14		86	277
"LA"	2012	"Ascension"	"00"	"43"	101	534	645.0	6					509	590
"LA"	2012	"Ascension"	"00"	"44"	444	119	567.0	2	134	257	28		85	508
"LA"	2012	"Ascension"	"00"	"45"	152	26	178.0	2	39	78	5		42	166
"LA"	2012	"Ascension"	"00"	"47"	793	41	845.0	2	230	224	4		259	718
"LA"	2012	"Ascension"	"00"	"48"	52	47	99.0	2	28	16	5		42	92
"LA"	2012	"Ascension"	"00"	"49"	45	112	163.0	2	42	12	9		86	153
"LA"	2012	"Ascension"	"00"	"50"	91	153	247.0	2	58	32	14		110	216
"LA"	2012	"Ascension"	"00"	"51"	481	25	513.0	2	118	148	6		172	445
"LA"	2012	"Ascension"	"00"	"52"	90	178	272.0	2	58	33	15		132	242
"LA"	2012	"Ascension"	"00"	"53"	177	198	379.0	2	88	67	21		150	334
"LA"	2012	"Ascension"	"00"	"54"	301	189	491.0	2	106	102	14		232	458
"LA"	2012	"Ascension"	"00"	"55"	318	43	365.0	2	92	109	9		103	314
"LA"	2012	"Ascension"	"00"	"56"	92	10	102.0	2	20	30	1		36	87
"LA"	2012	"Ascension"	"00"	"57"	223	20	245.0	2	51	74	4		86	218
"LA"	2012	"Ascension"	"00"	"58"	207	385	605.0	6					413	524
"LA"	2012	"Ascension"	"00"	"60"	0	3	3.0	2	0	0	0		3	3
"LA"	2012	"Ascension"	"00"	"70"	12	54	69.0	6					58	63
"LA"	2012	"Ascension"	"00"	"71 A"	206	647	862.0	6					671	796
"LA"	2012	"Ascension"	"00"	"71 B"	167	420	600.0	6					448	538
"LA"	2012	"Ascension"	"00"	"71 C"	122	387	516.0	6					404	481
"LA"	2012	"Ascension"	"00"	"72"	122	358	490.0	6					378	448
"LA"	2012	"Ascension"	"00"	"73"	20	206	230.0	6					207	221
"LA"	2012	"Ascension"	"00"	"74"	123	0	123.0	2	37	37	2		28	105
"LA"	2012	"Ascension"	"00"	"75"	51	55	108.0	2	32	18	3		30	90
"LA"	2012	"Ascension"	"Early Voting"		3495	5303	8959.0		670	678	87	0	5540	8297
"LA"	2012	"Ascension"	"Provisional Votes"		5	10	16.0		0	0	0	0	4	5
"LA"	2012	"Assumption"	"01"	"01"	342	34	376.0	2	87	152	6		56	302
"LA"	2012	"Assumption"	"01"	"02"	462	303	769.0	2	213	248	47		158	673
"LA"	2012	"Assumption"	"02"	"01"	34	284	319.0	6					253	281
"LA"	2012	"Assumption"	"02"	"02"	10	49	59.0	2	16	5	10		18	52
"LA"	2012	"Assumption"	"02"	"03"	156	313	475.0	6					300	368
"LA"	2012	"Assumption"	"02"	"04"	50	164	215.0	6					159	179
"LA"	2012	"Assumption"	"02"	"05"	22	73	96.0	6					62	84
"LA"	2012	"Assumption"	"03"	"01"	47	141	189.0	6					132	159
"LA"	2012	"Assumption"	"03"	"02"	72	541	628.0	6					428	512
"LA"	2012	"Assumption"	"04"	"01"	147	90	237.0	6					103	150
"LA"	2012	"Assumption"	"04"	"02"	495	118	621.0	6					231	353
"LA"	2012	"Assumption"	"04"	"03"	124	98	223.0	2	58	43	9		46	157
"LA"	2012	"Assumption"	"05"	"01"	266	33	299.0	6					84	160
"LA"	2012	"Assumption"	"05"	"02"	197	356	559.0	6					372	449
"LA"	2012	"Assumption"	"05"	"03"	55	119	178.0	6					119	137
"LA"	2012	"Assumption"	"05"	"04"	14	54	70.0	6					63	69
"LA"	2012	"Assumption"	"05"	"05"	0	19	19.0	2	6	1	1		7	15
"LA"	2012	"Assumption"	"06"	"01"	151	137	290.0	2	94	64	12		73	248
"LA"	2012	"Assumption"	"06"	"01 A"	175	159	339.0	2	86	91	29		79	293
"LA"	2012	"Assumption"	"06"	"02"	380	39	422.0	2	96	206	10		44	360
"LA"	2012	"Assumption"	"06"	"03"	219	20	241.0	2	60	85	4		25	176
"LA"	2012	"Assumption"	"07"	"01"	94	142	241.0	2	67	46	12		82	210
"LA"	2012	"Assumption"	"07"	"01 A"	128	145	276.0	2	69	61	16		82	228
"LA"	2012	"Assumption"	"07"	"02"	31	206	248.0	6					187	213
"LA"	2012	"Assumption"	"07"	"03"	18	146	167.0	6					125	140
"LA"	2012	"Assumption"	"07"	"04"	21	69	91.0	2	16	10	9		39	76
"LA"	2012	"Assumption"	"08"	"01"	103	456	574.0	6					400	455
"LA"	2012	"Assumption"	"08"	"01 A"	56	343	412.0	6					284	332
"LA"	2012	"Assumption"	"08"	"02"	30	102	137.0	6					88	103
"LA"	2012	"Assumption"	"09"	"01"	83	376	470.0	6					349	394
"LA"	2012	"Assumption"	"09"	"01 A"	103	377	488.0	6					359	402
"LA"	2012	"Assumption"	"Early Voting"		669	577	1264.0		137	259	23	0	549	1116
"LA"	2012	"Assumption"	"Provisional Votes"		0	0	0.0		0	0	0	0	0	0
"LA"	2012	"Avoyelles"	"01"	"01"	53	464	522.0	5					415	466
"LA"	2012	"Avoyelles"	"01"	"02"	42	445	497.0	5					425	457
"LA"	2012	"Avoyelles"	"01"	"03"	24	198	225.0	5					183	202
"LA"	2012	"Avoyelles"	"02"	"01"	205	325	534.0	5					303	384
"LA"	2012	"Avoyelles"	"02"	"02"	4	0	4.0	5					3	4
"LA"	2012	"Avoyelles"	"02"	"02A"	45	155	209.0	5					158	180
"LA"	2012	"Avoyelles"	"02"	"02B"	172	70	244.0	5					112	157
"LA"	2012	"Avoyelles"	"02"	"02C"	68	174	244.0	5					174	201
"LA"	2012	"Avoyelles"	"02"	"02D"	7	5	12.0	5					6	9
"LA"	2012	"Avoyelles"	"02"	"02F"	54	105	162.0	5					107	128
"LA"	2012	"Avoyelles"	"02"	"03A"	25	192	222.0	5					153	169
"LA"	2012	"Avoyelles"	"02"	"04"	70	70	143.0	5					84	114
"LA"	2012	"Avoyelles"	"02"	"04A"	138	333	483.0	5					306	389
"LA"	2012	"Avoyelles"	"02"	"04C"	270	143	417.0	5					179	287
"LA"	2012	"Avoyelles"	"02"	"05"	46	165	216.0	5					149	177
"LA"	2012	"Avoyelles"	"02"	"05E"	0	0	0.0	5					0	0
"LA"	2012	"Avoyelles"	"02"	"07"	228	35	268.0	5					103	168
"LA"	2012	"Avoyelles"	"02"	"08"	281	53	340.0	5					129	228
"LA"	2012	"Avoyelles"	"03"	"01"	311	127	445.0	5					228	330
"LA"	2012	"Avoyelles"	"03"	"01B"	62	193	260.0	5					187	234
"LA"	2012	"Avoyelles"	"03"	"03"	117	84	205.0	5					113	162
"LA"	2012	"Avoyelles"	"04"	"01"	66	218	287.0	5					203	243
"LA"	2012	"Avoyelles"	"04"	"02"	101	554	661.0	5					521	587
"LA"	2012	"Avoyelles"	"04"	"02A"	30	226	265.0	5					190	214
"LA"	2012	"Avoyelles"	"05"	"01"	50	406	466.0	5					366	412
"LA"	2012	"Avoyelles"	"05"	"01A"	15	44	60.0	5					44	50
"LA"	2012	"Avoyelles"	"06"	"01A"	77	294	383.0	5					295	338
"LA"	2012	"Avoyelles"	"06"	"02"	0	0	0.0	5					0	0
"LA"	2012	"Avoyelles"	"06"	"02A"	13	134	148.0	5					109	119
"LA"	2012	"Avoyelles"	"07"	"01"	386	311	712.0	5					378	501
"LA"	2012	"Avoyelles"	"07"	"03"	70	241	317.0	5					194	231
"LA"	2012	"Avoyelles"	"07"	"03B"	2	9	11.0	5					8	8
"LA"	2012	"Avoyelles"	"08"	"01"	15	92	114.0	5					92	105
"LA"	2012	"Avoyelles"	"08"	"02A"	42	105	150.0	5					98	115
"LA"	2012	"Avoyelles"	"08"	"02B"	22	156	180.0	5					112	137
"LA"	2012	"Avoyelles"	"08"	"03"	21	150	174.0	5					130	150
"LA"	2012	"Avoyelles"	"08"	"03A"	48	429	484.0	5					407	454
"LA"	2012	"Avoyelles"	"09"	"01"	110	58	170.0	5					85	132
"LA"	2012	"Avoyelles"	"09"	"01A"	111	88	200.0	5					117	149
"LA"	2012	"Avoyelles"	"09"	"02"	42	65	110.0	5					68	91
"LA"	2012	"Avoyelles"	"09"	"02A"	10	29	40.0	5					27	36
"LA"	2012	"Avoyelles"	"09"	"03"	47	169	221.0	5					173	193
"LA"	2012	"Avoyelles"	"09"	"04"	97	388	493.0	5					390	446
"LA"	2012	"Avoyelles"	"09"	"04B"	29	177	207.0	5					174	186
"LA"	2012	"Avoyelles"	"09"	"05B"	388	74	469.0	5					202	305
"LA"	2012	"Avoyelles"	"09"	"06A"	76	97	174.0	5					104	138
"LA"	2012	"Avoyelles"	"10"	"01"	60	40	102.0	5					53	63
"LA"	2012	"Avoyelles"	"10"	"02"	44	111	158.0	5					109	129
"LA"	2012	"Avoyelles"	"10"	"02A"	29	367	401.0	5					326	361
"LA"	2012	"Avoyelles"	"10"	"03"	289	192	485.0	5					223	303
"LA"	2012	"Avoyelles"	"10"	"03A"	63	232	299.0	5					200	240
"LA"	2012	"Avoyelles"	"10"	"04"	458	22	482.0	5					117	248
"LA"	2012	"Avoyelles"	"11"	"01"	222	225	455.0	5					301	395
"LA"	2012	"Avoyelles"	"11"	"02A"	18	130	150.0	5					120	136
"LA"	2012	"Avoyelles"	"Early Voting"		802	1498	2347.0		0	0	0	0	1666	2102
"LA"	2012	"Avoyelles"	"Provisional Votes"		2	3	5.0		0	0	0	0	1	2
"LA"	2012	"Beauregard"	"00"	"01"	18	189	210.0	4					126	149
"LA"	2012	"Beauregard"	"00"	"02"	16	31	48.0	4					32	34
"LA"	2012	"Beauregard"	"00"	"03"	11	155	169.0	4					122	135
"LA"	2012	"Beauregard"	"00"	"04"	122	316	451.0	4					324	392
"LA"	2012	"Beauregard"	"00"	"05"	41	396	450.0	4					300	334
"LA"	2012	"Beauregard"	"00"	"06"	26	233	261.0	4					191	210
"LA"	2012	"Beauregard"	"00"	"07"	46	324	375.0	4					269	302
"LA"	2012	"Beauregard"	"00"	"09"	44	307	361.0	4					227	272
"LA"	2012	"Beauregard"	"00"	"10"	41	282	335.0	4					231	263
"LA"	2012	"Beauregard"	"00"	"11"	23	373	410.0	4					274	307
"LA"	2012	"Beauregard"	"00"	"12"	90	674	785.0	4					537	612
"LA"	2012	"Beauregard"	"00"	"12A"	12	186	203.0	4					138	158
"LA"	2012	"Beauregard"	"00"	"12B"	25	333	363.0	4					251	279
"LA"	2012	"Beauregard"	"00"	"13"	21	167	190.0	4					134	148
"LA"	2012	"Beauregard"	"00"	"13A"	9	124	136.0	4					103	110
"LA"	2012	"Beauregard"	"00"	"14"	43	240	286.0	4					198	228
"LA"	2012	"Beauregard"	"00"	"14A"	20	196	224.0	4					144	168
"LA"	2012	"Beauregard"	"00"	"15"	27	169	203.0	4					134	158
"LA"	2012	"Beauregard"	"00"	"15A"	11	47	59.0	4					38	44
"LA"	2012	"Beauregard"	"00"	"16"	52	306	363.0	4					230	269
"LA"	2012	"Beauregard"	"00"	"16A"	30	147	180.0	4					128	146
"LA"	2012	"Beauregard"	"00"	"16B"	20	130	152.0	4					110	123
"LA"	2012	"Beauregard"	"00"	"16C"	7	65	73.0	4					53	60
"LA"	2012	"Beauregard"	"00"	"17"	25	262	292.0	4					205	219
"LA"	2012	"Beauregard"	"00"	"17A"	1	61	62.0	4					48	50
"LA"	2012	"Beauregard"	"00"	"18"	10	100	111.0	4					80	85
"LA"	2012	"Beauregard"	"00"	"18A"	0	35	35.0	4					25	28
"LA"	2012	"Beauregard"	"00"	"19"	17	119	140.0	4					90	105
"LA"	2012	"Beauregard"	"00"	"19A"	9	121	136.0	4					87	98
"LA"	2012	"Beauregard"	"00"	"19C"	28	168	201.0	4					136	166
"LA"	2012	"Beauregard"	"00"	"20"	36	467	515.0	4					344	379
"LA"	2012	"Beauregard"	"00"	"21"	26	161	193.0	4					115	137
"LA"	2012	"Beauregard"	"00"	"22"	29	205	241.0	4					164	183
"LA"	2012	"Beauregard"	"00"	"22A"	3	122	126.0	4					91	100
"LA"	2012	"Beauregard"	"00"	"25"	162	399	572.0	4					331	423
"LA"	2012	"Beauregard"	"00"	"25A"	41	60	105.0	4					60	83
"LA"	2012	"Beauregard"	"00"	"25B"	91	99	199.0	4					94	149
"LA"	2012	"Beauregard"	"00"	"26"	275	87	366.0	4					124	234
"LA"	2012	"Beauregard"	"00"	"27"	47	161	217.0	4					131	165
"LA"	2012	"Beauregard"	"00"	"27A"	19	231	251.0	4					193	210
"LA"	2012	"Beauregard"	"00"	"27B"	71	164	237.0	4					125	152
"LA"	2012	"Beauregard"	"00"	"27D"	13	103	117.0	4					79	89
"LA"	2012	"Beauregard"	"00"	"28"	197	9	207.0	4					47	113
"LA"	2012	"Beauregard"	"00"	"28A"	85	20	105.0	4					44	88
"LA"	2012	"Beauregard"	"00"	"30"	51	227	287.0	4					205	238
"LA"	2012	"Beauregard"	"Early Voting"		837	2341	3223.0		0	0	0	0	2452	3012
"LA"	2012	"Beauregard"	"Provisional Votes"		0	0	0.0		0	0	0	0	0	0
"LA"	2012	"Bienville"	"01"	"01"	111	64	176.0	4					68	110
"LA"	2012	"Bienville"	"01"	"02"	190	182	375.0	4					192	262
"LA"	2012	"Bienville"	"01"	"03"	40	51	94.0	4					49	67
"LA"	2012	"Bienville"	"01"	"04"	5	39	44.0	4					25	30
"LA"	2012	"Bienville"	"02"	"01"	346	3	351.0	4					62	190
"LA"	2012	"Bienville"	"02"	"02"	234	83	321.0	4					116	200
"LA"	2012	"Bienville"	"02"	"03"	0	0	0.0	4					0	0
"LA"	2012	"Bienville"	"02"	"04"	18	3	22.0	4					7	11
"LA"	2012	"Bienville"	"02"	"05"	28	14	42.0	4					19	31
"LA"	2012	"Bienville"	"02"	"06"	2	4	6.0	4					4	5
"LA"	2012	"Bienville"	"03"	"01"	247	41	290.0	4					50	162
"LA"	2012	"Bienville"	"03"	"02"	212	80	293.0	4					99	182
"LA"	2012	"Bienville"	"03"	"03"	86	76	162.0	4					67	107
"LA"	2012	"Bienville"	"03"	"04"	37	25	62.0	4					23	48
"LA"	2012	"Bienville"	"03"	"05"	12	36	48.0	4					31	39
"LA"	2012	"Bienville"	"03"	"06"	10	15	26.0	4					11	15
"LA"	2012	"Bienville"	"03"	"07"	10	0	10.0	4					3	8
"LA"	2012	"Bienville"	"04"	"01"	268	169	440.0	4					183	308
"LA"	2012	"Bienville"	"04"	"02"	4	54	58.0	4					45	53
"LA"	2012	"Bienville"	"04"	"04"	114	305	426.0	4					252	312
"LA"	2012	"Bienville"	"05"	"01"	289	136	428.0	4					142	297
"LA"	2012	"Bienville"	"05"	"02"	74	237	314.0	4					194	238
"LA"	2012	"Bienville"	"05"	"03"	18	121	141.0	4					90	105
"LA"	2012	"Bienville"	"05"	"04"	6	94	100.0	4					63	71
"LA"	2012	"Bienville"	"06"	"01"	24	156	182.0	4					112	128
"LA"	2012	"Bienville"	"06"	"02"	7	159	166.0	4					127	132
"LA"	2012	"Bienville"	"06"	"03"	76	241	322.0	4					184	230
"LA"	2012	"Bienville"	"06"	"04"	19	156	179.0	4					115	123
"LA"	2012	"Bienville"	"07"	"01"	121	72	194.0	4					66	100
"LA"	2012	"Bienville"	"07"	"02"	97	70	168.0	4					78	102
"LA"	2012	"Bienville"	"07"	"03"	106	83	190.0	4					71	115
"LA"	2012	"Bienville"	"07"	"04"	206	182	393.0	4					170	229
"LA"	2012	"Bienville"	"07"	"05"	32	81	114.0	4					69	86
"LA"	2012	"Bienville"	"Early Voting"		441	609	1066.0		0	0	0	0	668	958
