state	year	county	precinct	g2012_BALL_tv	g2012_REG_tv	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	cd3	g2012_USH_dv3	g2012_USH_rv3	g2012_USH_tv3
"IL"	2012	"Adams"	"Quincy 3"	392	766	214	164	386	18	177	196	373								
"IL"	2012	"Adams"	"Quincy 30"	363	502	131	219	356	18	98	242	340								
"IL"	2012	"Adams"	"Quincy 31"	572	745	167	390	566	18	97	455	552								
"IL"	2012	"Adams"	"Quincy 32"	506	750	186	300	497	18	145	342	487								
"IL"	2012	"Adams"	"Quincy 33"	489	700	172	299	486	18	133	334	467								
"IL"	2012	"Adams"	"Quincy 34"	321	501	125	176	313	18	91	215	306								
"IL"	2012	"Adams"	"Quincy 35"	437	611	145	280	435	18	110	314	424								
"IL"	2012	"Adams"	"Quincy 36"	258	449	144	99	252	18	115	132	247								
"IL"	2012	"Adams"	"Quincy 37"	400	712	209	167	393	18	180	201	381								
"IL"	2012	"Adams"	"Quincy 38"	406	706	196	191	399	18	155	238	393								
"IL"	2012	"Adams"	"Quincy 39"	354	731	163	162	348	18	135	198	333								
"IL"	2012	"Adams"	"Quincy 4"	481	803	186	275	469	18	146	308	454								
"IL"	2012	"Adams"	"Quincy 40"	363	668	174	169	352	18	142	188	330								
"IL"	2012	"Adams"	"Quincy 5"	325	656	187	115	310	18	158	145	303								
"IL"	2012	"Adams"	"Quincy 6"	156	372	92	54	150	18	71	74	145								
"IL"	2012	"Adams"	"Quincy 7"	198	421	146	40	193	18	111	72	183								
"IL"	2012	"Adams"	"Quincy 8"	347	542	103	237	343	18	88	249	337								
"IL"	2012	"Adams"	"Quincy 9"	511	665	146	40	193	18	108	399	507								
"IL"	2012	"Adams"	"Richfield"	207	286	42	161	205	18	35	168	203								
"IL"	2012	"Adams"	"Riverside 1"	460	638	105	344	458	18	66	372	438								
"IL"	2012	"Adams"	"Riverside 2"	389	527	105	265	383	18	77	302	379								
"IL"	2012	"Adams"	"Riverside 3"	599	750	98	485	594	18	77	503	580								
"IL"	2012	"Adams"	"Ursa"	567	755	150	399	563	18	112	444	556								
"IL"	2012	"Alexander"	"Cache"	167	225	101	57	165	12	103	48	151								
"IL"	2012	"Alexander"	"Cairo 1"	260	398	223	30	256	12	196	25	221								
"IL"	2012	"Alexander"	"Cairo 2"	318	485	295	21	316	12	242	17	259								
"IL"	2012	"Alexander"	"Cairo 3"	145	252	131	12	143	12	119	9	128								
"IL"	2012	"Alexander"	"Cairo 4"	351	488	209	134	346	12	190	115	305								
"IL"	2012	"Alexander"	"Cairo 5"	287	439	216	66	285	12	193	44	237								
"IL"	2012	"Alexander"	"Mcclure"	442	762	176	254	435	12	179	216	395								
"IL"	2012	"Alexander"	"Olive Branch"	476	652	157	296	464	12	223	217	440								
"IL"	2012	"Alexander"	"Sandusky"	146	183	110	31	144	12	105	28	133								
"IL"	2012	"Alexander"	"Tamms"	590	948	224	344	582	12	250	276	526								
"IL"	2012	"Alexander"	"Thebes"	380	603	123	243	372	12	147	184	331								
"IL"	2012	"Auroa"	"Ward 2 Pct 2"	346	685	251	79	343	11	251	79	330								
"IL"	2012	"Aurora"	"Ward 1 Pct 1"	564	911	386	167	561	11	387	162	549								
"IL"	2012	"Aurora"	"Ward 1 Pct 2"	414	637	279	121	409	11	272	119	391								
"IL"	2012	"Aurora"	"Ward 1 Pct 3"	704	1043	457	232	699	11	461	223	684								
"IL"	2012	"Aurora"	"Ward 1 Pct 4"	317	600	250	64	316	11	241	70	311								
"IL"	2012	"Aurora"	"Ward 1 Pct 5"	448	719	287	147	441	11	297	137	434								
"IL"	2012	"Aurora"	"Ward 1 Pct 6"	380	598	250	114	377	11	264	104	368								
"IL"	2012	"Aurora"	"Ward 1 Pct 7"	302	547	224	73	301	11	220	69	289								
"IL"	2012	"Aurora"	"Ward 1 Pct 8"	455	664	306	133	448	11	298	132	430								
"IL"	2012	"Aurora"	"Ward 1 Pct 9"	959	1268				14	394	527	921	11	3	4	7				
"IL"	2012	"Aurora"	"Ward 10 Pct 1"	512	571	231	278	511	11	245	259	504								
"IL"	2012	"Aurora"	"Ward 2 Pct 1"	216	531	172	40	215	11	163	40	203								
"IL"	2012	"Aurora"	"Ward 2 Pct 3"	269	673	237	28	267	11	221	26	247								
"IL"	2012	"Aurora"	"Ward 2 Pct 4"	362	802	320	35	359	11	309	35	344								
"IL"	2012	"Aurora"	"Ward 2 Pct 5 "	353	786	308	34	348	11	278	54	332								
"IL"	2012	"Aurora"	"Ward 2 Pct 6"	393	809	348	38	391	11	318	51	369								
"IL"	2012	"Aurora"	"Ward 3 Pct 1"	379	744	284	89	378	11	268	86	354								
"IL"	2012	"Aurora"	"Ward 3 Pct 2"	318	683	252	59	318	11	243	62	305								
"IL"	2012	"Aurora"	"Ward 3 Pct 3"	396	765	274	107	394	11	267	113	380								
"IL"	2012	"Aurora"	"Ward 3 Pct 4"	391	791	298	81	389	11	293	82	375								
"IL"	2012	"Aurora"	"Ward 3 Pct 5"	398	793	321	68	395	11	299	82	381								
"IL"	2012	"Aurora"	"Ward 3 Pct 6"	375	593	278	94	375	11	277	89	366								
"IL"	2012	"Aurora"	"Ward 3 Pct 7"	754	1113	493	241	752	11	481	252	733								
"IL"	2012	"Aurora"	"Ward 4 Pct 1"	410	892	312	81	404	11	294	89	383								
"IL"	2012	"Aurora"	"Ward 4 Pct 10"	458	828	319	127	454	11	306	124	430								
"IL"	2012	"Aurora"	"Ward 4 Pct 2"	285	510	227	50	283	11	219	49	268								
"IL"	2012	"Aurora"	"Ward 4 Pct 3"	324	642	276	46	324	11	269	45	314								
"IL"	2012	"Aurora"	"Ward 4 Pct 4"	444	809	331	98	441	11	314	110	424								
"IL"	2012	"Aurora"	"Ward 4 Pct 5"	479	880	337	125	477	11	328	134	462								
"IL"	2012	"Aurora"	"Ward 4 Pct 6"	549	883	354	175	546	11	339	185	524								
"IL"	2012	"Aurora"	"Ward 4 Pct 7"	527	718	301	216	526	11	290	225	515								
"IL"	2012	"Aurora"	"Ward 4 Pct 8"	649	870	396	240	647	11	388	226	614								
"IL"	2012	"Aurora"	"Ward 4 Pct 9"	593	787	330	243	591	11	334	244	578								
"IL"	2012	"Aurora"	"Ward 5 Pct 1"	635	800	289	331	633	11	268	344	612								
"IL"	2012	"Aurora"	"Ward 5 Pct 10"	445	638	262	163	436	14	252	151	403								
"IL"	2012	"Aurora"	"Ward 5 Pct 11"	471	631	192	261	466	14	298	159	457								
"IL"	2012	"Aurora"	"Ward 5 Pct 12"	685	900	287	383	683	14	412	250	662								
"IL"	2012	"Aurora"	"Ward 5 Pct 13"	583	736	274	298	583	14	314	253	567								
"IL"	2012	"Aurora"	"Ward 5 Pct 14"	492	698	263	216	492	14	230	250	480								
"IL"	2012	"Aurora"	"Ward 5 Pct 2"	591	726	283	298	590	11	275	293	568								
"IL"	2012	"Aurora"	"Ward 5 Pct 3"	663	898	337	311	662	11	338	300	638								
"IL"	2012	"Aurora"	"Ward 5 Pct 4"	612	968	396	196	608	11	397	188	585								
"IL"	2012	"Aurora"	"Ward 5 Pct 5"	562	853	459	96	560	11	434	112	546								
"IL"	2012	"Aurora"	"Ward 5 Pct 6"	644	900	399	225	642	11	402	218	620								
"IL"	2012	"Aurora"	"Ward 5 Pct 7"	695	965	445	236	688	11	420	251	671								
"IL"	2012	"Aurora"	"Ward 5 Pct 8"	528	792	348	167	522	11	348	164	512								
"IL"	2012	"Aurora"	"Ward 5 Pct 9"	476	693	300	167	474	11	310	146	456								
"IL"	2012	"Aurora"	"Ward 6 Pct 1"	507	930	397	84	501	11	370	98	468								
"IL"	2012	"Aurora"	"Ward 6 Pct 10"	585	928	450	120	581	11	445	113	558								
"IL"	2012	"Aurora"	"Ward 6 Pct 2"	444	809	278	144	436	11	282	131	413								
"IL"	2012	"Aurora"	"Ward 6 Pct 3"	454	815	408	36	449	11	379	51	430								
"IL"	2012	"Aurora"	"Ward 6 Pct 4"	556	870	393	142	546	11	392	142	534								
"IL"	2012	"Aurora"	"Ward 6 Pct 5"	498	729	364	127	496	11	344	125	469								
"IL"	2012	"Aurora"	"Ward 6 Pct 6"	438	706	336	90	431	11	333	85	418								
"IL"	2012	"Aurora"	"Ward 6 Pct 7"	504	851	375	113	503	11	361	117	478								
"IL"	2012	"Aurora"	"Ward 6 Pct 8"	437	665	313	117	435	11	299	123	422								
"IL"	2012	"Aurora"	"Ward 6 Pct 9"	588	933	422	154	585	11	419	151	570								
"IL"	2012	"Aurora"	"Ward 7 Pct 1"	498	884	454	34	491	11	414	48	462								
"IL"	2012	"Aurora"	"Ward 7 Pct 2"	348	683	309	33	344	11	296	31	327								
"IL"	2012	"Aurora"	"Ward 7 Pct 3"	400	751	360	37	398	11	323	53	376								
"IL"	2012	"Aurora"	"Ward 7 Pct 4"	288	517	200	80	286	11	196	76	272								
"IL"	2012	"Aurora"	"Ward 7 Pct 5"	489	760	276	201	481	11	263	190	453								
"IL"	2012	"Aurora"	"Ward 7 Pct 6"	450	713	305	132	446	11	283	146	429								
"IL"	2012	"Aurora"	"Ward 9 Pct 1"	639	925	366	264	637	11	349	268	617								
"IL"	2012	"Aurora"	"Ward 9 Pct 10"	313	431	183	128	313	14	128	176	304								
"IL"	2012	"Aurora"	"Ward 9 Pct 2"	729	962	397	323	729	11	390	324	714								
"IL"	2012	"Aurora"	"Ward 9 Pct 3"	669	938	394	263	666	11	371	166	537								
"IL"	2012	"Aurora"	"Ward 9 Pct 4"	624	879	367	246	622	14	270	331	601								
"IL"	2012	"Aurora"	"Ward 9 Pct 5"	576	768	341	229	574	14	242	306	548								
"IL"	2012	"Aurora"	"Ward 9 Pct 6"	591	802	374	202	591	14	224	351	575								
"IL"	2012	"Aurora"	"Ward 9 Pct 7"	758	1036	429	314	756	14	336	397	733								
"IL"	2012	"Aurora"	"Ward 9 Pct 8"	710	989	455	239	708	14	256	422	678								
"IL"	2012	"Aurora"	"Ward 9 Pct 9"	616	855	344	261	616	14	275	318	593								
"IL"	2012	"Bloomington"	"1"	492	640	305	166	487	13	305	159	464								
"IL"	2012	"Bloomington"	"10"	895	1133	348	525	889	18	244	631	875								
"IL"	2012	"Bloomington"	"11"	831	1076	304	509	828	18	216	596	812								
"IL"	2012	"Bloomington"	"12"	717	1195	493	191	710	13	471	175	646								
"IL"	2012	"Bloomington"	"13"	644	958	341	277	639	13	365	236	601								
"IL"	2012	"Bloomington"	"14"	562	671	227	329	562	18	149	403	552								
"IL"	2012	"Bloomington"	"15"	643	870	350	272	642	18	270	360	630								
"IL"	2012	"Bloomington"	"16"	638	934	324	300	635	18	239	381	620								
"IL"	2012	"Bloomington"	"17"	579	797	315	251	578	18	322	216	538								
"IL"	2012	"Bloomington"	"18"	733	1059	379	322	729	13	365	309	674								
"IL"	2012	"Bloomington"	"19"	586	848	298	270	584	13	301	234	535								
"IL"	2012	"Bloomington"	"2"	549	766	230	300	547	13	226	275	501								
"IL"	2012	"Bloomington"	"20"	738	1026	339	382	735	18	234	487	721								
"IL"	2012	"Bloomington"	"21"	664	820	298	352	661	18	216	398	614								
"IL"	2012	"Bloomington"	"22"	917	1157	463	425	914	18	338	550	888								
"IL"	2012	"Bloomington"	"23"	788	1272	505	250	784	13	493	233	726								
"IL"	2012	"Bloomington"	"24"	722	945	417	286	720	18	302	394	696								
"IL"	2012	"Bloomington"	"25"	821	1030	339	462	818	18	244	564	808								
"IL"	2012	"Bloomington"	"26"	329	506	248	70	329	13	242	64	306								
"IL"	2012	"Bloomington"	"27"	758	960	340	393	755	18	283	456	739								
"IL"	2012	"Bloomington"	"28"	562	737	243	306	562	18	177	365	542								
"IL"	2012	"Bloomington"	"29"	484	669	249	226	482	18	179	287	466								
"IL"	2012	"Bloomington"	"3"	670	809	254	409	670	18	158	501	659								
"IL"	2012	"Bloomington"	"30"	423	543	183	229	421	18	134	278	412								
"IL"	2012	"Bloomington"	"31"	676	1062	379	267	670	18	288	367	655								
"IL"	2012	"Bloomington"	"32"	447	588	193	240	445	18	139	297	436								
"IL"	2012	"Bloomington"	"33"	801	1016	284	507	799	18	170	606	776								
"IL"	2012	"Bloomington"	"34"	851	1111	349	481	848	18	206	623	829								
"IL"	2012	"Bloomington"	"35"	935	1235	436	465	931	13	408	446	854								
"IL"	2012	"Bloomington"	"36"	869	1055	296	556	868	18	201	653	854								
"IL"	2012	"Bloomington"	"37"	515	664	156	352	514	18	131	379	510								
"IL"	2012	"Bloomington"	"38"	665	829	260	390	664	18	179	472	651								
"IL"	2012	"Bloomington"	"39"	726	864	268	454	723	18	195	522	717								
"IL"	2012	"Bloomington"	"4"	905	1395	599	272	901	13	603	227	830								
"IL"	2012	"Bloomington"	"40"	1069	1378	461	582	1067	18	311	716	1027								
"IL"	2012	"Bloomington"	"41"	653	958	347	280	647	18	259	368	627								
"IL"	2012	"Bloomington"	"42"	576	707	189	376	575	18	127	438	565								
"IL"	2012	"Bloomington"	"43"	851	1091	270	566	850	18	161	671	832								
"IL"	2012	"Bloomington"	"44"	626	798	214	395	624	18	141	476	617								
"IL"	2012	"Bloomington"	"45"	476	622	218	244	475	13	125	218	343								
"IL"	2012	"Bloomington"	"46"	315	630	187	119	314	13	189	106	295								
"IL"	2012	"Bloomington"	"47"	269	485	129	131	268	13	133	113	246								
"IL"	2012	"Bloomington"	"48"	365	502	157	200	364	18	118	238	356								
"IL"	2012	"Bloomington"	"49"	511	595	166	337	509	18	112	384	496								
"IL"	2012	"Bloomington"	"5"	497	777	309	169	496	13	309	143	452								
"IL"	2012	"Bloomington"	"50"	401	477	103	291	398	18	79	307	386								
"IL"	2012	"Bloomington"	"51"	560	724	258	294	558	18	163	371	534								
"IL"	2012	"Bloomington"	"52"	663	850	199	453	662	13	194	441	635								
"IL"	2012	"Bloomington"	"6"	710	1326	496	179	704	13	480	174	654								
"IL"	2012	"Bloomington"	"7"	754	1269	548	181	752	13	533	162	695								
"IL"	2012	"Bloomington"	"8"	441	536	152	278	438	18	90	341	431								
"IL"	2012	"Bloomington"	"9"	688	1121	452	201	682	13	436	185	621								
"IL"	2012	"Bond"	"Burgess 1"	412	747	183	206	408	15	151	240	391								
"IL"	2012	"Bond"	"Burgess 2"	309	496	142	154	305	15	110	191	301								
"IL"	2012	"Bond"	"Burgess 3"	325	558	114	200	322	15	65	250	315								
"IL"	2012	"Bond"	"Central 1"	564	823	201	341	555	15	127	418	545								
"IL"	2012	"Bond"	"Central 1-A"	476	708	187	266	472	15	126	338	464								
"IL"	2012	"Bond"	"Central 2"	232	440	85	137	229	15	68	157	225								
"IL"	2012	"Bond"	"Central 3"	224	413	97	114	220	15	74	137	211								
"IL"	2012	"Bond"	"Central 4"	286	524	140	130	281	15	104	171	275								
"IL"	2012	"Bond"	"Central 5"	340	735	130	194	338	15	105	223	328								
"IL"	2012	"Bond"	"Central 6"	362	557	141	203	359	15	112	241	353								
"IL"	2012	"Bond"	"Central 7"	334	614	140	171	334	15	128	196	324								
"IL"	2012	"Bond"	"Lagrange 1"	225	338	70	145	223	13	73	124	197								
"IL"	2012	"Bond"	"Lagrange 2"	425	643	136	281	422	13	133	252	385								
"IL"	2012	"Bond"	"Mills"	300	451	112	179	299	15	87	207	294								
"IL"	2012	"Bond"	"Mulberry Grove 1"	374	665	175	182	371	13	165	160	325								
"IL"	2012	"Bond"	"Mulberry Grove 2"	221	362	78	126	217	13	90	101	191								
"IL"	2012	"Bond"	"Old Ripley"	472	706	185	260	468	15	153	302	455								
"IL"	2012	"Bond"	"Pleasant Mound 1"	248	401	85	148	244	15	87	156	243								
"IL"	2012	"Bond"	"Pleasant Mound 2"	255	438	126	121	254	15	102	143	245								
"IL"	2012	"Bond"	"Shoal Creek 1"	175	272	77	90	172	13	82	75	157								
"IL"	2012	"Bond"	"Shoal Creek 2"	127	204	70	50	123	13	70	44	114								
"IL"	2012	"Bond"	"Shoal Creek 3"	154	296	72	80	153	13	62	68	130								
"IL"	2012	"Bond"	"Shoal Creek 4"	349	629	163	176	348	13	166	145	311								
"IL"	2012	"Bond"	"Tamalco 1"	161	231	63	92	159	15	52	105	157								
"IL"	2012	"Bond"	"Tamalco 2"	99	205	48	49	99	15	42	53	95								
"IL"	2012	"Boone"	"Belvidere 1"	387	622	214	161	386	16	179	195	374								
"IL"	2012	"Boone"	"Belvidere 10"	208	386	131	72	208	16	114	84	198								
"IL"	2012	"Boone"	"Belvidere 11"	414	667	199	198	412	16	174	226	400								
"IL"	2012	"Boone"	"Belvidere 12"	739	1101	364	358	737	16	295	404	699								
"IL"	2012	"Boone"	"Belvidere 13"	339	533	195	134	338	16	169	163	332								
"IL"	2012	"Boone"	"Belvidere 14"	335	516	188	134	334	16	154	165	319								
"IL"	2012	"Boone"	"Belvidere 15"	534	872	274	253	534	16	230	291	521								
"IL"	2012	"Boone"	"Belvidere 16"	1369	1868	560	778	1363	16	456	855	1311								
"IL"	2012	"Boone"	"Belvidere 17"	1340	1410	592	719	1337	16	526	769	1295								
"IL"	2012	"Boone"	"Belvidere 18"	542	727	163	369	541	16	139	384	523								
"IL"	2012	"Boone"	"Belvidere 19"	584	768	193	380	579	16	161	402	563								
"IL"	2012	"Boone"	"Belvidere 2"	321	531	172	132	319	16	143	167	310								
"IL"	2012	"Boone"	"Belvidere 20"	655	794	170	479	655	16	137	501	638								
"IL"	2012	"Boone"	"Belvidere 21"	584	755	187	392	583	16	159	411	570								
"IL"	2012	"Boone"	"Belvidere 22"	642	847	232	402	640	16	171	445	616								
"IL"	2012	"Boone"	"Belvidere 3"	324	601	185	136	322	16	151	154	305								
"IL"	2012	"Boone"	"Belvidere 4"	557	988	354	178	554	16	321	213	534								
"IL"	2012	"Boone"	"Belvidere 5"	272	449	146	114	270	16	122	132	254								
"IL"	2012	"Boone"	"Belvidere 6"	351	524	175	161	350	16	162	183	345								
"IL"	2012	"Boone"	"Belvidere 7"	340	546	219	110	340	16	186	148	334								
"IL"	2012	"Boone"	"Belvidere 8"	486	882	303	175	486	16	255	220	475								
"IL"	2012	"Boone"	"Belvidere 9"	407	673	233	163	405	16	190	203	393								
"IL"	2012	"Boone"	"Bonus 1"	372	570	170	190	366	16	125	229	354								
"IL"	2012	"Boone"	"Bonus 2"	571	785	235	323	571	16	180	374	554								
"IL"	2012	"Boone"	"Bonus 3"	832	1349	434	372	830	16	406	402	808								
"IL"	2012	"Boone"	"Boone 1"	308	444	119	175	306	16	100	197	297								
"IL"	2012	"Boone"	"Boone 2"	383	637	208	163	381	16	191	180	371								
"IL"	2012	"Boone"	"Caldedonia 2"	734	1223	354	358	732	16	317	386	703								
"IL"	2012	"Boone"	"Caledonia 1"	1631	2267	619	986	1628	16	491	1078	1569								
"IL"	2012	"Boone"	"Caledonia 3"	663	1064	315	332	663	16	281	358	639								
"IL"	2012	"Boone"	"Flora 1"	711	1175	416	280	709	16	333	326	659								
"IL"	2012	"Boone"	"Flora 2"	500	714	200	282	497	16	178	307	485								
"IL"	2012	"Boone"	"Le Roy"	255	346	83	167	254	16	67	174	241								
"IL"	2012	"Boone"	"Manchester"	538	736	185	345	537	16	157	370	527								
"IL"	2012	"Boone"	"Poplar Grove 1"	1118	1819	563	530	1116	16	455	624	1079								
"IL"	2012	"Boone"	"Poplar Grove 2"	326	470	150	168	324	16	119	193	312								
"IL"	2012	"Boone"	"Poplar Grove 3"	389	656	196	179	386	16	175	203	378								
"IL"	2012	"Boone"	"Spring"	448	652	187	248	448	16	155	281	436								
"IL"	2012	"Brown"	"Buckhorn Township"	39	66	8	30	38	18	7	31	38								
"IL"	2012	"Brown"	"Cooperstown Township"	190	270	57	119	181	18	39	144	183								
"IL"	2012	"Brown"	"Elkhorn Township"	178	269	56	119	178	18	33	139	172								
"IL"	2012	"Brown"	"Lee Township"	151	219	45	96	147	18	28	117	145								
"IL"	2012	"Brown"	"Missouri Township"	82	127	24	49	79	18	10	70	80								
"IL"	2012	"Brown"	"Mt Sterling 1"	460	790	152	287	453	18	84	354	438								
"IL"	2012	"Brown"	"Mt Sterling 2"	244	485	98	137	240	18	48	188	236								
"IL"	2012	"Brown"	"Mt Sterling 3"	129	181	37	88	127	18	15	111	126								
"IL"	2012	"Brown"	"Mt Sterling 4"	233	380	71	151	233	18	41	188	229								
"IL"	2012	"Brown"	"Mt Sterling 5"	171	361	71	87	170	18	39	125	164								
"IL"	2012	"Brown"	"Pea Ridge Township"	108	160	23	84	107	18	13	91	104								
"IL"	2012	"Brown"	"Ripley Township"	56	96	26	24	55	18	23	30	53								
"IL"	2012	"Brown"	"Versailles Township 1"	184	279	61	118	182	18	40	140	180								
"IL"	2012	"Brown"	"Versailles Township 2"	190	302	58	124	190	18	35	149	184								
"IL"	2012	"Bureau"	"Arispie"	404	554	188	205	403	16	143	248	391								
"IL"	2012	"Bureau"	"Berlin"	379	548	164	207	374	16	119	254	373								
"IL"	2012	"Bureau"	"Bureau"	147	198	48	93	146	16	34	107	141								
"IL"	2012	"Bureau"	"Clarion"	199	259	75	118	196	16	59	133	192								
"IL"	2012	"Bureau"	"Concord 1"	454	616	233	206	449	16	166	275	441								
"IL"	2012	"Bureau"	"Concord 2"	312	427	158	145	309	16	105	197	302								
"IL"	2012	"Bureau"	"Dover"	322	427	112	198	320	16	78	234	312								
"IL"	2012	"Bureau"	"Fairfield"	115	156	61	53	115	16	56	53	109								
"IL"	2012	"Bureau"	"Gold"	104	129	45	56	103	16	35	64	99								
"IL"	2012	"Bureau"	"Greenville"	177	240	75	96	177	16	66	110	176								
"IL"	2012	"Bureau"	"Hall 1"	302	468	202	86	301	16	190	105	295								
"IL"	2012	"Bureau"	"Hall 10"	324	462	171	140	318	16	1238	174	1412								
"IL"	2012	"Bureau"	"Hall 2"	352	522	234	106	349	16	215	126	341								
"IL"	2012	"Bureau"	"Hall 3"	564	800	369	183	562	16	320	232	552								
"IL"	2012	"Bureau"	"Hall 4"	291	412	154	125	284	16	122	158	280								
"IL"	2012	"Bureau"	"Hall 5"	281	388	149	124	279	16	102	167	269								
"IL"	2012	"Bureau"	"Hall 6"	562	767	355	198	560	16	320	225	545								
"IL"	2012	"Bureau"	"Hall 7"	397	518	221	163	393	16	184	203	387								
"IL"	2012	"Bureau"	"Hall 8"	470	683	308	149	468	16	263	194	457								
"IL"	2012	"Bureau"	"Hall 9"	410	526	227	177	409	16	171	229	400								
"IL"	2012	"Bureau"	"Indiantown"	377	510	150	217	377	16	90	275	365								
"IL"	2012	"Bureau"	"La Moille 1"	432	579	197	212	429	16	156	264	420								
"IL"	2012	"Bureau"	"La Moille 2"	144	188	46	97	144	16	34	108	142								
"IL"	2012	"Bureau"	"Leepertown"	144	244	88	51	143	16	73	69	142								
"IL"	2012	"Bureau"	"Macon"	99	144	26	70	99	16	18	78	96								
"IL"	2012	"Bureau"	"Manlius"	340	454	182	152	339	16	112	215	327								
"IL"	2012	"Bureau"	"Milo"	101	132	36	65	101	16	25	71	96								
"IL"	2012	"Bureau"	"Mineral"	249	328	129	110	247	16	94	144	238								
