state	year	county	precinct	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	g2012_USH_rv	g2012_USH_dv	g2012_USH_tv
"SD"	2012	"Butte"	"Ward 2 Precinct 23 (Belle Fourche Community Hall)"	68	158	231	157	69	226
"SD"	2012	"Butte"	"Ward 2 Precinct 24 (Belle Fourche Community Hall)"	88	260	358	257	102	359
"SD"	2012	"Butte"	"Ward 3 Precinct 25 (Belle Fourche Community Hall)"	61	220	287	211	75	286
"SD"	2012	"Butte"	"Ward 3 Precinct 26 (Belle Fourche Community Hall)"	58	165	231	174	55	229
"SD"	2012	"Butte"	"Ward 4 Precinct 27 (Belle Fourche Community Hall)"	59	195	264	201	63	264
"SD"	2012	"Butte"	"Ward 4 Precinct 28 (Belle Fourche Community Hall)"	99	250	361	241	113	354
"SD"	2012	"Campbell"	"#1 (Herreid Senior Citizens Center)"	33	121	155	109	43	152
"SD"	2012	"Campbell"	"#2 (Pollock Visitors Center)"	30	120	157	123	34	157
"SD"	2012	"Campbell"	"#3 (Herreid Senior Citizens Center)"	29	124	153	122	31	153
"SD"	2012	"Campbell"	"#4 (Mound City Community Center)"	29	132	168	126	39	165
"SD"	2012	"Campbell"	"#5 (Campbell County Courthouse/Court Room)"	32	119	154	117	36	153
"SD"	2012	"Charles Mix"	"#01 (Wagner Armory)"	181	265	456	258	192	450
"SD"	2012	"Charles Mix"	"#02 (Dante Church)"	93	105	199	108	94	202
"SD"	2012	"Charles Mix"	"#03 (Wagner Armory)"	291	254	556	262	303	565
"SD"	2012	"Charles Mix"	"#04 (Boys & Girls Club)"	137	61	201	66	134	200
"SD"	2012	"Charles Mix"	"#05 (Lake Andes 4-H Center)"	190	198	389	203	186	389
"SD"	2012	"Charles Mix"	"#06 (Lake Andes 4-H Center)"	189	85	275	92	187	279
"SD"	2012	"Charles Mix"	"#07 (Pickstown Rainbow Room)"	39	80	122	79	41	120
"SD"	2012	"Charles Mix"	"#08 (Geddes Community Bldg)"	47	137	191	135	55	190
"SD"	2012	"Charles Mix"	"#09 (Platte Community Bldg)"	73	317	393	309	80	389
"SD"	2012	"Charles Mix"	"#10 (Academy Fire Hall)"	19	101	120	95	25	120
"SD"	2012	"Charles Mix"	"#11 (Platte Community Bldg)"	148	507	661	498	167	665
"SD"	2012	"Charles Mix"	"#12 (Geddes Community Bldg)"	48	70	121	62	61	123
"SD"	2012	"Charles Mix"	"#13 (Ravinia Town Hall)"	28	50	80	52	28	80
"SD"	2012	"Clark"	"Ash, Woodland, Garfield, Elrod (Clark County Courthouse)"	53	97	152	108	50	158
"SD"	2012	"Clark"	"Blaine, Cottonwood, Sp Val, War (Bradley Community Center)"	71	81	162	83	79	162
"SD"	2012	"Clark"	"City of Clark Ward I (Clark Senior Citizens - Ullyot Bldg )"	90	113	208	117	86	203
"SD"	2012	"Clark"	"City of Clark Ward II (Clark Senior Citizens - Ullyot Bldg )"	80	114	198	113	85	198
"SD"	2012	"Clark"	"City of Clark Ward III, Lincoln (Clark Senior Citizens - Ullyot Bldg )"	94	144	244	140	107	247
"SD"	2012	"Clark"	"Foxton, Merton, Town of  (Clark County Courthouse)"	22	46	70	45	25	70
"SD"	2012	"Clark"	"Lake, Washington, Collins (Willow Lake Grace Lutheran Church)"	49	74	126	77	51	128
"SD"	2012	"Clark"	"Mt Pleasant, Day, Darlington (Clark County Courthouse)"	48	65	115	67	47	114
"SD"	2012	"Clark"	"Raymond Twp, Logan, Fordham, To (Raymond Fire Hall)"	49	57	110	63	50	113
"SD"	2012	"Clark"	"Richland, Hague, Rosedale (Carpenter Community Center)"	39	56	95	57	42	99
"SD"	2012	"Clark"	"Thorp, Maydell, Eden, Town of G (Prairie Ridge Lodge )"	51	69	121	71	53	124
"SD"	2012	"Clark"	"Town of Vienna, Pleasant (Vienna Town Hall)"	12	58	72	65	8	73
"SD"	2012	"Clark"	"Town of Willow Lake (Willow Lake Community Center)"	55	93	148	96	54	150
"SD"	2012	"Clay"	"Central 1 (National Guard Armory)"	460	183	661	180	474	654
"SD"	2012	"Clay"	"Northeast 1 (National Guard Armory)"	308	186	520	202	309	511
"SD"	2012	"Clay"	"Northwest 1 (National Guard Armory)"	333	203	552	212	334	546
"SD"	2012	"Clay"	"Northwest 2 (National Guard Armory)"	211	189	409	175	228	403
"SD"	2012	"Clay"	"Rural Ward 1 @ Experimental Far (SESD Experimental Farm)"	150	221	383	221	171	392
"SD"	2012	"Clay"	"Rural Ward 2 @ Wakonda Senior C (Wakonda Senior Center)"	192	209	408	222	185	407
"SD"	2012	"Clay"	"Rural Ward 3 @ Verm 4H Center (Vermillion 4-H Center)"	515	449	983	446	523	969
"SD"	2012	"Clay"	"Southeast 1 (National Guard Armory)"	440	293	749	297	446	743
"SD"	2012	"Clay"	"Southeast 2 (National Guard Armory)"	346	214	569	208	355	563
"SD"	2012	"Codington"	"Dexter (Florence Community Center)"	50	40	90	48	43	91
"SD"	2012	"Codington"	"Eden, Phipps, Wallace (Wallace Coffee Shop)"	36	67	106	58	49	107
"SD"	2012	"Codington"	"Elmira (Lincoln School)"	83	130	218	137	83	220
"SD"	2012	"Codington"	"Fuller - Florence (Florence Community Center)"	94	154	257	164	99	263
"SD"	2012	"Codington"	"Germantown (Northeast Research Farm)"	54	26	83	24	60	84
"SD"	2012	"Codington"	"Graceland, Henry, Henry (Henry Town Hall)"	77	118	205	117	88	205
"SD"	2012	"Codington"	"Kampeska Township (Including: Richland) (County Extension Complex)"	88	140	234	151	88	239
"SD"	2012	"Codington"	"Kranzburg Twp. & Village (Holy Rosary School Auditorium)"	76	158	238	160	80	240
"SD"	2012	"Codington"	"Lake Township (County Extension Complex)"	114	221	343	222	119	341
"SD"	2012	"Codington"	"Leola - South Shore (South Shore Community Center)"	65	73	145	82	64	146
"SD"	2012	"Codington"	"Pelican (County Extension Complex)"	109	192	308	194	117	311
"SD"	2012	"Codington"	"Rauville (County Extension Complex)"	48	83	134	86	50	136
"SD"	2012	"Codington"	"Sheridan (Days Inn of Watertown)"	76	138	216	145	71	216
"SD"	2012	"Codington"	"Ward A Precinct 1 (County Extension Complex)"	276	578	860	565	291	856
"SD"	2012	"Codington"	"Ward A Precinct 2 (County Extension Complex)"	188	335	534	344	188	532
"SD"	2012	"Codington"	"Ward A Precinct 3 (Including: Ward A Precinct 4) (County Extension Complex)"	267	402	677	398	275	673
"SD"	2012	"Codington"	"Ward B Precinct 1 (Including: Ward B Precinct 4, Ward E Precinct 5) (County Extension Complex)"	243	422	675	413	267	680
"SD"	2012	"Codington"	"Ward B Precinct 2 (County Extension Complex)"	391	428	842	441	396	837
"SD"	2012	"Codington"	"Ward B Precinct 3 (Including: Ward C Precinct 1) (County Extension Complex)"	264	372	646	386	259	645
"SD"	2012	"Codington"	"Ward C Precinct 2 (Including: Ward D Precinct 4) (County Extension Complex)"	198	186	400	200	201	401
"SD"	2012	"Codington"	"Ward C Precinct 3 (County Extension Complex)"	294	297	608	290	323	613
"SD"	2012	"Codington"	"Ward C Precinct 4 (County Extension Complex)"	128	123	262	138	127	265
"SD"	2012	"Codington"	"Ward D Precinct 1 (County Extension Complex)"	227	259	496	262	233	495
"SD"	2012	"Codington"	"Ward D Precinct 2 (County Extension Complex)"	251	246	509	266	243	509
"SD"	2012	"Codington"	"Ward D Precinct 3 (County Extension Complex)"	170	235	409	232	178	410
"SD"	2012	"Codington"	"Ward E Precinct 1 (County Extension Complex)"	291	343	648	347	304	651
"SD"	2012	"Codington"	"Ward E Precinct 2 (Including: Ward E Precinct 4) (County Extension Complex)"	193	336	538	316	217	533
"SD"	2012	"Codington"	"Ward E Precinct 3 (County Extension Complex)"	201	536	747	512	225	737
"SD"	2012	"Codington"	"Waverly (Waverly School)"	36	58	96	56	40	96
"SD"	2012	"Corson"	"Bullhead Precinct (Bullhead Community Center)"	59	4	63	16	48	64
"SD"	2012	"Corson"	"Grand Valley Precinct (Grand River Fire Hall)"	4	62	76	66	11	77
"SD"	2012	"Corson"	"Kenel Precinct (Kenel Community Hall)"	61	7	68	14	48	62
"SD"	2012	"Corson"	"Lincoln Precinct (Including: Oak Creek Precinct) (McLaughlin City Auditorium)"	47	63	111	74	31	105
"SD"	2012	"Corson"	"Little Eagle Precinct (Little Eagle District Office)"	83	9	94	25	67	92
"SD"	2012	"Corson"	"McIntosh Precinct (Including: South McIntosh Precinct) (Corson County Courthouse)"	54	110	170	104	63	167
"SD"	2012	"Corson"	"McLaughlin Precinct (McLaughlin City Auditorium)"	124	62	192	71	115	186
"SD"	2012	"Corson"	"Mission/Wakpala Precinct (Wakpala Community Center)"	83	4	88	20	66	86
"SD"	2012	"Corson"	"Morristown Precinct (Morristown Fire Hall)"	30	68	107	76	39	115
"SD"	2012	"Corson"	"Ridgeland Precinct (Trail City Community Hall)"	25	37	63	48	15	63
"SD"	2012	"Corson"	"Stone Church Precinct (Gary Pederson Residence)"	13	64	78	64	11	75
"SD"	2012	"Corson"	"West Rural McLaughlin Precinct (McLaughlin City Auditorium)"	65	25	90	38	46	84
"SD"	2012	"Custer"	"Bear Rock 9 (Custer County Highway Dept Bldg)"	351	792	1164	796	364	1160
"SD"	2012	"Custer"	"Buffalo Gap 3 (Buffalo Gap Town Hall)"	65	132	202	131	67	198
"SD"	2012	"Custer"	"Custer 6 (Custer County Courthouse Annex)"	170	218	398	230	167	397
"SD"	2012	"Custer"	"Custer 7 (Custer County Courthouse Annex)"	81	162	249	164	83	247
"SD"	2012	"Custer"	"Custer 8 (Custer County Courthouse Annex)"	152	264	429	262	160	422
"SD"	2012	"Custer"	"Elk Mountain 10 (Elk Mountain School)"	28	99	133	98	30	128
"SD"	2012	"Custer"	"Fairburn 2 (Fairburn Community & Historical Center)"	22	109	132	106	26	132
"SD"	2012	"Custer"	"Hermosa 1 (Hermosa United Church of Christ)"	185	656	871	658	208	866
"SD"	2012	"Custer"	"Pringle 4 (Pringle Fire Auxillary Hall)"	105	201	314	202	114	316
"SD"	2012	"Custer"	"Sentinel Hill 5 (Custer County Courthouse Annex)"	176	429	628	421	198	619
"SD"	2012	"Davison"	"Prec 1 (Ethan Town Hall)"	105	186	300	188	115	303
"SD"	2012	"Davison"	"Prec 10 (Davison County Fairgrounds)"	182	233	428	230	200	430
"SD"	2012	"Davison"	"Prec 11 (Davison County Fairgrounds)"	190	249	450	239	208	447
"SD"	2012	"Davison"	"Prec 12 (Including: Prec 13) (Davison County Fairgrounds)"	222	335	567	327	237	564
"SD"	2012	"Davison"	"Prec 14 (Davison County Fairgrounds)"	148	191	349	188	156	344
"SD"	2012	"Davison"	"Prec 15 (Davison County Fairgrounds)"	237	304	556	322	234	556
"SD"	2012	"Davison"	"Prec 16 (Davison County Fairgrounds)"	172	206	389	209	177	386
"SD"	2012	"Davison"	"Prec 17 (Including: Prec 18) (Corn Palace)"	164	200	370	199	174	373
"SD"	2012	"Davison"	"Prec 19 (Corn Palace)"	192	253	461	250	209	459
"SD"	2012	"Davison"	"Prec 2 (Tom Young Community Center)"	98	267	372	253	122	375
"SD"	2012	"Davison"	"Prec 20 (Corn Palace)"	312	479	804	469	338	807
"SD"	2012	"Davison"	"Prec 3 (Corn Palace)"	209	418	635	402	236	638
"SD"	2012	"Davison"	"Prec 4 (Including: Prec 5) (Corn Palace)"	180	443	632	439	189	628
"SD"	2012	"Davison"	"Prec 6 (Including: Prec 7) (Corn Palace)"	268	548	827	528	299	827
"SD"	2012	"Davison"	"Prec 8 (Corn Palace)"	159	228	395	221	179	400
"SD"	2012	"Davison"	"Prec 9 (Corn Palace)"	204	217	436	234	206	440
"SD"	2012	"Day"	"#1 (Day County Courthouse Rm#101)"	138	142	283	147	135	282
"SD"	2012	"Day"	"#10 (Andover Senior Center)"	43	66	113	63	49	112
"SD"	2012	"Day"	"#11 (Roslyn City Hall)"	112	96	214	83	125	208
"SD"	2012	"Day"	"#12 (Pierpont Community Center)"	122	83	206	71	136	207
"SD"	2012	"Day"	"#13 (St. Joseph's Hall)"	117	82	202	88	116	204
"SD"	2012	"Day"	"#14 (Bristol Community Center)"	132	114	249	111	142	253
"SD"	2012	"Day"	"#2 (Day County Courthouse Rm#101)"	146	118	270	117	157	274
"SD"	2012	"Day"	"#3 (Day County Courthouse Rm#101)"	79	78	161	72	91	163
"SD"	2012	"Day"	"#4 (Day County Courthouse Rm#101)"	96	78	177	74	106	180
"SD"	2012	"Day"	"#5 (Waubay Legion )"	126	88	218	100	127	227
"SD"	2012	"Day"	"#6 (Waubay Legion )"	144	132	280	117	153	270
"SD"	2012	"Day"	"#7 (Day County Courthouse Rm#205)"	78	85	169	77	90	167
"SD"	2012	"Day"	"#8 (Bristol Community Center)"	81	60	148	64	86	150
"SD"	2012	"Day"	"#9 (Day County Courthouse Rm#104)"	83	98	183	94	90	184
"SD"	2012	"Deuel"	"Alt.,Portland,Alt.Lowe (Dakota Ridge Lodge)"	83	58	145	67	78	145
"SD"	2012	"Deuel"	"Blom, Grange, Toronto (Toronto Community Rm. (FireHall))"	89	123	219	116	102	218
"SD"	2012	"Deuel"	"Clear Lake WD 1 (Clear Lake Community Center)"	80	105	191	111	81	192
"SD"	2012	"Deuel"	"Clear Lake WD 2 (Clear Lake Community Center)"	107	82	194	91	97	188
"SD"	2012	"Deuel"	"Clear Lake WD 3 (Clear Lake Community Center)"	87	108	198	104	93	197
"SD"	2012	"Deuel"	"Glenwd,Herrick,Ant.Val,Gary (Gary Fire Hall)"	121	149	279	172	108	280
"SD"	2012	"Deuel"	"Goodwin, Rome, Goodwin (Goodwin Fire Hall)"	64	130	199	131	70	201
"SD"	2012	"Deuel"	"Hav., CL, Hidewood (Clear Lake Community Center)"	106	159	273	172	99	271
"SD"	2012	"Deuel"	"Norden, Brandt, Brandt (Brandt Community Center)"	134	165	300	187	115	302
"SD"	2012	"Deuel"	"Scandi, Astoria (Astoria Legion Hall)"	70	96	173	103	70	173
"SD"	2012	"Dewey"	"EAGLE BUTTE EAST (CRST Senior Nutrition Site)"	253	32	287	54	226	280
"SD"	2012	"Dewey"	"EB SOUTH (Landmark Hall)"	274	72	348	78	262	340
"SD"	2012	"Dewey"	"EB WEST GREEN GRASS (Eagle Butte Volunteer Fire Hall)"	110	64	176	72	99	171
"SD"	2012	"Dewey"	"FIRESTEEL (Dewey Co. Courthouse)"	21	25	48	23	25	48
"SD"	2012	"Dewey"	"GLENCROSS (Timber Lake Community Ctr)"	3	40	43	40	5	45
"SD"	2012	"Dewey"	"ISABEL (Isabel Senior Center)"	29	108	141	101	42	143
"SD"	2012	"Dewey"	"LAPLANT (UCC Church Hall/LaPlante)"	50	9	59	11	48	59
"SD"	2012	"Dewey"	"NO HEART (Including: EB NORTH) (Lakota Wesleyon Church)"	207	68	276	89	187	276
"SD"	2012	"Dewey"	"PROMISE (St. Catherine Hall/Promise)"	39	23	64	25	36	61
"SD"	2012	"Dewey"	"SWIFTBIRD (Ducheneaux Chapel)"	49	6	55	10	44	54
"SD"	2012	"Dewey"	"TIMBER LAKE (Timber Lake Community Ctr)"	100	183	291	170	121	291
"SD"	2012	"Dewey"	"TRAIL CITY (Trail City Community Hall)"	2	30	34	31	2	33
"SD"	2012	"Dewey"	"WHITE HORSE (White Horse Community Center)"	70	3	73	15	55	70
"SD"	2012	"Douglas"	"#1 (Holland Township Hall)"	34	345	379	341	43	384
"SD"	2012	"Douglas"	"#2 (Community Building)"	73	246	324	247	74	321
"SD"	2012	"Douglas"	"#3 (Community Center)"	64	228	297	222	76	298
"SD"	2012	"Douglas"	"#4 (City Council Chambers)"	115	241	366	251	121	372
"SD"	2012	"Douglas"	"#5 (4-H Center)"	46	274	324	266	56	322
"SD"	2012	"Edmunds"	"#1 Mina Area (Cortlandt Township Hall)"	148	259	416	240	174	414
"SD"	2012	"Edmunds"	"#2 Ipswich (Edmunds County Courthouse)"	132	250	400	237	160	397
"SD"	2012	"Edmunds"	"#3 Rural Ipswich (Ipswich 4-H Building)"	82	188	272	164	107	271
"SD"	2012	"Edmunds"	"#4 Roscoe Area (Roscoe Fire Hall)"	104	172	288	161	125	286
"SD"	2012	"Edmunds"	"#5 Bowdle Area (Bowdle Multi-Purpose Center)"	94	287	385	256	129	385
"SD"	2012	"Edmunds"	"#6 Hosmer Area (Hosmer Fire Hall)"	62	108	175	109	65	174
"SD"	2012	"Fall River"	"Beaver (Oral School)"	18	116	138	117	20	137
"SD"	2012	"Fall River"	"Cascade (Cascade Fire Hall)"	48	92	145	104	38	142
"SD"	2012	"Fall River"	"Edgemont Area (Including: Argentine, Cottonwood, Edgemont 2, Edgemont 3) (St James Parish Center)"	162	361	545	390	150	540
"SD"	2012	"Fall River"	"Hot Springs 1 (Evans Apartments )"	161	230	405	252	150	402
"SD"	2012	"Fall River"	"Hot Springs 2A (Mueller Center)"	112	176	296	178	123	301
"SD"	2012	"Fall River"	"Hot Springs 2B (Mueller Center)"	67	67	138	81	61	142
"SD"	2012	"Fall River"	"Hot Springs 3 (Mueller Center)"	158	258	434	270	166	436
"SD"	2012	"Fall River"	"Hot Springs 4 (Brookside Apartments)"	146	187	348	194	148	342
"SD"	2012	"Fall River"	"Jackson (Mueller Center)"	248	577	848	593	243	836
"SD"	2012	"Fall River"	"Limestone (Including: Smithwick) (Oelrichs Community Center)"	7	143	151	143	9	152
"SD"	2012	"Fall River"	"Oelrichs (Oelrichs Community Center)"	13	51	68	48	19	67
"SD"	2012	"Faulk"	"#1 (Cresbard Community Ctr)"	54	130	191	119	69	188
"SD"	2012	"Faulk"	"#2 (Freedom Farmers Union Local 974)"	13	65	81	64	16	80
"SD"	2012	"Faulk"	"#3 (Seneca Fire Hall)"	33	110	146	106	37	143
"SD"	2012	"Faulk"	"#4 (Orient Community Ctr.)"	28	63	92	62	31	93
"SD"	2012	"Faulk"	"#5 (Rockham Community Ctr)"	17	66	87	66	21	87
"SD"	2012	"Faulk"	"#6 (Faulkton Community Ctr)"	75	167	249	150	93	243
"SD"	2012	"Faulk"	"#7 (Faulkton Community Ctr)"	111	164	281	161	124	285
"SD"	2012	"Grant"	"Adams-Albee-Revillo-Vernon (Revillo Community Center)"	123	139	266	143	125	268
"SD"	2012	"Grant"	"Alban (Milbank Airport)"	104	163	274	163	110	273
"SD"	2012	"Grant"	"Big Stone City & Twp (Big Stone City Community Room)"	160	228	399	250	154	404
"SD"	2012	"Grant"	"Blooming Val-Farm-Lura (New Township Hall)"	43	66	112	77	35	112
"SD"	2012	"Grant"	"Georgia-Madison-LaBolt (LaBolt Mini Mall)"	74	87	165	97	68	165
"SD"	2012	"Grant"	"Grant Center (Whetstone Valley Electric Meeting Room)"	79	112	195	112	84	196
"SD"	2012	"Grant"	"Mazeppa-Osceola-Marvin (Marvin Hall)"	54	67	122	63	62	125
"SD"	2012	"Grant"	"Melrose (Otter Tail Power Co Meeting Room)"	61	141	204	140	63	203
"SD"	2012	"Grant"	"Milbank 11 (City Office Community Room)"	171	191	369	213	156	369
"SD"	2012	"Grant"	"Milbank 12 (City Office Community Room)"	26	37	64	39	29	68
"SD"	2012	"Grant"	"Milbank 21 (City Office Community Room)"	46	74	126	79	42	121
"SD"	2012	"Grant"	"Milbank 22 (City Office Community Room)"	177	247	434	256	191	447
"SD"	2012	"Grant"	"Milbank 31 (City Office Community Room)"	39	41	82	43	39	82
"SD"	2012	"Grant"	"Milbank 32 (City Office Community Room)"	47	47	96	55	39	94
"SD"	2012	"Grant"	"Milbank 33 (City Office Community Room)"	165	235	406	252	154	406
