state	year	county	precinct	g2012_REG_tv	g2012_BALL_tv	cd	g2012_USP_tv	g2012_USP_dv	g2012_USP_rv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	cd2	g2012_USH_dv2	g2012_USH_rv2	g2012_USH_tv2	cd3	g2012_USH_dv3	g2012_USH_rv3	g2012_USH_tv3
"AL"	2012	"Baldwin"	"PERDIDO VFD"	0	576	1	571	81	486		476	476								
"AL"	2012	"Baldwin"	"PINEGROVE VFD"	0	928	1	924	238	677		725	725								
"AL"	2012	"Baldwin"	"POINT CLEAR ST FRANCIS"	0	973	1	968	301	658		694	694								
"AL"	2012	"Baldwin"	"PROVISIONAL"	0	0	1	0	0	0		0	0								
"AL"	2012	"Baldwin"	"RABUN VFD"	0	489	1	489	51	434		429	429								
"AL"	2012	"Baldwin"	"ROBERTSDALE CITY HALL"	0	2273	1	2259	394	1838		1918	1918								
"AL"	2012	"Baldwin"	"ROSINTON METHODIST"	0	1209	1	1206	133	1063		1079	1079								
"AL"	2012	"Baldwin"	"SEMINOLE FIRE HOUSE"	0	509	1	507	65	437		437	437								
"AL"	2012	"Baldwin"	"SILVERHILL TOWN HALL"	0	1885	1	1880	248	1605		1649	1649								
"AL"	2012	"Baldwin"	"SPANISH FORT EAST POINTE"	0	3164	1	3147	487	2616		2685	2685								
"AL"	2012	"Baldwin"	"SPANISH FT VFD"	0	1796	1	1791	262	1516		1562	1562								
"AL"	2012	"Baldwin"	"STAPLETON COMMUNITY HALL"	0	926	1	919	83	827		827	827								
"AL"	2012	"Baldwin"	"STOCKTON CIVIC BUILDING"	0	428	1	425	29	394		394	394								
"AL"	2012	"Baldwin"	"SUMMERDALE COMMUNITY CENTER"	0	1533	1	1526	219	1290		1310	1310								
"AL"	2012	"Baldwin"	"TENSAW VFD"	0	134	1	133	102	31		39	39								
"AL"	2012	"Baldwin"	"VAUGHN COMMUNITY CENTER"	0	413	1	411	249	160		188	188								
"AL"	2012	"Baldwin"	"WHITEHOUSE FORK VFD"	0	806	1	803	129	663		669	669								
"AL"	2012	"Barbour"	"ABSENTEE"	0	971	2	937	594	339	585	339	924								
"AL"	2012	"Barbour"	"BAKERHILL TOWN HALL"	0	370	2	368	161	206	158	194	352								
"AL"	2012	"Barbour"	"BEVILL CENTER"	0	1069	2	1067	287	775	278	754	1032								
"AL"	2012	"Barbour"	"BLUE SPRINGS CITY HALL"	0	339	2	338	78	258	80	246	326								
"AL"	2012	"Barbour"	"CHATT CTS COMMUNITY CENTER"	0	1279	2	1274	924	347	902	345	1247								
"AL"	2012	"Barbour"	"CLAYTON COURTHOUSE"	0	1103	2	1098	696	400	663	380	1043								
"AL"	2012	"Barbour"	"CLIO CITY HALL"	0	732	2	729	494	234	473	226	699								
"AL"	2012	"Barbour"	"ELAMVILLE VOL. FIRE"	0	186	2	183	42	141	38	135	173								
"AL"	2012	"Barbour"	"EUFAULA COMMUNITY CENTER"	0	1263	2	1256	577	673	571	658	1229								
"AL"	2012	"Barbour"	"EUFAULA WATER BOARD"	0	897	2	896	573	318	569	308	877								
"AL"	2012	"Barbour"	"FELLOWSHIP BAPTIST"	0	1056	2	1053	302	744	298	718	1016								
"AL"	2012	"Barbour"	"GREENS CROSSROADS"	0	196	2	195	89	105	88	100	188								
"AL"	2012	"Barbour"	"LOUISVILLE CITY HALL"	0	388	2	387	173	213	155	213	368								
"AL"	2012	"Barbour"	"MT. ANDREW COMMUNITY CENTER"	0	173	2	173	155	17	153	16	169								
"AL"	2012	"Barbour"	"PROVISIONAL"	0	52	2	50	39	11	44	8	52								
"AL"	2012	"Barbour"	"SAMFORD AVENUE GYM"	0	1007	2	1000	487	507	475	501	976								
"AL"	2012	"Barbour"	"SPRINGHILL VFD"	0	234	2	234	171	61	161	61	222								
"AL"	2012	"Barbour"	"SUTTONS RESTAURANT"	0	111	2	111	45	66	45	59	104								
"AL"	2012	"Barbour"	"TEXASVILLE COMMUNITY CENTER"	0	171	2	171	31	140	30	138	168								
"AL"	2012	"Bibb"	"ABSENTEE"	0	256	6	253	65	186	67	184	251								
"AL"	2012	"Bibb"	"ALTERNATIVE SCHOOL"	2606	1692	6	1674	415	1239	494	1163	1657								
"AL"	2012	"Bibb"	"BRENT CITY HALL"	1599	996	6	993	685	304	673	291	964								
"AL"	2012	"Bibb"	"CENTREVILLE ROCK BLDG."	1604	1096	6	1090	265	817	308	760	1068								
"AL"	2012	"Bibb"	"EOLINE FIRE DEPARTMENT"	886	595	6	590	87	503	95	483	578								
"AL"	2012	"Bibb"	"GREENPOND FIRE DEPT."	2345	1490	6	1477	136	1331	219	1242	1461								
"AL"	2012	"Bibb"	"LAWLEY COMMUNITY CTR."	666	442	6	440	84	351	100	334	434								
"AL"	2012	"Bibb"	"NATIONAL GUARD ARMORY"	1893	1138	6	1133	287	840	314	810	1124								
"AL"	2012	"Bibb"	"PROVISIONAL"	0	0	6	0	0	0	0	0	0								
"AL"	2012	"Bibb"	"SIX MILE COMMUNITY CENTER"	1217	746	6	741	176	560	208	516	724								
"AL"	2012	"Blount"	"ABSENTEE"	0	738	6	729	115	603	135	508	643	4	9	55	64				
"AL"	2012	"Blount"	"ALLGOOD TOWN HALL"	0	501	6	497	47	444	100	388	488								
"AL"	2012	"Blount"	"BLOUNT SPRINGS"	0	278	6	277	34	241	45	227	272								
"AL"	2012	"Blount"	"BLOUNTSVILLE"	0	1521	6	1497	244	1232	334	1097	1431								
"AL"	2012	"Blount"	"BROOKSVILLE"	0	418	6	409	44	360	52	246	298	4	17	80	97				
"AL"	2012	"Blount"	"CLEVELAND"	0	1166	6	1156	186	955	272	832	1104								
"AL"	2012	"Blount"	"DALLAS-SELFVILLE"	0	1267	6	1260	123	1130	205	1007	1212								
"AL"	2012	"Blount"	"HAYDEN"	0	2377	6	2365	263	2076	406	1901	2307								
"AL"	2012	"Blount"	"HOLLY SPRINGS"	0	324	6	323	20	297	41	263	304								
"AL"	2012	"Blount"	"LOCUST FORK"	0	1369	6	1356	124	1216	227	1089	1316								
"AL"	2012	"Blount"	"MT. HIGH"	0	1631	6	1626	135	1466	255	1337	1592								
"AL"	2012	"Blount"	"MURPHREE VALLEY"	0	654	6	644	93	544	137	495	632								
"AL"	2012	"Blount"	"NECTAR"	0	1040	6	1025	104	904	172	815	987								
"AL"	2012	"Blount"	"ONEONTA"	0	2504	6	2481	504	1954	672	1729	2401								
"AL"	2012	"Blount"	"PINE MOUNTAIN"	0	392	6	389	37	348	70	310	380								
"AL"	2012	"Blount"	"PROVISIONAL"	0	0	4	0	0	0	0	0	0	6	0	0	0				
"AL"	2012	"Blount"	"REMLAP"	0	994	6	989	99	874	172	797	969								
"AL"	2012	"Blount"	"ROCK SPRINGS"	0	465	6	461	72	387	53	239	292	4	40	111	151				
"AL"	2012	"Blount"	"ROSA"	0	746	6	739	83	644	132	574	706								
"AL"	2012	"Blount"	"ROYAL"	0	401	6	396	57	333	89	291	380								
"AL"	2012	"Blount"	"SMOKE RISE"	0	1142	6	1138	118	1006	188	911	1099								
"AL"	2012	"Blount"	"SNEAD COMMUNITY CENTER"	0	1048	4	1038	129	895	110	820	930	6	23	57	80				
"AL"	2012	"Blount"	"ST. MOUNTAIN"	0	1531	6	1517	119	1391	199	1268	1467								
"AL"	2012	"Blount"	"SUGAR CREEK BANGOR"	0	486	6	477	40	434	72	399	471								
"AL"	2012	"Blount"	"SUMMIT"	0	359	4	354	67	283	75	276	351								
"AL"	2012	"Blount"	"SUSAN MOORE"	0	846	6	837	104	724	93	356	449	4	43	315	358				
"AL"	2012	"Bullock"	"county"	7133	5335	2	5322	4061	1251	3817	1243	5060								
"AL"	2012	"Butler"	"county"	12684	9470	2	9496	4374	5087	4327	4982	9309								
"AL"	2012	"Calhoun"	"1ST UNITED METH. - WEAVER"	0	2148	3	2129	497	1603	513	1587	2100								
"AL"	2012	"Calhoun"	"ABSENTEE"	0	1198	3	1279	394	878	382	858	1240								
"AL"	2012	"Calhoun"	"ALEXANDRIA CIVITAN CLUB"	0	2098	3	2084	403	1663	410	1654	2064								
"AL"	2012	"Calhoun"	"ANGEL FIRE STATION"	0	669	3	665	117	539	130	527	657								
"AL"	2012	"Calhoun"	"ANNISTON 1ST PRSBY. CHURCH"	0	867	3	862	561	295	515	341	856								
"AL"	2012	"Calhoun"	"ANNISTON CARVER CENTER"	0	395	3	394	392	2	379	11	390								
"AL"	2012	"Calhoun"	"ANNISTON GOLDEN SPRINGS"	0	2890	3	2871	912	1923	865	1964	2829								
"AL"	2012	"Calhoun"	"ANNISTON MEETING CENTER"	0	831	3	827	714	111	656	143	799								
"AL"	2012	"Calhoun"	"ANNISTON MENTAL HEALTH CENTER"	0	491	3	487	182	302	162	320	482								
"AL"	2012	"Calhoun"	"ANNISTON THANKFUL BAPTIST"	0	388	3	387	352	33	329	49	378								
"AL"	2012	"Calhoun"	"ASBERRY BAPTIST CHURCH"	0	948	3	943	146	779	164	760	924								
"AL"	2012	"Calhoun"	"BETTA VIEW CHURCH OF CHRIST"	0	2086	3	2068	447	1596	446	1588	2034								
"AL"	2012	"Calhoun"	"BOILING SPRINGS BAPTIST CHURCH"	0	461	3	456	68	384	70	378	448								
"AL"	2012	"Calhoun"	"BYNUM SCHOOL"	0	1788	3	1780	377	1392	376	1381	1757								
"AL"	2012	"Calhoun"	"CALHOUN CO. HEALTH DEPT."	0	419	3	418	230	186	208	198	406								
"AL"	2012	"Calhoun"	"CH. OF THE COVENANT PRSBY"	0	569	3	567	346	214	312	234	546								
"AL"	2012	"Calhoun"	"CHOCCOLOCCO COMMUNITY CENTER"	0	1126	3	1123	207	907	213	885	1098								
"AL"	2012	"Calhoun"	"DEARMANVILLE UNITED METHODIST"	0	748	3	745	140	601	130	602	732								
"AL"	2012	"Calhoun"	"EAGLEPOINT CHURCH"	0	1321	3	1317	496	805	451	846	1297								
"AL"	2012	"Calhoun"	"EULATON UNITED METHODIST"	0	708	3	704	171	528	166	526	692								
"AL"	2012	"Calhoun"	"FOUR MILE METHODIST CHURCH"	0	418	3	413	84	323	79	327	406								
"AL"	2012	"Calhoun"	"FRIENDSHIP BAPTIST CHURCH"	0	807	3	800	107	684	120	651	771								
"AL"	2012	"Calhoun"	"FRIENDSHIP COMMUNITY CENTER"	0	1412	3	1404	249	1145	246	1132	1378								
"AL"	2012	"Calhoun"	"GLENWOOD MEADOWS MTG. RM."	0	1154	3	1150	491	652	448	673	1121								
"AL"	2012	"Calhoun"	"GODS COVENANT MINISTRY"	0	582	3	580	246	329	219	348	567								
"AL"	2012	"Calhoun"	"HOBSON CITY - CITY HALL"	0	415	3	415	393	22	348	48	396								
"AL"	2012	"Calhoun"	"JACKSONVILLE 1ST BAPTIST"	0	1384	3	1376	404	947	376	974	1350								
"AL"	2012	"Calhoun"	"JACKSONVILLE WESTSIDE BAPTIST"	0	879	3	877	572	291	530	330	860								
"AL"	2012	"Calhoun"	"LEATHERWOOD RD CIVIL DEF."	0	1202	3	1192	274	908	266	911	1177								
"AL"	2012	"Calhoun"	"MOORE AVE. CHU. OF CHRIST"	0	1175	3	1167	1023	138	957	178	1135								
"AL"	2012	"Calhoun"	"OAK GROVE BAPTIST CHURCH"	0	649	3	645	69	568	83	549	632								
"AL"	2012	"Calhoun"	"OHATCHEE 1ST BAPTIST CHURCH"	0	1382	3	1374	287	1066	316	1026	1342								
"AL"	2012	"Calhoun"	"OXFORD CHEAHA CLUBHOUSE"	0	669	3	664	163	496	163	492	655								
"AL"	2012	"Calhoun"	"OXFORD LAKE PARK CIVIC CENTER"	0	580	3	578	238	334	226	336	562								
"AL"	2012	"Calhoun"	"OXFORD PUBLIC LIBRARY"	0	549	3	546	197	346	184	353	537								
"AL"	2012	"Calhoun"	"PIEDMONT COMM. BLDG."	0	359	3	358	135	222	120	219	339								
"AL"	2012	"Calhoun"	"PIEDMONT FIRE STATION"	0	677	3	673	160	503	156	500	656								
"AL"	2012	"Calhoun"	"PIEDMONT NATIONAL GUARD ARMORY"	0	633	3	629	151	473	149	467	616								
"AL"	2012	"Calhoun"	"PIEDMONT REC. BLDG."	0	416	3	414	109	295	102	304	406								
"AL"	2012	"Calhoun"	"PROVISIONAL"	0	0	3	0	0	0	0	0	0								
"AL"	2012	"Calhoun"	"SAKS HIGH SCHOOL"	0	2687	3	2670	854	1781	805	1825	2630								
"AL"	2012	"Calhoun"	"SOUTH HIGHLAND COMMUNITY CNTR"	0	771	3	768	680	82	626	132	758								
"AL"	2012	"Calhoun"	"THE DONOHO SCHOOL"	0	821	3	816	186	626	157	648	805								
"AL"	2012	"Calhoun"	"TRINITY MISSIONARY BAPTIST"	0	263	3	263	50	212	48	206	254								
"AL"	2012	"Calhoun"	"WEBSTERS CHAPEL FIRE DEPT"	0	748	3	738	111	614	123	599	722								
"AL"	2012	"Calhoun"	"WELLINGTON MT. VIEW BAPTIST"	0	669	3	666	120	535	116	532	648								
"AL"	2012	"Calhoun"	"WEST PARK HEIGHTS BAPTIST"	0	1103	3	1089	203	876	197	879	1076								
"AL"	2012	"Calhoun"	"WHITE PLAINS 1ST BAPTIST"	0	817	3	807	103	694	123	675	798								
"AL"	2012	"Calhoun"	"WHITE PLAINS V.F.D."	0	447	3	444	78	362	84	347	431								
"AL"	2012	"Calhoun"	"WIGGINS COMMUNITY CENTER"	0	618	3	618	611	7	570	31	601								
"AL"	2012	"Chambers"	"ABSENTEE"	0	552	3	554	201	351	195	342	537								
"AL"	2012	"Chambers"	"BUFFALO"	0	293	3	293	150	140	145	139	284								
"AL"	2012	"Chambers"	"CUSSETA"	0	290	3	288	109	174	106	179	285								
"AL"	2012	"Chambers"	"FIVE POINTS"	0	278	3	275	193	81	194	78	272								
"AL"	2012	"Chambers"	"FREDONIA"	0	326	3	321	86	228	91	228	319								
"AL"	2012	"Chambers"	"HUGULEY"	0	970	3	966	317	643	311	634	945								
"AL"	2012	"Chambers"	"LAFAYETTE"	0	1461	3	1452	990	455	939	461	1400								
"AL"	2012	"Chambers"	"LAKEVIEW"	0	321	3	320	75	243	79	239	318								
"AL"	2012	"Chambers"	"LANETT"	0	2748	3	2739	1770	958	1727	952	2679								
"AL"	2012	"Chambers"	"MILLTOWN"	0	181	3	180	56	123	56	116	172								
"AL"	2012	"Chambers"	"MT. OLIVE"	0	140	3	139	71	67	71	63	134								
"AL"	2012	"Chambers"	"PENTON"	0	121	3	119	28	91	30	87	117								
"AL"	2012	"Chambers"	"PROVISIONAL"	0	0	3	0	0	0	0	0	0								
"AL"	2012	"Chambers"	"RESCUE"	0	589	3	589	194	391	190	391	581								
"AL"	2012	"Chambers"	"RIDGE GROVE"	0	322	3	320	153	163	149	165	314								
"AL"	2012	"Chambers"	"SPARKLING SPRINGS"	0	44	3	44	4	40	6	37	43								
"AL"	2012	"Chambers"	"STANDING ROCK"	0	222	3	220	34	181	37	175	212								
"AL"	2012	"Chambers"	"STROUD"	0	179	3	174	105	67	99	69	168								
"AL"	2012	"Chambers"	"STURKIE"	0	382	3	380	211	168	198	171	369								
"AL"	2012	"Chambers"	"UNION HILL"	0	180	3	176	24	152	29	146	175								
"AL"	2012	"Chambers"	"VALLEY"	0	4622	3	4605	1830	2728	1744	2749	4493								
"AL"	2012	"Chambers"	"WAVERLY"	0	145	3	144	44	97	40	104	144								
"AL"	2012	"Chambers"	"WEST CHAMBERS"	0	264	3	264	208	55	198	57	255								
"AL"	2012	"Cherokee"	"ABSENTEE"	0	500	3	482	108	367	105	339	444	4	6	19	25				
"AL"	2012	"Cherokee"	"BROOMTOWN FIRE DEPT."	0	255	4	250	36	208	48	190	238								
"AL"	2012	"Cherokee"	"CEDAR BLUFF 1ST BAPTIST"	0	977	3	973	261	696	242	701	943								
"AL"	2012	"Cherokee"	"CONGREGATIONAL METHODIST"	0	153	3	150	32	115	31	113	144								
"AL"	2012	"Cherokee"	"DANIELS CHAPEL FELLOWSHIP"	0	133	3	130	33	95	32	96	128								
"AL"	2012	"Cherokee"	"EBENEZER FELLOWSHIP HALL"	0	407	3	402	162	235	168	221	389								
"AL"	2012	"Cherokee"	"FRIENDSHIP BAP FELLOWSHIP"	0	148	4	145	21	124	29	110	139								
"AL"	2012	"Cherokee"	"GAYLESVILLE CITY HALL"	0	317	3	315	44	266	52	243	295	4	1	6	7				
"AL"	2012	"Cherokee"	"GOSHEN METHODIST CHURCH"	0	284	3	278	41	235	40	235	275								
"AL"	2012	"Cherokee"	"LEESBURG V.F.D."	0	846	3	836	181	635	186	632	818								
"AL"	2012	"Cherokee"	"MELROSE BAPTIST CHURCH"	0	203	3	200	64	131	65	130	195								
"AL"	2012	"Cherokee"	"MT CALVARY BAPTIST CHURCH"	0	96	4	95	31	64	34	49	83								
"AL"	2012	"Cherokee"	"MT. WEISNER FIRE HALL"	0	199	3	199	39	159	35	154	189								
"AL"	2012	"Cherokee"	"McCORDS CROSSROADS FIRE"	0	291	3	284	39	243	47	231	278								
"AL"	2012	"Cherokee"	"NEW HOPE METHODIST"	0	288	3	285	73	210	77	203	280								
"AL"	2012	"Cherokee"	"PROVISIONAL"	0	18	3	18	6	12	6	10	16	4	0	6	6				
"AL"	2012	"Cherokee"	"ROCK RUN CHURCH"	0	99	3	97	24	71	25	65	90								
"AL"	2012	"Cherokee"	"SAND ROCK TOWN HALL"	0	738	3	723	126	586	147	556	703								
"AL"	2012	"Cherokee"	"SHADY GROVE CHURCH"	0	167	3	166	63	103	51	112	163								
"AL"	2012	"Cherokee"	"SPRING CREEK FIRE HALL"	0	379	3	372	62	305	61	302	363								
"AL"	2012	"Cherokee"	"SPRING GARDEN FIRE STA."	0	452	3	444	73	368	67	371	438								
"AL"	2012	"Cherokee"	"THE ROC"	0	2395	3	2371	528	1803	509	1776	2285								
"AL"	2012	"Cherokee"	"THE VALLEY CHURCH"	0	150	3	148	14	132	16	78	94	4	8	41	49				
"AL"	2012	"Cherokee"	"TUCKERS CHAPEL FIRE DEPT"	0	163	3	162	28	134	26	132	158								
"AL"	2012	"Cherokee"	"UNITY MISSIONARY BAPTIST"	0	257	3	254	43	209	41	203	244	4	1	8	9				
"AL"	2012	"Chilton"	"ABSENTEE"	0	1137	6	1101	496	600	495	549	1044								
"AL"	2012	"Chilton"	"AMERICAN LEGION"	0	1095	6	1090	521	563	526	527	1053								
"AL"	2012	"Chilton"	"CANE CREEK GAP OF MT FIRE"	0	629	6	619	56	558	96	493	589								
"AL"	2012	"Chilton"	"CLANTON FACILITY BUILDING"	0	1684	6	1679	220	1444	310	1316	1626								
"AL"	2012	"Chilton"	"COLLINS CHAPEL FIRE STATION"	0	355	6	353	43	308	56	284	340								
"AL"	2012	"Chilton"	"COURTHOUSE CLANTON"	0	987	6	975	153	813	226	724	950								
"AL"	2012	"Chilton"	"ENTERPRISE FIRE STATION"	0	832	6	826	131	692	168	632	800								
"AL"	2012	"Chilton"	"FAIRVIEW FIRE STATION"	0	615	6	612	92	513	111	474	585								
"AL"	2012	"Chilton"	"ISABELLA FIRE STATION"	0	536	6	532	90	436	124	394	518								
"AL"	2012	"Chilton"	"JEMISON CITY HALL"	0	1610	6	1596	408	1177	478	1079	1557								
"AL"	2012	"Chilton"	"LIBRARY"	0	1089	6	1082	121	950	168	893	1061								
"AL"	2012	"Chilton"	"MAPLESVILLE PUBLIC LIBRARY"	0	684	6	677	250	426	259	399	658								
"AL"	2012	"Chilton"	"MARS HILL WEST CHILTON FIRE"	0	684	6	670	85	577	145	492	637								
"AL"	2012	"Chilton"	"PROVIDENCE BAPTIST CHURCH"	0	1112	6	1109	157	937	249	836	1085								
"AL"	2012	"Chilton"	"PROVIDENCE EAST CHILTON FIRE"	0	565	6	565	50	514	87	446	533								
"AL"	2012	"Chilton"	"PROVISIONAL"	0	27	6	26	6	20	6	18	24								
"AL"	2012	"Chilton"	"SOUTH CHILTON FIRE"	0	716	6	716	72	642	96	581	677								
"AL"	2012	"Chilton"	"THORSBY TOWN HALL"	0	1248	6	1245	156	1080	230	967	1197								
"AL"	2012	"Chilton"	"UNION GROVE NEW FIRE STATION"	0	1002	6	986	94	883	187	781	968								
"AL"	2012	"Chilton"	"VERBENA FIRE STATION"	0	1011	6	1003	196	799	234	739	973								
"AL"	2012	"Choctaw"	"ABSENTEE"	0	675	7	671	397	269	418	221	639								
"AL"	2012	"Choctaw"	"ARARAT"	236	158	7	158	55	101	56	76	132								
"AL"	2012	"Choctaw"	"BARRYTOWN"	268	204	7	204	4	199	31	139	170								
"AL"	2012	"Choctaw"	"BLADON SPRINGS"	105	76	7	76	68	8	54	12	66								
"AL"	2012	"Choctaw"	"BOGUELOOSA"	428	303	7	301	21	277	53	195	248								
"AL"	2012	"Choctaw"	"BRANCH"	565	348	7	348	302	44	293	29	322								
"AL"	2012	"Choctaw"	"BUTLER"	2205	1432	7	1422	457	958	608	694	1302								
"AL"	2012	"Choctaw"	"CHAPPELL HILL"	322	241	7	240	6	230	33	169	202								
"AL"	2012	"Choctaw"	"CROMWELL"	248	136	7	134	107	27	99	24	123								
"AL"	2012	"Choctaw"	"CROSSROADS"	212	133	7	133	94	39	103	26	129								
"AL"	2012	"Choctaw"	"CULLOMBURG"	275	199	7	199	124	75	115	57	172								
"AL"	2012	"Choctaw"	"GILBERTOWN"	576	372	7	369	69	300	104	221	325								
"AL"	2012	"Choctaw"	"HALSELL"	109	84	7	84	65	19	64	14	78								
"AL"	2012	"Choctaw"	"HURRICANE"	55	41	7	39	7	31	9	25	34								
"AL"	2012	"Choctaw"	"INTERSECTION"	118	74	7	74	73	1	71	1	72								
"AL"	2012	"Choctaw"	"ISNEY"	67	56	7	56	16	40	14	30	44								
"AL"	2012	"Choctaw"	"LAVACA"	309	227	7	226	140	86	157	63	220								
