state	year	county	precinct	vtd	g2012_USP_dv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv
"KS"	2012	"ANDERSON"	"Welda Township"	"000220"	37	89	127	2	29	92	127
"KS"	2012	"ANDERSON"	"Westphalia City"	"000230"	15	32	50	2	12	31	48
"KS"	2012	"ANDERSON"	"Westphalia Township"	"000240"	18	76	95	2	22	64	91
"KS"	2012	"ATCHISON"	"Atchison Precinct 1"	"000010"	113	136	258	2	76	166	254
"KS"	2012	"ATCHISON"	"Atchison Precinct 2 East"	"000020"	105	163	274	2	89	175	270
"KS"	2012	"ATCHISON"	"Atchison Precinct 2 West"	"000030"	143	177	333	2	110	198	323
"KS"	2012	"ATCHISON"	"Atchison Precinct 3 East"	"000040"	243	277	539	2	194	304	525
"KS"	2012	"ATCHISON"	"Atchison Precinct 3 West"	"00005A"	382	464	861	2	283	522	842
"KS"	2012	"ATCHISON"	"Atchison Precinct 4"	"00006A"	256	217	479	2	188	257	461
"KS"	2012	"ATCHISON"	"Atchison Precinct 4 Exclave A"	"00006B"	0	0	0	2	0	0	0
"KS"	2012	"ATCHISON"	"Atchison Precinct 4 Exclave B"	"00006C"	0	0	0	2	0	0	0
"KS"	2012	"ATCHISON"	"Atchison Precinct 5 North"	"00007A"	266	348	630	2	213	378	615
"KS"	2012	"ATCHISON"	"Atchison Precinct 5 North Exclave A"	"00007B"	0	0	0	2	0	0	0
"KS"	2012	"ATCHISON"	"Atchison Precinct 5 North Exclave B"	"00007C"	0	0	0	2	0	0	0
"KS"	2012	"ATCHISON"	"Atchison Precinct 5 South"	"00008A"	158	199	367	2	107	227	356
"KS"	2012	"ATCHISON"	"Atchison Precinct 5 South Exclave A"	"00008B"	0	0	0	2	0	0	0
"KS"	2012	"ATCHISON"	"Atchison Precinct 5 South Exclave B"	"00008C"	0	0	0	2	0	0	0
"KS"	2012	"ATCHISON"	"Atchison Precinct 5 South Exclave C"	"00008D"	0	0	0	2	0	0	0
"KS"	2012	"ATCHISON"	"Benton Township H62"	"120020"	120	232	361	2	96	237	353
"KS"	2012	"ATCHISON"	"Benton Township H63"	"120030"	33	71	107	2	24	77	106
"KS"	2012	"ATCHISON"	"Center Township"	"000100"	82	223	311	2	71	230	316
"KS"	2012	"ATCHISON"	"Grasshopper Township"	"000110"	57	221	285	2	52	214	284
"KS"	2012	"ATCHISON"	"Huron Township"	"000120"	37	60	100	2	28	64	98
"KS"	2012	"ATCHISON"	"Kapioma Township"	"000130"	32	95	130	2	35	86	129
"KS"	2012	"ATCHISON"	"Lancaster Township"	"000140"	105	172	295	2	69	210	296
"KS"	2012	"ATCHISON"	"Mount Pleasant Voting District Township"	"100050"	121	317	450	2	107	314	443
"KS"	2012	"ATCHISON"	"Shannon Township"	"00016A"	214	419	654	2	164	437	641
"KS"	2012	"ATCHISON"	"Walnut Township"	"00017A"	100	126	233	2	83	132	227
"KS"	2012	"ATCHISON"	"Walnut Township Enclave"	"00017B"	0	0	0	2	0	0	0
"KS"	2012	"BARBER"	"Aetna Township"	"000010"	0	5	5	4	2	3	5
"KS"	2012	"BARBER"	"Deerhead Township"	"000020"	0	9	9	4	1	7	9
"KS"	2012	"BARBER"	"Eagle Township"	"000030"	0	19	19	4	1	15	17
"KS"	2012	"BARBER"	"Elm Mills Township"	"000040"	10	62	75	4	10	61	75
"KS"	2012	"BARBER"	"Elwood Township"	"000050"	23	78	102	4	24	64	97
"KS"	2012	"BARBER"	"Hazelton Township"	"000060"	27	56	86	4	21	49	83
"KS"	2012	"BARBER"	"Kiowa East Township"	"000070"	63	283	354	4	51	277	345
"KS"	2012	"BARBER"	"Kiowa West Township"	"000080"	53	162	220	4	49	151	217
"KS"	2012	"BARBER"	"Lake City Township"	"000090"	10	21	32	4	8	20	32
"KS"	2012	"BARBER"	"McAdoo Township"	"000100"	3	11	14	4	2	11	14
"KS"	2012	"BARBER"	"Medicine Lodge Precinct 1"	"000110"	97	246	355	4	82	239	344
"KS"	2012	"BARBER"	"Medicine Lodge Precinct 2"	"00012A"	61	213	283	4	42	205	263
"KS"	2012	"BARBER"	"Medicine Lodge Precinct 2 Exclave"	"00012B"	0	0	0	4	0	0	0
"KS"	2012	"BARBER"	"Medicine Lodge Precinct 3"	"000130"	49	155	206	4	30	165	201
"KS"	2012	"BARBER"	"Medicine Lodge Precinct 4"	"000140"	24	115	145	4	16	115	138
"KS"	2012	"BARBER"	"Medicine Lodge Precinct 5"	"000150"	5	26	32	4	2	29	32
"KS"	2012	"BARBER"	"Mingona Township"	"000160"	7	39	49	4	6	37	47
"KS"	2012	"BARBER"	"Moore Township"	"000170"	5	14	19	4	5	12	19
"KS"	2012	"BARBER"	"Nippawalla Township"	"000180"	2	14	17	4	1	11	16
"KS"	2012	"BARBER"	"Ridge Township"	"000190"	0	0	0	4	0	0	0
"KS"	2012	"BARBER"	"Sharon Township"	"000200"	30	154	186	4	24	152	182
"KS"	2012	"BARBER"	"Sun City Township"	"000210"	2	23	25	4	2	21	24
"KS"	2012	"BARBER"	"Turkey Creek Township"	"000220"	1	8	9	4	1	6	8
"KS"	2012	"BARBER"	"Valley Township"	"000230"	10	59	70	4	9	52	63
"KS"	2012	"BARTON"	"Albion Township"	"000010"	2	31	33	1		32	32
"KS"	2012	"BARTON"	"Beaver Township"	"000020"	11	32	43	1		42	42
"KS"	2012	"BARTON"	"Buffalo Township"	"000030"	45	167	217	1		189	189
"KS"	2012	"BARTON"	"Cheyenne Township"	"000040"	11	94	108	1		100	100
"KS"	2012	"BARTON"	"Clarence Township"	"000050"	13	46	61	1		52	52
"KS"	2012	"BARTON"	"Cleveland Township"	"000060"	3	17	20	1		17	17
"KS"	2012	"BARTON"	"Comanche Township"	"000070"	37	155	194	1		172	172
"KS"	2012	"BARTON"	"Eureka Township"	"000080"	6	42	49	1		48	48
"KS"	2012	"BARTON"	"Fairview Township"	"000090"	15	38	54	1		50	50
"KS"	2012	"BARTON"	"Grant Township"	"000100"	7	21	28	1		25	25
"KS"	2012	"BARTON"	"Great Bend City Ward 1 Precinct 1"	"00011A"	125	204	335	1		275	275
"KS"	2012	"BARTON"	"Great Bend City Ward 1 Precinct 1 Courthouse"	"00011B"				1		0	0
"KS"	2012	"BARTON"	"Great Bend City Ward 1 Precinct 2"	"000120"	118	358	491	1		419	419
"KS"	2012	"BARTON"	"Great Bend City Ward 1 Precinct 3"	"000130"	84	312	403	1		342	342
"KS"	2012	"BARTON"	"Great Bend City Ward 2 Precinct 1"	"000140"	156	484	644	1		544	544
"KS"	2012	"BARTON"	"Great Bend City Ward 2 Precinct 2"	"000150"	133	502	642	1		551	551
"KS"	2012	"BARTON"	"Great Bend City Ward 2 Precinct 3"	"000160"	145	557	710	1		616	616
"KS"	2012	"BARTON"	"Great Bend City Ward 3 Precinct 1"	"000170"	93	317	415	1		361	361
"KS"	2012	"BARTON"	"Great Bend City Ward 3 Precinct 2"	"000180"	129	355	493	1		425	425
"KS"	2012	"BARTON"	"Great Bend City Ward 3 Precinct 3"	"00019A"	117	405	534	1		468	468
"KS"	2012	"BARTON"	"Great Bend City Ward 3 Precinct 3 Exclave"	"00019B"				1		0	0
"KS"	2012	"BARTON"	"Great Bend City Ward 4 Precinct 1"	"000200"	100	186	295	1		236	236
"KS"	2012	"BARTON"	"Great Bend City Ward 4 Precinct 2"	"000210"	82	149	237	1		187	187
"KS"	2012	"BARTON"	"Great Bend City Ward 4 Precinct 3"	"00022A"	45	43	89	1		71	71
"KS"	2012	"BARTON"	"Great Bend City Ward 4 Precinct 3 Exclave A"	"00022B"				1		0	0
"KS"	2012	"BARTON"	"Great Bend City Ward 4 Precinct 3 Exclave B"	"00022C"				1		0	0
"KS"	2012	"BARTON"	"Great Bend City Ward 4 Precinct 3 Exclave C"	"00022D"				1		0	0
"KS"	2012	"BARTON"	"Great Bend City Ward 4 Precinct 3 Exclave D1"	"00022E"				1		0	0
"KS"	2012	"BARTON"	"Great Bend City Ward 4 Precinct 3 Exclave D2"	"00022F"				1		0	0
"KS"	2012	"BARTON"	"Great Bend Township"	"00023C"				1		0	0
"KS"	2012	"BARTON"	"Great Bend Township Part A"	"00023A"	104	466	574	1		517	517
"KS"	2012	"BARTON"	"Great Bend Township Part B"	"00023B"	18	93	113	1		102	102
"KS"	2012	"BARTON"	"Hoisington Landfill"	"900010"				1		0	0
"KS"	2012	"BARTON"	"Hoisington Ward 1"	"000240"	51	182	238	1		199	199
"KS"	2012	"BARTON"	"Hoisington Ward 2"	"000250"	61	209	272	1		229	229
"KS"	2012	"BARTON"	"Hoisington Ward 3"	"000260"	50	229	287	1		259	259
"KS"	2012	"BARTON"	"Hoisington Ward 4"	"00027A"	53	189	246	1		221	221
"KS"	2012	"BARTON"	"Hoisington Ward 4 Exclave"	"00027B"				1		0	0
"KS"	2012	"BARTON"	"Independent Township"	"000280"	54	293	353	1		324	324
"KS"	2012	"BARTON"	"Lakin Township"	"000290"	195	793	1005	1		868	868
"KS"	2012	"BARTON"	"Liberty Township"	"000300"	20	98	118	1		105	105
"KS"	2012	"BARTON"	"Logan Township"	"000310"	8	70	79	1		65	65
"KS"	2012	"BARTON"	"North Homestead Township"	"000320"	13	51	65	1		54	54
"KS"	2012	"BARTON"	"Pawnee Rock Township"	"000330"	42	113	157	1		133	133
"KS"	2012	"BARTON"	"South Bend Township"	"000340"	69	221	294	1		267	267
"KS"	2012	"BARTON"	"South Homestead Township"	"000350"	20	147	169	1		157	157
"KS"	2012	"BARTON"	"Union Township"	"000360"	12	41	56	1		55	55
"KS"	2012	"BARTON"	"Walnut Township Albert"	"000370"	23	80	106	1		101	101
"KS"	2012	"BARTON"	"Walnut Township Olmitz"	"000380"	22	57	81	1		68	68
"KS"	2012	"BARTON"	"Wheatland Township"	"000390"	5	27	32	1		28	28
"KS"	2012	"BOURBON"	"Drywood Township"	"000010"	53	134	191	2	46	142	192
"KS"	2012	"BOURBON"	"Fort Scott Ward 1"	"00002A"	166	223	397	2	136	242	396
"KS"	2012	"BOURBON"	"Fort Scott Ward 1 Exclave Colonial"	"00002B"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 1 Exclave Halls"	"00002C"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 1 Exclave Red Barn"	"00002D"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 1 Exclave Red Ram A"	"00002E"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 1 Exclave Red Ram B"	"00002F"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 2"	"00003A"	184	210	401	2	127	250	398
"KS"	2012	"BOURBON"	"Fort Scott Ward 3"	"000040"	76	82	162	2	45	104	154
"KS"	2012	"BOURBON"	"Fort Scott Ward 4"	"00005A"	143	262	413	2	117	263	401
"KS"	2012	"BOURBON"	"Fort Scott Ward 4 Exclave A"	"00005B"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 4 Exclave B"	"00005C"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 4 Exclave C"	"00005D"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 4 Exclave C"	"900020"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 4 Exclave D"	"900030"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 5"	"000060"	149	289	452	2	123	312	449
"KS"	2012	"BOURBON"	"Fort Scott Ward 6"	"000070"	218	425	653	2	177	451	643
"KS"	2012	"BOURBON"	"Fort Scott Ward 6 Exclave A"	"900010"	0	0	0	2	0	0	0
"KS"	2012	"BOURBON"	"Fort Scott Ward 7"	"000080"	209	316	543	2	156	352	532
"KS"	2012	"BOURBON"	"Franklin Township"	"000090"	38	104	144	2	39	94	140
"KS"	2012	"BOURBON"	"Freedom Township"	"000100"	50	143	198	2	39	149	202
"KS"	2012	"BOURBON"	"Marion Township"	"000110"	120	372	509	2	106	380	503
"KS"	2012	"BOURBON"	"Marmaton Township"	"000120"	108	233	349	2	84	255	349
"KS"	2012	"BOURBON"	"Mill Creek Township"	"000130"	50	161	232	2	49	176	229
"KS"	2012	"BOURBON"	"North Scott Township"	"000140"	113	248	368	2	96	266	366
"KS"	2012	"BOURBON"	"Osage Township"	"000150"	45	118	164	2	37	123	166
"KS"	2012	"BOURBON"	"Pawnee Township"	"000160"	39	93	135	2	40	93	136
"KS"	2012	"BOURBON"	"South Scott Township"	"000170"	207	571	789	2	151	604	780
"KS"	2012	"BOURBON"	"Timberhill Township"	"000180"	24	76	102	2	18	79	100
"KS"	2012	"BOURBON"	"Walnut Township"	"000190"	4	42	46	2	4	38	45
"KS"	2012	"BROWN"	"Hamlin Township"	"000010"	12	67	82	2	11	70	83
"KS"	2012	"BROWN"	"Hiawatha City Ward 1"	"000020"	73	98	174	2	68	98	173
"KS"	2012	"BROWN"	"Hiawatha City Ward 2"	"000030"	151	371	534	2	145	361	531
"KS"	2012	"BROWN"	"Hiawatha City Ward 3"	"00004A"	140	303	453	2	123	299	452
"KS"	2012	"BROWN"	"Hiawatha City Ward 3 Exclave"	"00004B"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Hiawatha City Ward 4"	"00005A"	22	52	77	2	14	54	75
"KS"	2012	"BROWN"	"Hiawatha City Ward 4 Exclave Club"	"00005B"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Hiawatha Township"	"000060"	58	244	306	2	59	225	305
"KS"	2012	"BROWN"	"Horton Ward 1"	"000070"	72	187	264	2	64	178	259
"KS"	2012	"BROWN"	"Horton Ward 2"	"000080"	61	132	196	2	63	128	198
"KS"	2012	"BROWN"	"Horton Ward 3"	"00009A"	38	88	128	2	23	90	128
"KS"	2012	"BROWN"	"Horton Ward 3 Exclave A"	"00009B"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Horton Ward 3 Exclave B"	"00009C"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Irving Township"	"000100"	42	93	136	2	38	91	133
"KS"	2012	"BROWN"	"Mission Township"	"000110"	54	237	295	2	66	219	293
"KS"	2012	"BROWN"	"Morrill Township"	"000120"	30	180	217	2	27	175	218
"KS"	2012	"BROWN"	"Padonia Township"	"000130"	16	74	90	2	13	66	88
"KS"	2012	"BROWN"	"Powhattan Township"	"000140"	121	131	262	2	108	130	254
"KS"	2012	"BROWN"	"Reserve Township"	"000150"	19	30	50	2	21	26	50
"KS"	2012	"BROWN"	"Robinson Township"	"000160"	53	141	197	2	47	138	195
"KS"	2012	"BROWN"	"Sabetha Ward 1 Part 1 Exclave"	"900010"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Sabetha Ward 1 Part A"	"00017A"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Sabetha Ward 1 Part B"	"00017B"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Sabetha Ward 4 Part A"	"00018A"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Sabetha Ward 4 Part B"	"00018B"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Sabetha Ward 5"	"000190"	0	0	0	2	0	0	0
"KS"	2012	"BROWN"	"Walnut Township"	"000200"	65	222	300	2	74	214	303
"KS"	2012	"BROWN"	"Washington Township"	"000210"	49	179	232	2	49	176	231
"KS"	2012	"BUTLER"	"Andover North"	"00001A"	583	1529	2148	4	494	1505	2114
"KS"	2012	"BUTLER"	"Andover South H77"	"120020"	23	117	142	4	20	116	139
"KS"	2012	"BUTLER"	"Andover South H99"	"120030"	685	1804	2537	4	570	1781	2491
"KS"	2012	"BUTLER"	"Augusta City Ward 1"	"00002A"	183	357	558	4	141	370	551
"KS"	2012	"BUTLER"	"Augusta City Ward 1 Exclave A"	"00002B"				4	0	0	0
"KS"	2012	"BUTLER"	"Augusta City Ward 2"	"000030"	267	486	768	4	221	484	761
"KS"	2012	"BUTLER"	"Augusta City Ward 3"	"00004A"	304	564	895	4	259	562	879
"KS"	2012	"BUTLER"	"Augusta City Ward 3 Exclave"	"00004B"				4	0	0	0
"KS"	2012	"BUTLER"	"Augusta City Ward 4"	"000050"	335	844	1193	4	282	841	1179
"KS"	2012	"BUTLER"	"Augusta Township S14"	"120040"	52	114	169	4	42	116	167
"KS"	2012	"BUTLER"	"Augusta Township S16"	"120050"	77	312	394	4	74	290	389
"KS"	2012	"BUTLER"	"Benton Township / City"	"000070"	268	869	1168	4	227	881	1156
"KS"	2012	"BUTLER"	"Bloomington Township"	"000080"	54	154	218	4	50	150	217
"KS"	2012	"BUTLER"	"Bruno Township H77"	"120060"	131	502	649	4	107	505	649
"KS"	2012	"BUTLER"	"Bruno Township H99"	"120070"	114	334	459	4	87	310	442
"KS"	2012	"BUTLER"	"Chelsea Township"	"800050"	31	66	99	4	27	61	100
"KS"	2012	"BUTLER"	"Clay Township"	"000110"	13	29	43	4	14	27	42
"KS"	2012	"BUTLER"	"Clifford Township"	"000120"	24	86	112	4	19	84	111
"KS"	2012	"BUTLER"	"Douglass Township/City"	"000130"	213	573	806	4	186	547	792
"KS"	2012	"BUTLER"	"El Dorado Township"	"000330"	86	221	313	4	81	215	314
"KS"	2012	"BUTLER"	"El Dorado Ward 1 Precinct 1"	"00014A"	118	123	248	4	102	121	242
"KS"	2012	"BUTLER"	"El Dorado Ward 1 Precinct 2"	"00015A"	367	962	1348	4	322	952	1323
"KS"	2012	"BUTLER"	"El Dorado Ward 2 Precinct 1"	"00016A"	123	161	295	4	104	159	284
"KS"	2012	"BUTLER"	"El Dorado Ward 2 Precinct 1 Exclave A"	"00016B"				4	0	0	0
"KS"	2012	"BUTLER"	"El Dorado Ward 2 Precinct 2"	"000170"	103	179	290	4	83	179	287
"KS"	2012	"BUTLER"	"El Dorado Ward 2 Precinct 3"	"000180"	137	188	334	4	123	182	332
"KS"	2012	"BUTLER"	"El Dorado Ward 3 Precinct 1"	"000190"	161	230	400	4	139	226	393
"KS"	2012	"BUTLER"	"El Dorado Ward 3 Precinct 2"	"000200"	110	160	277	4	90	163	270
"KS"	2012	"BUTLER"	"El Dorado Ward 3 Precinct 3"	"000210"	94	159	259	4	73	163	252
"KS"	2012	"BUTLER"	"El Dorado Ward 4 Precinct 1"	"000220"	132	223	367	4	119	221	361
"KS"	2012	"BUTLER"	"El Dorado Ward 4 Precinct 2"	"00023A"	167	260	432	4	146	260	424
"KS"	2012	"BUTLER"	"El Dorado Ward 4 Precinct 3"	"00023B"	117	222	351	4	95	218	342
"KS"	2012	"BUTLER"	"Fairmount Township/Elbing"	"000240"	54	231	287	4	42	232	286
"KS"	2012	"BUTLER"	"Fairview Township"	"000250"	59	185	253	4	53	180	252
"KS"	2012	"BUTLER"	"Glencoe Township"	"000260"	29	49	81	4	26	50	82
"KS"	2012	"BUTLER"	"Hickory Township"	"000270"	10	41	52	4	13	35	51
"KS"	2012	"BUTLER"	"Lincoln Township"	"000280"	30	86	120	4	25	89	120
"KS"	2012	"BUTLER"	"Little Walnut Township/Leon"	"000290"	102	217	327	4	84	212	319
"KS"	2012	"BUTLER"	"Logan Township"	"000300"	17	52	70	4	15	48	68
"KS"	2012	"BUTLER"	"Murdock Township"	"000320"	37	167	209	4	36	163	207
"KS"	2012	"BUTLER"	"Pleasant Township"	"000340"	265	803	1090	4	233	778	1080
"KS"	2012	"BUTLER"	"Plum Grove Township/Potwin"	"000350"	92	162	260	4	74	166	256
"KS"	2012	"BUTLER"	"Prospect Township"	"000360"	162	344	522	4	138	338	508
"KS"	2012	"BUTLER"	"Richland Township H77"	"800040"	122	411	537	4	111	393	531
"KS"	2012	"BUTLER"	"Rock Creek Township"	"000380"	34	100	136	4	32	98	134
"KS"	2012	"BUTLER"	"Rosalia Township"	"000390"	67	180	253	4	62	169	245
"KS"	2012	"BUTLER"	"Rose Hill City"	"200010"	434	1149	1623	4	338	1139	1585
"KS"	2012	"BUTLER"	"Spring Township"	"000410"	186	459	660	4	175	434	638
"KS"	2012	"BUTLER"	"Sycamore/Cassoday"	"000100"	32	128	165	4	29	124	160
"KS"	2012	"BUTLER"	"Towanda Township/City"	"000430"	287	861	1181	4	256	828	1158
"KS"	2012	"BUTLER"	"Union Township / Latham"	"000440"	14	56	75	4	17	46	72
"KS"	2012	"BUTLER"	"Walnut Township"	"000450"	76	219	299	4	64	217	298
"KS"	2012	"BUTLER"	"Whitewater / Milton Township H72"	"120080"	65	250	322	4	54	243	316
"KS"	2012	"BUTLER"	"Whitewater / Milton Township H75"	"120090"	36	179	223	4	38	170	223
"KS"	2012	"CHASE"	"Bazaar Township"	"000010"	5	36	41	1		37	37
"KS"	2012	"CHASE"	"Cedar Township"	"000020"	11	41	55	1		44	44
"KS"	2012	"CHASE"	"Cottonwood Township"	"000030"	20	45	68	1		47	47
"KS"	2012	"CHASE"	"Diamond Township"	"000040"	19	102	122	1		103	103
"KS"	2012	"CHASE"	"East Falls Township"	"000050"	36	156	196	1		164	164
"KS"	2012	"CHASE"	"East Strong Township"	"000060"	73	128	211	1		167	167
"KS"	2012	"CHASE"	"Homestead Township"	"000070"	8	18	26	1		19	19
"KS"	2012	"CHASE"	"Matfield Township"	"000080"	21	48	70	1		47	47
"KS"	2012	"CHASE"	"Toledo Township"	"000090"	47	110	162	1		31	31
"KS"	2012	"CHASE"	"West Falls Township"	"000100"	93	151	250	1		89	89
"KS"	2012	"CHASE"	"West Strong Township"	"000110"	25	40	67	1		50	50
"KS"	2012	"CHAUTAUQUA"	"Caneyville Township"	"000010"	7	40	47	4	5	39	48
"KS"	2012	"CHAUTAUQUA"	"Center Township"	"000020"	3	35	39	4	4	34	39
"KS"	2012	"CHAUTAUQUA"	"Chautauqua"	"000030"	14	103	120	4	15	102	119
"KS"	2012	"CHAUTAUQUA"	"Harrison Township"	"000040"	3	39	43	4	2	41	43
"KS"	2012	"CHAUTAUQUA"	"Hendricks Township"	"000050"	13	30	44	4	11	27	43
"KS"	2012	"CHAUTAUQUA"	"Jefferson Township"	"000060"	53	202	267	4	52	181	259
"KS"	2012	"CHAUTAUQUA"	"Lafayette Township"	"000070"	4	19	23	4	6	17	23
"KS"	2012	"CHAUTAUQUA"	"Little Caney Township"	"000080"	15	103	122	4	17	94	119
"KS"	2012	"CHAUTAUQUA"	"North Sedan"	"000090"	78	283	368	4	54	278	352
"KS"	2012	"CHAUTAUQUA"	"Peru"	"000100"	22	127	157	4	23	120	157
"KS"	2012	"CHAUTAUQUA"	"Salt Creek Township"	"000110"	9	52	61	4	7	50	59
"KS"	2012	"CHAUTAUQUA"	"South Sedan"	"000120"	49	196	250	4	45	181	238
"KS"	2012	"CHAUTAUQUA"	"Summit Township"	"000130"	4	41	48	4	1	42	48
"KS"	2012	"CHAUTAUQUA"	"Washington Township"	"000140"	6	34	41	4	3	35	40
