state	year	county	county_code	precinct_name	precinct_code	cd	g2012_USH_dv	g2012_USH_rv	g2012_USP_dv	g2012_USP_rv	g2012_USS_dv	g2012_USS_rv	g2012_USH_tv	g2012_USP_tv	g2012_USS_tv
"VA"	2012	"ALEXANDRIA CITY"	510	"105 - LEE CENTER"	"0105"	8	1407	705	1550	729	1582	689	2197.0	2315.0	2271.0
"VA"	2012	"ALEXANDRIA CITY"	510	"106 - CORA KELLY CENTER"	"0106"	8	1956	528	2144	537	2127	542	2571.0	2714.0	2669.0
"VA"	2012	"ALEXANDRIA CITY"	510	"107 - MT VERNON RECREATION CENTER"	"0107"	8	1882	614	2049	622	2081	590	2567.0	2709.0	2671.0
"VA"	2012	"ALEXANDRIA CITY"	510	"108 - GEORGE WASHINGTON MIDDLE SCH"	"0108"	8	1675	555	1846	549	1883	515	2306.0	2425.0	2398.0
"VA"	2012	"ALEXANDRIA CITY"	510	"109 - FIRE DEPARTMENT HEADQUARTERS"	"0109"	8	1468	768	1657	762	1660	759	2324.0	2457.0	2419.0
"VA"	2012	"ALEXANDRIA CITY"	510	"201 - MAURY SCHOOL"	"0201"	8	1124	569	1240	567	1294	527	1754.0	1829.0	1821.0
"VA"	2012	"ALEXANDRIA CITY"	510	"202 - GEORGE MASON SCHOOL"	"0202"	8	983	722	1099	724	1152	662	1750.0	1835.0	1814.0
"VA"	2012	"ALEXANDRIA CITY"	510	"203 - AGUDAS ACHIM SYNAGOGUE"	"0203"	8	1335	566	1479	568	1518	540	1990.0	2077.0	2058.0
"VA"	2012	"ALEXANDRIA CITY"	510	"204 - BLESSED SACRAMENT CHURCH"	"0204"	8	972	647	1095	644	1144	594	1668.0	1758.0	1738.0
"VA"	2012	"ALEXANDRIA CITY"	510	"205 - DOUGLAS MACARTHUR SCHOOL"	"0205"	8	1394	795	1526	800	1546	777	2258.0	2356.0	2323.0
"VA"	2012	"ALEXANDRIA CITY"	510	"206 - CHINQUAPIN PARK RECREATION CTR"	"0206"	8	1235	510	1348	527	1383	489	1806.0	1896.0	1872.0
"VA"	2012	"ALEXANDRIA CITY"	510	"207 - TEMPLE BETH EL SYNAGOGUE"	"0207"	8	1506	721	1602	740	1608	730	2278.0	2372.0	2338.0
"VA"	2012	"ALEXANDRIA CITY"	510	"208 - NOVA ARTS CENTER"	"0208"	8	1684	685	1814	735	1822	715	2454.0	2587.0	2537.0
"VA"	2012	"ALEXANDRIA CITY"	510	"209 - JAMES K POLK SCHOOL"	"0209"	8	1880	557	2014	607	2030	574	2518.0	2646.0	2604.0
"VA"	2012	"ALEXANDRIA CITY"	510	"210 - ST JAMES CHURCH"	"0210"	8	720	345	767	372	768	360	1094.0	1149.0	1128.0
"VA"	2012	"ALEXANDRIA CITY"	510	"302 - PATRICK HENRY REC CENTER"	"0302"	8	1438	377	1579	372	1553	383	1866.0	1974.0	1936.0
"VA"	2012	"ALEXANDRIA CITY"	510	"303 - CHARLES E BEATLEY LIBRARY"	"0303"	8	1555	379	1671	436	1646	421	1991.0	2134.0	2067.0
"VA"	2012	"ALEXANDRIA CITY"	510	"304 - SAMUEL TUCKER SCHOOL"	"0304"	8	2095	551	2273	547	2264	565	2710.0	2859.0	2829.0
"VA"	2012	"ALEXANDRIA CITY"	510	"305 - JOHN ADAMS SCHOOL"	"0305"	8	1912	429	2077	455	2045	478	2423.0	2566.0	2523.0
"VA"	2012	"ALEXANDRIA CITY"	510	"306 - WILLIAM RAMSAY SCHOOL"	"0306"	8	1968	406	2127	425	2088	450	2426.0	2582.0	2538.0
"VA"	2012	"ALEXANDRIA CITY"	510	"307 - SOUTH PORT"	"0307"	8	1374	417	1466	465	1443	475	1832.0	1957.0	1918.0
"VA"	2012	"ALEXANDRIA CITY"	510	"308 - CAMERON STATION COMMUNITY CTR"	"0308"	8	1245	814	1362	841	1374	817	2122.0	2234.0	2191.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"##Central Absentee"		9	222	290	251	262	253	274	512.0	525.0	527.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"#Provisional"		9	0	0	0	0	0	0	0.0	0.0	0.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"101 - ARRITT"	"0101"	9	279	348	290	326	306	347	627.0	631.0	653.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"103 - DAMERON"	"0103"	9	74	172	91	155	93	171	246.0	252.0	264.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"201 - HUMPBACK BRIDGE"	"0201"	9	138	240	162	213	176	218	378.0	392.0	394.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"202 - DOLLY ANN"	"0202"	9	190	333	218	311	242	307	523.0	534.0	549.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"301 - CALLAGHAN"	"0301"	9	121	230	158	215	146	237	351.0	380.0	383.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"302 - GRIFFITH"	"0302"	9	242	431	293	373	306	395	673.0	679.0	701.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"401 - LOW MOOR"	"0401"	9	198	267	230	244	239	244	465.0	483.0	483.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"402 - JACKSON HEIGHTS"	"0402"	9	224	373	271	323	289	338	597.0	607.0	627.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"501 - IRON GATE"	"0501"	9	129	156	154	122	163	139	285.0	289.0	302.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"502 - PETERS SWITCH"	"0502"	9	250	431	335	370	341	395	681.0	719.0	736.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"601 - DISTRICT 1"	"0601"	9	435	460	510	400	513	428	895.0	928.0	941.0
"VA"	2012	"ALLEGHANY COUNTY"	5	"701 - DISTRICT 2"	"0701"	9	369	326	440	281	440	305	695.0	743.0	745.0
"VA"	2012	"AMELIA COUNTY"	7	"##Central Absentee"		4	205	485	261	441	264	447	690.0	713.0	711.0
"VA"	2012	"AMELIA COUNTY"	7	"#Provisional"		4	0	0	0	0	0	0	0.0	0.0	0.0
"VA"	2012	"AMELIA COUNTY"	7	"101 - NUMBER ONE"	"0101"	4	341	746	429	696	424	688	1087.0	1140.0	1112.0
"VA"	2012	"AMELIA COUNTY"	7	"201 - NUMBER TWO"	"0201"	4	328	754	421	747	393	701	1082.0	1178.0	1094.0
"VA"	2012	"AMELIA COUNTY"	7	"301 - NUMBER THREE"	"0301"	4	355	859	424	815	429	813	1214.0	1256.0	1242.0
"VA"	2012	"AMELIA COUNTY"	7	"401 - NUMBER FOUR"	"0401"	4	321	893	370	843	384	841	1214.0	1234.0	1225.0
"VA"	2012	"AMELIA COUNTY"	7	"501 - NUMBER FIVE"	"0501"	4	502	835	585	789	587	786	1337.0	1383.0	1373.0
"VA"	2012	"AMHERST COUNTY"	9	"##Central Absentee"		6	441	638	528	602	521	605	1079.0	1138.0	1126.0
"VA"	2012	"AMHERST COUNTY"	9	"#Provisional"		6	1	0	2	11	1	0	1.0	13.0	1.0
"VA"	2012	"AMHERST COUNTY"	9	"101 - WRIGHT SHOP"	"0101"	6	539	410	624	385	626	386	949.0	1014.0	1012.0
"VA"	2012	"AMHERST COUNTY"	9	"102 - NEW GLASGOW"	"0102"	6	408	687	499	656	517	646	1095.0	1167.0	1163.0
"VA"	2012	"AMHERST COUNTY"	9	"103 - COOLWELL"	"0103"	6	117	404	159	402	168	396	521.0	570.0	564.0
"VA"	2012	"AMHERST COUNTY"	9	"201 - COURT HOUSE"	"0201"	6	742	1220	883	1144	927	1132	1962.0	2050.0	2059.0
"VA"	2012	"AMHERST COUNTY"	9	"202 - TEMPERANCE"	"0202"	6	215	526	247	522	268	511	741.0	778.0	779.0
"VA"	2012	"AMHERST COUNTY"	9	"301 - MONROE"	"0301"	6	243	533	282	516	300	514	776.0	813.0	814.0
"VA"	2012	"AMHERST COUNTY"	9	"302 - ELON"	"0302"	6	427	1423	505	1379	533	1395	1850.0	1911.0	1928.0
"VA"	2012	"AMHERST COUNTY"	9	"303 - PLEASANT VIEW"	"0303"	6	100	315	134	305	148	296	415.0	444.0	444.0
"VA"	2012	"AMHERST COUNTY"	9	"401 - AMELON"	"0401"	6	674	1451	838	1358	848	1388	2125.0	2219.0	2236.0
"VA"	2012	"AMHERST COUNTY"	9	"402 - LONCO"	"0402"	6	197	326	244	305	246	313	523.0	556.0	559.0
"VA"	2012	"AMHERST COUNTY"	9	"501 - MADISON"	"0501"	6	768	1395	955	1291	970	1323	2163.0	2277.0	2293.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"##Central Absentee"		5	150	373	160	371	168	367	523.0	539.0	535.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"#Provisional"		5	2	3	2	3	2	3	5.0	5.0	5.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"101 - VERA"	"0101"	5	121	398	133	394	148	391	519.0	537.0	539.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"102 - PAMPLIN"	"0102"	5	305	640	338	637	348	629	945.0	992.0	977.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"201 - CHAP"	"0201"	5	173	198	201	186	194	190	371.0	394.0	384.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"202 - SPOUT SPRING"	"0202"	5	237	902	253	915	299	872	1139.0	1180.0	1171.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"301 - US  460"	"0301"	5	178	499	201	484	218	478	677.0	701.0	696.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"302 - STONEWALL"	"0302"	5	219	568	239	562	236	572	787.0	816.0	808.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"401 - COURTHOUSE"	"0401"	5	376	893	427	877	440	859	1269.0	1322.0	1299.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"501 - OAKVILLE"	"0501"	5	320	675	347	677	355	663	995.0	1044.0	1018.0
"VA"	2012	"APPOMATTOX COUNTY"	11	"502 - AGEE"	"0502"	5	140	233	152	234	160	220	373.0	394.0	380.0
"VA"	2012	"ARLINGTON COUNTY"	13	"##Central Absentee"		8	20121	6690	21703	6950	21837	6549	27622.0	28917.0	28386.0
"VA"	2012	"ARLINGTON COUNTY"	13	"#Provisional"		8	87	36	91	41	93	38	129.0	132.0	131.0
"VA"	2012	"ARLINGTON COUNTY"	13	"001 - ARLINGTON"	"0001"	8	1097	288	1170	301	1141	312	1425.0	1494.0	1453.0
"VA"	2012	"ARLINGTON COUNTY"	13	"002 - ASHTON HEIGHTS"	"0002"	8	1125	546	1249	567	1292	535	1773.0	1853.0	1827.0
"VA"	2012	"ARLINGTON COUNTY"	13	"003 - AURORA HILLS"	"0003"	8	658	468	717	483	748	448	1163.0	1214.0	1196.0
"VA"	2012	"ARLINGTON COUNTY"	13	"004 - BALLSTON"	"0004"	8	994	536	1126	545	1147	527	1641.0	1710.0	1674.0
"VA"	2012	"ARLINGTON COUNTY"	13	"005 - BARCROFT"	"0005"	8	993	412	1074	414	1103	381	1450.0	1506.0	1484.0
"VA"	2012	"ARLINGTON COUNTY"	13	"006 - CRYSTAL CITY"	"0006"	8	874	516	961	525	951	531	1438.0	1509.0	1482.0
"VA"	2012	"ARLINGTON COUNTY"	13	"007 - CHERRYDALE"	"0007"	8	1010	592	1120	627	1166	586	1705.0	1773.0	1752.0
"VA"	2012	"ARLINGTON COUNTY"	13	"008 - HUME"	"0008"	8	1339	703	1454	776	1474	738	2145.0	2279.0	2212.0
"VA"	2012	"ARLINGTON COUNTY"	13	"009 - COLUMBIA"	"0009"	8	1469	461	1589	471	1604	459	2020.0	2089.0	2063.0
"VA"	2012	"ARLINGTON COUNTY"	13	"010 - WILSON"	"0010"	8	1240	566	1338	607	1372	582	1901.0	1977.0	1954.0
"VA"	2012	"ARLINGTON COUNTY"	13	"011 - EAST FALLS CHURCH"	"0011"	8	688	476	801	468	818	453	1240.0	1284.0	1271.0
"VA"	2012	"ARLINGTON COUNTY"	13	"012 - FAIRLINGTON"	"0012"	8	1054	587	1126	620	1149	603	1705.0	1767.0	1752.0
"VA"	2012	"ARLINGTON COUNTY"	13	"013 - GLEN CARLYN"	"0013"	8	745	291	808	294	825	281	1071.0	1127.0	1106.0
"VA"	2012	"ARLINGTON COUNTY"	13	"014 - CLARENDON"	"0014"	8	786	546	892	576	939	538	1434.0	1503.0	1477.0
"VA"	2012	"ARLINGTON COUNTY"	13	"015 - LYON PARK"	"0015"	8	1098	493	1224	507	1249	505	1705.0	1776.0	1754.0
"VA"	2012	"ARLINGTON COUNTY"	13	"016 - LYON VILLAGE"	"0016"	8	1042	568	1162	592	1191	567	1705.0	1781.0	1758.0
"VA"	2012	"ARLINGTON COUNTY"	13	"017 - OVERLEE KNOLLS"	"0017"	8	1079	644	1207	665	1261	619	1830.0	1908.0	1880.0
"VA"	2012	"ARLINGTON COUNTY"	13	"018 - PARK LANE"	"0018"	8	1588	716	1766	734	1785	703	2423.0	2539.0	2488.0
"VA"	2012	"ARLINGTON COUNTY"	13	"019 - ROSSLYN"	"0019"	8	1392	634	1526	660	1557	613	2131.0	2219.0	2170.0
"VA"	2012	"ARLINGTON COUNTY"	13	"020 - THRIFTON"	"0020"	8	817	673	900	678	960	622	1539.0	1592.0	1582.0
"VA"	2012	"ARLINGTON COUNTY"	13	"021 - VIRGINIA HIGHLANDS"	"0021"	8	1390	797	1521	844	1555	814	2326.0	2408.0	2369.0
"VA"	2012	"ARLINGTON COUNTY"	13	"022 - ABINGDON"	"0022"	8	1210	662	1316	676	1371	631	1949.0	2024.0	2002.0
"VA"	2012	"ARLINGTON COUNTY"	13	"023 - WESTOVER"	"0023"	8	1170	517	1264	548	1303	519	1771.0	1842.0	1822.0
"VA"	2012	"ARLINGTON COUNTY"	13	"024 - WOODLAWN"	"0024"	8	1377	562	1524	598	1552	575	2055.0	2151.0	2127.0
"VA"	2012	"ARLINGTON COUNTY"	13	"025 - ARLINGTON FOREST"	"0025"	8	895	399	1007	402	1019	382	1355.0	1432.0	1401.0
"VA"	2012	"ARLINGTON COUNTY"	13	"026 - FILLMORE"	"0026"	8	1700	595	1848	611	1846	619	2406.0	2504.0	2465.0
"VA"	2012	"ARLINGTON COUNTY"	13	"027 - JEFFERSON"	"0027"	8	1290	475	1379	514	1390	503	1847.0	1929.0	1893.0
"VA"	2012	"ARLINGTON COUNTY"	13	"028 - CLAREMONT"	"0028"	8	1454	480	1554	499	1555	486	1994.0	2077.0	2041.0
"VA"	2012	"ARLINGTON COUNTY"	13	"029 - DOMINION HILLS"	"0029"	8	1099	544	1200	550	1234	528	1716.0	1774.0	1762.0
"VA"	2012	"ARLINGTON COUNTY"	13	"030 - GLEBE"	"0030"	8	1397	327	1511	330	1492	331	1783.0	1866.0	1823.0
"VA"	2012	"ARLINGTON COUNTY"	13	"031 - LEXINGTON"	"0031"	8	1063	550	1166	570	1217	522	1680.0	1755.0	1739.0
"VA"	2012	"ARLINGTON COUNTY"	13	"032 - OAKRIDGE"	"0032"	8	484	295	521	315	543	298	823.0	854.0	841.0
"VA"	2012	"ARLINGTON COUNTY"	13	"033 - ROCK SPRING"	"0033"	8	947	698	1051	690	1115	631	1692.0	1758.0	1746.0
"VA"	2012	"ARLINGTON COUNTY"	13	"034 - YORKTOWN"	"0034"	8	920	544	999	573	1056	517	1529.0	1590.0	1573.0
"VA"	2012	"ARLINGTON COUNTY"	13	"035 - MADISON"	"0035"	8	741	761	838	748	900	687	1556.0	1601.0	1587.0
"VA"	2012	"ARLINGTON COUNTY"	13	"036 - MARSHALL"	"0036"	8	1094	664	1212	659	1267	605	1812.0	1897.0	1872.0
"VA"	2012	"ARLINGTON COUNTY"	13	"037 - NOTTINGHAM"	"0037"	8	864	573	956	558	1015	522	1496.0	1542.0	1537.0
"VA"	2012	"ARLINGTON COUNTY"	13	"038 - ARLINGTON VIEW"	"0038"	8	1280	298	1369	308	1359	314	1635.0	1711.0	1673.0
"VA"	2012	"ARLINGTON COUNTY"	13	"039 - ASHLAWN"	"0039"	8	639	347	723	340	721	338	1024.0	1077.0	1059.0
"VA"	2012	"ARLINGTON COUNTY"	13	"040 - VIRGINIA SQUARE"	"0040"	8	949	557	1088	628	1146	589	1690.0	1767.0	1735.0
"VA"	2012	"ARLINGTON COUNTY"	13	"041 - WOODBURY"	"0041"	8	1080	584	1184	597	1207	568	1734.0	1808.0	1775.0
"VA"	2012	"ARLINGTON COUNTY"	13	"042 - SHIRLINGTON"	"0042"	8	1050	460	1143	483	1163	463	1568.0	1646.0	1626.0
"VA"	2012	"ARLINGTON COUNTY"	13	"043 - ARLINGTON MILL"	"0043"	8	1105	182	1177	198	1125	220	1319.0	1392.0	1345.0
"VA"	2012	"ARLINGTON COUNTY"	13	"044 - DAWSON TERRACE"	"0044"	8	871	379	967	399	996	378	1329.0	1405.0	1374.0
"VA"	2012	"ARLINGTON COUNTY"	13	"045 - BUCKINGHAM"	"0045"	8	1032	391	1128	382	1131	381	1483.0	1542.0	1512.0
"VA"	2012	"ARLINGTON COUNTY"	13	"046 - CENTRAL"	"0046"	8	1320	736	1456	783	1505	750	2197.0	2282.0	2255.0
"VA"	2012	"ARLINGTON COUNTY"	13	"047 - FOUR MILE RUN"	"0047"	8	931	351	1011	362	1025	356	1327.0	1400.0	1381.0
"VA"	2012	"ARLINGTON COUNTY"	13	"048 - COURTLANDS"	"0048"	8	896	568	997	631	1034	576	1562.0	1637.0	1610.0
"VA"	2012	"ARLINGTON COUNTY"	13	"049 - MONROE"	"0049"	8	631	306	700	325	703	323	992.0	1044.0	1026.0
"VA"	2012	"ARLINGTON COUNTY"	13	"050 - CRYSTAL PLAZA"	"0050"	8	984	564	1097	580	1115	551	1635.0	1694.0	1666.0
"VA"	2012	"ARLINGTON COUNTY"	13	"051 - TAYLOR"	"0051"	8	332	152	345	185	359	157	499.0	535.0	516.0
"VA"	2012	"ARLINGTON COUNTY"	13	"052 - GUNSTON"	"0052"	8	945	455	1013	487	1008	483	1444.0	1519.0	1491.0
"VA"	2012	"AUGUSTA COUNTY"	15	"##Central Absentee"		6	595	1641	689	1567	707	1583	2236.0	2287.0	2290.0
"VA"	2012	"AUGUSTA COUNTY"	15	"#Provisional"		6	4	9	3	10	3	10	13.0	13.0	13.0
"VA"	2012	"AUGUSTA COUNTY"	15	"101 - JOLIVUE"	"0101"	6	250	580	279	552	277	573	830.0	850.0	850.0
"VA"	2012	"AUGUSTA COUNTY"	15	"102 - STUARTS DRAFT ELEMENTARY"	"0102"	6	295	697	355	634	364	658	992.0	1003.0	1022.0
"VA"	2012	"AUGUSTA COUNTY"	15	"103 - VERONA"	"0103"	6	403	1193	491	1113	503	1161	1596.0	1640.0	1664.0
"VA"	2012	"AUGUSTA COUNTY"	15	"201 - CRIMORA"	"0201"	6	423	1346	523	1251	532	1290	1769.0	1795.0	1822.0
"VA"	2012	"AUGUSTA COUNTY"	15	"202 - NEW HOPE"	"0202"	6	257	788	290	761	296	783	1045.0	1067.0	1079.0
"VA"	2012	"AUGUSTA COUNTY"	15	"203 - WEYERS CAVE"	"0203"	6	383	1219	404	1171	430	1212	1602.0	1610.0	1642.0
"VA"	2012	"AUGUSTA COUNTY"	15	"301 - FORT DEFIANCE"	"0301"	6	642	1791	691	1786	745	1763	2433.0	2519.0	2508.0
"VA"	2012	"AUGUSTA COUNTY"	15	"302 - NORTH RIVER"	"0302"	6	153	486	151	490	162	490	639.0	651.0	652.0
"VA"	2012	"AUGUSTA COUNTY"	15	"303 - MOUNT SOLON"	"0303"	6	180	696	175	698	182	720	876.0	900.0	902.0
"VA"	2012	"AUGUSTA COUNTY"	15	"304 - CHURCHVILLE FIRE STATION"	"0304"	6	148	599	183	569	183	583	747.0	763.0	766.0
