fips,county,candidate,votes
02170,Matanuska-Susitna Borough,Write-In,10
02261,Valdez-Cordova Census Area,Johnson,12
02261,Valdez-Cordova Census Area,Obama,57
02261,Valdez-Cordova Census Area,Romney,216
02261,Valdez-Cordova Census Area,Stein,1
02261,Valdez-Cordova Census Area,Write-In,7
02170,Matanuska-Susitna Borough,Johnson,0
02170,Matanuska-Susitna Borough,Obama,22
02170,Matanuska-Susitna Borough,Romney,82
02170,Matanuska-Susitna Borough,Stein,1
02170,Matanuska-Susitna Borough,Write-In,1
02170,Matanuska-Susitna Borough,Johnson,13
02170,Matanuska-Susitna Borough,Obama,162
02170,Matanuska-Susitna Borough,Romney,279
02170,Matanuska-Susitna Borough,Stein,8
02170,Matanuska-Susitna Borough,Write-In,3
02240,Southeast Fairbanks Census Area,Johnson,7
02240,Southeast Fairbanks Census Area,Obama,173
02240,Southeast Fairbanks Census Area,Romney,289
02240,Southeast Fairbanks Census Area,Stein,4
02240,Southeast Fairbanks Census Area,Write-In,11
02240,Southeast Fairbanks Census Area,Johnson,16
02240,Southeast Fairbanks Census Area,Obama,106
02240,Southeast Fairbanks Census Area,Romney,193
02240,Southeast Fairbanks Census Area,Stein,2
02240,Southeast Fairbanks Census Area,Write-In,5
02240,Southeast Fairbanks Census Area,Johnson,19
02240,Southeast Fairbanks Census Area,Obama,176
02240,Southeast Fairbanks Census Area,Romney,235
02240,Southeast Fairbanks Census Area,Stein,5
02240,Southeast Fairbanks Census Area,Write-In,5
,Absentee/Early/Question,Johnson,47
,Absentee/Early/Question,Obama,660
,Absentee/Early/Question,Romney,1328
,Absentee/Early/Question,Stein,22
,Absentee/Early/Question,Write-In,22
,Absentee/Early/Question,Johnson,0
,Absentee/Early/Question,Obama,3
,Absentee/Early/Question,Romney,16
,Absentee/Early/Question,Stein,0
,Absentee/Early/Question,Write-In,0
,Absentee/Early/Question,Johnson,22
,Absentee/Early/Question,Obama,123
,Absentee/Early/Question,Romney,313
,Absentee/Early/Question,Stein,2
,Absentee/Early/Question,Write-In,7
02170,Matanuska-Susitna Borough,Johnson,20
02170,Matanuska-Susitna Borough,Obama,159
02170,Matanuska-Susitna Borough,Romney,489
02170,Matanuska-Susitna Borough,Stein,3
02170,Matanuska-Susitna Borough,Write-In,8
02170,Matanuska-Susitna Borough,Johnson,17
02170,Matanuska-Susitna Borough,Obama,121
02170,Matanuska-Susitna Borough,Romney,474
02170,Matanuska-Susitna Borough,Stein,2
02170,Matanuska-Susitna Borough,Write-In,4
02170,Matanuska-Susitna Borough,Johnson,12
02170,Matanuska-Susitna Borough,Obama,195
02170,Matanuska-Susitna Borough,Romney,593
02170,Matanuska-Susitna Borough,Stein,5
02170,Matanuska-Susitna Borough,Write-In,16
02170,Matanuska-Susitna Borough,Johnson,13
02170,Matanuska-Susitna Borough,Obama,118
02170,Matanuska-Susitna Borough,Romney,342
02170,Matanuska-Susitna Borough,Stein,4
02170,Matanuska-Susitna Borough,Write-In,6
02170,Matanuska-Susitna Borough,Johnson,27
02170,Matanuska-Susitna Borough,Obama,91
02170,Matanuska-Susitna Borough,Romney,404
02170,Matanuska-Susitna Borough,Stein,0
02170,Matanuska-Susitna Borough,Write-In,9
02170,Matanuska-Susitna Borough,Johnson,19
02170,Matanuska-Susitna Borough,Obama,93
02170,Matanuska-Susitna Borough,Romney,261
02170,Matanuska-Susitna Borough,Stein,6
02170,Matanuska-Susitna Borough,Write-In,2
02170,Matanuska-Susitna Borough,Johnson,13
02170,Matanuska-Susitna Borough,Obama,170
02170,Matanuska-Susitna Borough,Romney,151
02170,Matanuska-Susitna Borough,Stein,17
02170,Matanuska-Susitna Borough,Write-In,3
02170,Matanuska-Susitna Borough,Johnson,13
02170,Matanuska-Susitna Borough,Obama,39
02170,Matanuska-Susitna Borough,Romney,92
02170,Matanuska-Susitna Borough,Stein,1
02170,Matanuska-Susitna Borough,Write-In,3
02170,Matanuska-Susitna Borough,Johnson,21
02170,Matanuska-Susitna Borough,Obama,219
02170,Matanuska-Susitna Borough,Romney,513
02170,Matanuska-Susitna Borough,Stein,6
02170,Matanuska-Susitna Borough,Write-In,6
,Absentee/Early/Question,Johnson,28
,Absentee/Early/Question,Obama,435
,Absentee/Early/Question,Romney,973
,Absentee/Early/Question,Stein,14
,Absentee/Early/Question,Write-In,14
,Absentee/Early/Question,Johnson,14
,Absentee/Early/Question,Obama,222
,Absentee/Early/Question,Romney,611
,Absentee/Early/Question,Stein,0
,Absentee/Early/Question,Write-In,8
,Absentee/Early/Question,Johnson,13
,Absentee/Early/Question,Obama,100
,Absentee/Early/Question,Romney,344
,Absentee/Early/Question,Stein,14
,Absentee/Early/Question,Write-In,5
02170,Matanuska-Susitna Borough,Johnson,10
02170,Matanuska-Susitna Borough,Obama,172
02170,Matanuska-Susitna Borough,Romney,582
02170,Matanuska-Susitna Borough,Stein,4
02170,Matanuska-Susitna Borough,Write-In,6
02170,Matanuska-Susitna Borough,Johnson,15
02170,Matanuska-Susitna Borough,Obama,204
02170,Matanuska-Susitna Borough,Romney,542
02170,Matanuska-Susitna Borough,Stein,3
02170,Matanuska-Susitna Borough,Write-In,5
02170,Matanuska-Susitna Borough,Johnson,11
02170,Matanuska-Susitna Borough,Obama,124
02170,Matanuska-Susitna Borough,Romney,399
02170,Matanuska-Susitna Borough,Stein,4
02170,Matanuska-Susitna Borough,Write-In,6
02170,Matanuska-Susitna Borough,Johnson,23
02170,Matanuska-Susitna Borough,Obama,251
02170,Matanuska-Susitna Borough,Romney,493
02170,Matanuska-Susitna Borough,Stein,9
02170,Matanuska-Susitna Borough,Write-In,10
02170,Matanuska-Susitna Borough,Johnson,25
02170,Matanuska-Susitna Borough,Obama,178
02170,Matanuska-Susitna Borough,Romney,467
02170,Matanuska-Susitna Borough,Stein,8
02170,Matanuska-Susitna Borough,Write-In,9
02170,Matanuska-Susitna Borough,Johnson,7
02170,Matanuska-Susitna Borough,Obama,65
02170,Matanuska-Susitna Borough,Romney,231
02170,Matanuska-Susitna Borough,Stein,3
02170,Matanuska-Susitna Borough,Write-In,1
02170,Matanuska-Susitna Borough,Johnson,12
02170,Matanuska-Susitna Borough,Obama,111
02170,Matanuska-Susitna Borough,Romney,435
02170,Matanuska-Susitna Borough,Stein,3
02170,Matanuska-Susitna Borough,Write-In,3
02170,Matanuska-Susitna Borough,Johnson,14
02170,Matanuska-Susitna Borough,Obama,85
02170,Matanuska-Susitna Borough,Romney,330
02170,Matanuska-Susitna Borough,Stein,0
02170,Matanuska-Susitna Borough,Write-In,8
02170,Matanuska-Susitna Borough,Johnson,17
02170,Matanuska-Susitna Borough,Obama,146
02170,Matanuska-Susitna Borough,Romney,420
02170,Matanuska-Susitna Borough,Stein,3
02170,Matanuska-Susitna Borough,Write-In,4
,Absentee/Early/Question,Johnson,38
,Absentee/Early/Question,Obama,420
,Absentee/Early/Question,Romney,1092
,Absentee/Early/Question,Stein,10
,Absentee/Early/Question,Write-In,12
,Absentee/Early/Question,Johnson,5
,Absentee/Early/Question,Obama,139
,Absentee/Early/Question,Romney,376
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,3
,Absentee/Early/Question,Johnson,25
,Absentee/Early/Question,Obama,188
,Absentee/Early/Question,Romney,459
,Absentee/Early/Question,Stein,8
,Absentee/Early/Question,Write-In,4
02170,Matanuska-Susitna Borough,Johnson,13
02170,Matanuska-Susitna Borough,Obama,157
02170,Matanuska-Susitna Borough,Romney,528
02170,Matanuska-Susitna Borough,Stein,2
02170,Matanuska-Susitna Borough,Write-In,11
02170,Matanuska-Susitna Borough,Johnson,17
02170,Matanuska-Susitna Borough,Obama,126
02170,Matanuska-Susitna Borough,Romney,481
02170,Matanuska-Susitna Borough,Stein,3
02170,Matanuska-Susitna Borough,Write-In,3
02170,Matanuska-Susitna Borough,Johnson,13
02170,Matanuska-Susitna Borough,Obama,119
02170,Matanuska-Susitna Borough,Romney,517
02170,Matanuska-Susitna Borough,Stein,5
02170,Matanuska-Susitna Borough,Write-In,7
02170,Matanuska-Susitna Borough,Johnson,14
02170,Matanuska-Susitna Borough,Obama,104
02170,Matanuska-Susitna Borough,Romney,276
02170,Matanuska-Susitna Borough,Stein,1
02170,Matanuska-Susitna Borough,Write-In,8
02170,Matanuska-Susitna Borough,Johnson,25
02170,Matanuska-Susitna Borough,Obama,248
02170,Matanuska-Susitna Borough,Romney,852
02170,Matanuska-Susitna Borough,Stein,9
02170,Matanuska-Susitna Borough,Write-In,12
02170,Matanuska-Susitna Borough,Johnson,26
02170,Matanuska-Susitna Borough,Obama,231
02170,Matanuska-Susitna Borough,Romney,606
02170,Matanuska-Susitna Borough,Stein,12
02170,Matanuska-Susitna Borough,Write-In,18
,Absentee/Early/Question,Johnson,24
,Absentee/Early/Question,Obama,240
,Absentee/Early/Question,Romney,867
,Absentee/Early/Question,Stein,11
,Absentee/Early/Question,Write-In,11
,Absentee/Early/Question,Johnson,28
,Absentee/Early/Question,Obama,334
,Absentee/Early/Question,Romney,945
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,4
,Absentee/Early/Question,Johnson,17
,Absentee/Early/Question,Obama,108
,Absentee/Early/Question,Romney,360
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,8
02170,Matanuska-Susitna Borough,Johnson,16
02170,Matanuska-Susitna Borough,Obama,97
02170,Matanuska-Susitna Borough,Romney,330
02170,Matanuska-Susitna Borough,Stein,6
02170,Matanuska-Susitna Borough,Write-In,6
02170,Matanuska-Susitna Borough,Johnson,28
02170,Matanuska-Susitna Borough,Obama,178
02170,Matanuska-Susitna Borough,Romney,597
02170,Matanuska-Susitna Borough,Stein,12
02170,Matanuska-Susitna Borough,Write-In,12
02170,Matanuska-Susitna Borough,Johnson,9
02170,Matanuska-Susitna Borough,Obama,143
02170,Matanuska-Susitna Borough,Romney,656
02170,Matanuska-Susitna Borough,Stein,5
02170,Matanuska-Susitna Borough,Write-In,16
02170,Matanuska-Susitna Borough,Johnson,11
02170,Matanuska-Susitna Borough,Obama,104
02170,Matanuska-Susitna Borough,Romney,439
02170,Matanuska-Susitna Borough,Stein,4
02170,Matanuska-Susitna Borough,Write-In,4
02170,Matanuska-Susitna Borough,Johnson,18
02170,Matanuska-Susitna Borough,Obama,178
02170,Matanuska-Susitna Borough,Romney,609
02170,Matanuska-Susitna Borough,Stein,5
02170,Matanuska-Susitna Borough,Write-In,9
02170,Matanuska-Susitna Borough,Johnson,38
02170,Matanuska-Susitna Borough,Obama,197
02170,Matanuska-Susitna Borough,Romney,720
02170,Matanuska-Susitna Borough,Stein,5
02170,Matanuska-Susitna Borough,Write-In,11
,Absentee/Early/Question,Johnson,22
,Absentee/Early/Question,Obama,184
,Absentee/Early/Question,Romney,698
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,10
,Absentee/Early/Question,Johnson,5
,Absentee/Early/Question,Obama,173
,Absentee/Early/Question,Romney,538
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,11
,Absentee/Early/Question,Johnson,9
,Absentee/Early/Question,Obama,90
,Absentee/Early/Question,Romney,341
,Absentee/Early/Question,Stein,5
,Absentee/Early/Question,Write-In,11
02170,Matanuska-Susitna Borough,Johnson,9
02170,Matanuska-Susitna Borough,Obama,69
02170,Matanuska-Susitna Borough,Romney,272
02170,Matanuska-Susitna Borough,Stein,1
02170,Matanuska-Susitna Borough,Write-In,6
02170,Matanuska-Susitna Borough,Johnson,14
02170,Matanuska-Susitna Borough,Obama,132
02170,Matanuska-Susitna Borough,Romney,377
02170,Matanuska-Susitna Borough,Stein,3
02170,Matanuska-Susitna Borough,Write-In,5
02170,Matanuska-Susitna Borough,Johnson,15
02170,Matanuska-Susitna Borough,Obama,133
02170,Matanuska-Susitna Borough,Romney,447
02170,Matanuska-Susitna Borough,Stein,6
02170,Matanuska-Susitna Borough,Write-In,10
02170,Matanuska-Susitna Borough,Johnson,30
02170,Matanuska-Susitna Borough,Obama,281
02170,Matanuska-Susitna Borough,Romney,722
02170,Matanuska-Susitna Borough,Stein,9
02170,Matanuska-Susitna Borough,Write-In,17
02170,Matanuska-Susitna Borough,Johnson,16
02170,Matanuska-Susitna Borough,Obama,261
02170,Matanuska-Susitna Borough,Romney,748
02170,Matanuska-Susitna Borough,Stein,7
02170,Matanuska-Susitna Borough,Write-In,14
02020,Anchorage Municipality,Johnson,24
02020,Anchorage Municipality,Obama,342
02020,Anchorage Municipality,Romney,784
02020,Anchorage Municipality,Stein,9
02020,Anchorage Municipality,Write-In,14
02020,Anchorage Municipality,Johnson,26
02020,Anchorage Municipality,Obama,293
02020,Anchorage Municipality,Romney,898
02020,Anchorage Municipality,Stein,6
02020,Anchorage Municipality,Write-In,11
,Absentee/Early/Question,Johnson,43
,Absentee/Early/Question,Obama,502
,Absentee/Early/Question,Romney,1147
,Absentee/Early/Question,Stein,10
,Absentee/Early/Question,Write-In,14
,Absentee/Early/Question,Johnson,8
,Absentee/Early/Question,Obama,132
,Absentee/Early/Question,Romney,380
,Absentee/Early/Question,Stein,0
,Absentee/Early/Question,Write-In,5
,Absentee/Early/Question,Johnson,11
,Absentee/Early/Question,Obama,77
,Absentee/Early/Question,Romney,282
,Absentee/Early/Question,Stein,3
,Absentee/Early/Question,Write-In,6
02020,Anchorage Municipality,Johnson,39
02020,Anchorage Municipality,Obama,203
02020,Anchorage Municipality,Romney,584
02020,Anchorage Municipality,Stein,2
02020,Anchorage Municipality,Write-In,9
02020,Anchorage Municipality,Johnson,20
02020,Anchorage Municipality,Obama,169
02020,Anchorage Municipality,Romney,533
02020,Anchorage Municipality,Stein,3
02020,Anchorage Municipality,Write-In,15
02020,Anchorage Municipality,Johnson,23
02020,Anchorage Municipality,Obama,199
02020,Anchorage Municipality,Romney,361
02020,Anchorage Municipality,Stein,0
02020,Anchorage Municipality,Write-In,4
02020,Anchorage Municipality,Johnson,28
02020,Anchorage Municipality,Obama,274
02020,Anchorage Municipality,Romney,713
02020,Anchorage Municipality,Stein,7
02020,Anchorage Municipality,Write-In,8
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,212
02020,Anchorage Municipality,Romney,457
02020,Anchorage Municipality,Stein,4
02020,Anchorage Municipality,Write-In,6
,Absentee/Early/Question,Johnson,32
,Absentee/Early/Question,Obama,603
,Absentee/Early/Question,Romney,1260
,Absentee/Early/Question,Stein,9
,Absentee/Early/Question,Write-In,24
,Absentee/Early/Question,Johnson,1
,Absentee/Early/Question,Obama,50
,Absentee/Early/Question,Romney,78
,Absentee/Early/Question,Stein,1
,Absentee/Early/Question,Write-In,2
,Absentee/Early/Question,Johnson,17
,Absentee/Early/Question,Obama,191
,Absentee/Early/Question,Romney,314
,Absentee/Early/Question,Stein,4
,Absentee/Early/Question,Write-In,7
02020,Anchorage Municipality,Johnson,18
02020,Anchorage Municipality,Obama,156
02020,Anchorage Municipality,Romney,398
02020,Anchorage Municipality,Stein,0
02020,Anchorage Municipality,Write-In,3
02020,Anchorage Municipality,Johnson,19
02020,Anchorage Municipality,Obama,334
02020,Anchorage Municipality,Romney,464
02020,Anchorage Municipality,Stein,1
02020,Anchorage Municipality,Write-In,9
02020,Anchorage Municipality,Johnson,25
02020,Anchorage Municipality,Obama,368
02020,Anchorage Municipality,Romney,308
02020,Anchorage Municipality,Stein,6
02020,Anchorage Municipality,Write-In,3
02020,Anchorage Municipality,Johnson,16
02020,Anchorage Municipality,Obama,255
02020,Anchorage Municipality,Romney,236
02020,Anchorage Municipality,Stein,0
02020,Anchorage Municipality,Write-In,8
