ElectionNumber	ElectionDate	ElectionName	CountyName	StatType	TotalRep	TotalDem	TotalOth	TotalNpa	GrandTotal	CompileDate
10282	11/08/2016	2016 General Election	Indian River	Vote-by-Mail Provided (Not Yet Returned)	9,153	4,704	483	2,942	17,282	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Jackson	Vote-by-Mail Provided (Not Yet Returned)	893	1,412	21	128	2,454	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Jefferson	Vote-by-Mail Provided (Not Yet Returned)	237	540	15	55	847	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Lafayette	Vote-by-Mail Provided (Not Yet Returned)	150	227	1	19	397	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Lake	Vote-by-Mail Provided (Not Yet Returned)	12,391	7,934	683	3,780	24,788	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Lee	Vote-by-Mail Provided (Not Yet Returned)	48,779	23,686	2,235	20,222	94,922	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Leon	Vote-by-Mail Provided (Not Yet Returned)	7,415	12,967	449	2,855	23,686	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Levy	Vote-by-Mail Provided (Not Yet Returned)	1,958	1,181	122	310	3,571	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Liberty	Vote-by-Mail Provided (Not Yet Returned)	66	223	1	15	305	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Madison	Vote-by-Mail Provided (Not Yet Returned)	245	493	10	45	793	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Manatee	Vote-by-Mail Provided (Not Yet Returned)	23,050	13,586	1,093	9,292	47,021	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Marion	Vote-by-Mail Provided (Not Yet Returned)	11,802	7,055	758	3,022	22,637	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Martin	Vote-by-Mail Provided (Not Yet Returned)	12,244	5,276	856	3,330	21,706	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Miami-Dade	Vote-by-Mail Provided (Not Yet Returned)	86,831	112,905	3,429	65,451	268,616	10/21/2016  5:03AM
10282	11/08/2016	2016 General Election	Monroe	Vote-by-Mail Provided (Not Yet Returned)	4,321	3,466	215	1,884	9,886	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Nassau	Vote-by-Mail Provided (Not Yet Returned)	4,513	1,744	226	1,032	7,515	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Okaloosa	Vote-by-Mail Provided (Not Yet Returned)	9,301	2,959	361	2,692	15,313	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Okeechobee	Vote-by-Mail Provided (Not Yet Returned)	760	458	31	159	1,408	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Orange	Vote-by-Mail Provided (Not Yet Returned)	41,886	68,679	2,431	32,644	145,640	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Osceola	Vote-by-Mail Provided (Not Yet Returned)	10,308	16,740	770	9,422	37,240	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Palm Beach	Vote-by-Mail Provided (Not Yet Returned)	40,818	71,853	4,283	27,940	144,894	10/21/2016  7:15AM
10282	11/08/2016	2016 General Election	Pasco	Vote-by-Mail Provided (Not Yet Returned)	16,807	13,967	1,698	8,385	40,857	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Pinellas	Vote-by-Mail Provided (Not Yet Returned)	74,950	71,745	6,348	38,847	191,890	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Polk	Vote-by-Mail Provided (Not Yet Returned)	28,194	24,504	1,711	11,321	65,730	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Putnam	Vote-by-Mail Provided (Not Yet Returned)	2,407	2,556	110	556	5,629	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Santa Rosa	Vote-by-Mail Provided (Not Yet Returned)	8,134	2,398	411	1,840	12,783	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Sarasota	Vote-by-Mail Provided (Not Yet Returned)	20,518	14,885	1,281	9,040	45,724	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Seminole	Vote-by-Mail Provided (Not Yet Returned)	22,991	18,317	1,117	11,153	53,578	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	St. Johns	Vote-by-Mail Provided (Not Yet Returned)	11,819	4,963	571	3,488	20,841	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	St. Lucie	Vote-by-Mail Provided (Not Yet Returned)	11,026	12,712	1,002	5,501	30,241	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Sumter	Vote-by-Mail Provided (Not Yet Returned)	5,574	2,670	244	1,861	10,349	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Suwannee	Vote-by-Mail Provided (Not Yet Returned)	1,508	1,351	89	234	3,182	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Taylor	Vote-by-Mail Provided (Not Yet Returned)	538	821	25	60	1,444	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Union	Vote-by-Mail Provided (Not Yet Returned)	280	323	8	40	651	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Volusia	Vote-by-Mail Provided (Not Yet Returned)	23,435	19,817	1,673	11,265	56,190	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Wakulla	Vote-by-Mail Provided (Not Yet Returned)	716	839	46	188	1,789	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Walton	Vote-by-Mail Provided (Not Yet Returned)	2,903	822	70	579	4,374	10/21/2016  5:34AM
10282	11/08/2016	2016 General Election	Washington	Vote-by-Mail Provided (Not Yet Returned)	862	606	10	113	1,591	10/21/2016  5:34AM
